image,source
000001.jpg,https://images.wagwalkingweb.com/media/breed/kuchi/hero/Kuchi.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Afghan_Shepherd.jpg/220px-Afghan_Shepherd.jpg
000003.jpg,https://i.pinimg.com/originals/e8/2e/d8/e82ed8298b7e4bbae32d331574e7287a.jpg
000004.jpg,https://i.ytimg.com/vi/UXLtigmuYbU/hqdefault.jpg
000005.jpg,https://www.dog-breeds-expert.com/images/sage_koochee_dogspuppiesforsaleDOTcom.jpg
000006.jpg,https://i.ytimg.com/vi/2S3DLcrnc0Q/hqdefault.jpg
000007.jpg,https://www.dog-breeds-expert.com/images/kuchi_dog_peshawarDOTolxDOTcomDOTpk.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Kuchi-Dog.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Kuchi-Dog-Images.jpg
000010.jpg,https://i.pinimg.com/originals/20/72/f2/2072f2f916611c04af4485a84178dd68.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Kuchi-Dog-Pictures.jpg
000012.jpg,https://i.ytimg.com/vi/GIAGIEg2lkU/hqdefault.jpg
000013.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/03/Afghan-Kuchi-Dog-Pictures-326x245.jpg
000014.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Kuchi-Tiger-Type.jpg
000015.jpg,https://i.pinimg.com/736x/85/1b/c4/851bc46efd3bc38a5a60bd5aadbc0a0f--farm-life-herding-dogs.jpg
000016.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/03/Afghan-Kuchi-Dog-Pictures.jpg
000017.jpg,https://apollo-singapore.akamaized.net/v1/files/bke44245wf2k2-PK/image;s=272x0
000018.jpg,https://i.pinimg.com/originals/22/59/34/225934afe927da019531f9ecb49ffdac.jpg
000019.jpg,https://pbs.twimg.com/media/Djh7KCJWsAAW591.jpg
000020.jpg,https://banner2.kisspng.com/20180516/rjw/kisspng-dog-breed-american-pit-bull-terrier-german-shepher-5afcea5adf3dc4.9570393515265245069144.jpg
000021.jpg,https://i.ytimg.com/vi/uSFLmj3Kn9E/maxresdefault.jpg
000022.jpg,http://4.bp.blogspot.com/-EbFLCTixcQ0/UeD0ZrDry-I/AAAAAAAAAns/Or6yYzRhtyo/s1600/j%C3%B32.jpg
000023.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Kuchi-Lion-Type.jpg
000024.jpg,https://cdn.newsday.com/polopoly_fs/1.3536429.1329445070!/httpImage/image.JPG_gen/derivatives/landscape_768/image.JPG
000025.jpg,http://watanchat.com/wp-content/uploads/2017/03/Afghan_Shepherd-581x330.jpg
000026.jpg,https://i.ebayimg.com/images/g/j78AAOSwqz9bVgkW/s-l300.jpg
000027.jpg,https://alchetron.com/cdn/kuchi-dog-36423915-dbd0-4fdd-99e3-f23df26dfb7-resize-750.jpeg
000028.jpg,https://live.staticflickr.com/210/500836085_6d19d81f8c_b.jpg
000029.jpg,https://thestubbythumb.com/wp-content/uploads/2012/06/IMG_0139.jpg
000030.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/03/Afghan-Kuchi-Dog.jpg
000031.jpg,https://cdn.imgbin.com/9/9/12/imgbin-afghan-hound-samoyed-dog-kuchi-dog-azawakh-dogue-de-bordeaux-afghan-hound-bdKLF6K4L6SYrcaxr8wQTSAeA.jpg
000032.jpg,https://apollo-singapore.akamaized.net/v1/files/yhhtyommh1fm1-PK/image;s=850x0
000033.jpg,https://i.pinimg.com/originals/2b/ba/b3/2bbab384cc7fa0341292927fa06a0776.jpg
000034.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Kattai_dog_alias_kattakal_dog_nagapattinam_indian_dog_breed.jpg
000035.jpg,http://1.bp.blogspot.com/_Pw6OL7nh4yE/TSw4g_n3UJI/AAAAAAAAAtQ/P1eW8ZR2gJA/s1600/rq0013.jpg
000036.jpg,https://thestubbythumb.com/wp-content/uploads/2012/06/IMG_0146.jpg
000037.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Sage-Kuchi.jpg
000038.jpg,https://www.dog-breeds-expert.com/images/sage_koochee_hirtenhundeweltDOTde.jpg
000039.jpg,https://gdb.rferl.org/A5165F6F-E49D-415A-98DF-11C64F8407FB_w650_r1_s.jpg
000040.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185837/Central-Asian-Shepherd-Dog-on-White-02.jpg
000041.jpg,https://apollo-singapore.akamaized.net/v1/files/7ljzt0i8rd7w1-PK/image;s=272x0
000042.jpg,http://bolee.com/resources/items/img/2015/04/30/7765560541430396677.jpg
000043.jpg,https://i.ytimg.com/vi/iBzZAc0ggII/hqdefault.jpg
000044.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Kuchi-Dog-Puppies.jpg
000045.jpg,http://bolee.com/resources/items/img/2015/04/30/thmb/5638914011430396677.jpg
000046.jpg,https://img.huffingtonpost.com/asset/5d020743210000dc18ecb361.jpeg?ops=scalefit_630_noupscale
000047.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10185/Sage_Koochi.jpg
000048.jpg,https://4.bp.blogspot.com/-1czC-hlPdMo/XMc5WVr_dII/AAAAAAAAC1E/gmVN81GfiWYh9l3NVvVNbZ5VB37Ii7hmQCLcBGAs/s1600/Kuchi%2Bdog.jpg
000049.jpg,https://www.modernmolosser.com/sites/default/files/styles/slideshow/public/field/image/TM%20Kachook%20in%20NY.jpg?itok=4tF2S7W2
000050.jpg,http://www.bendbulletin.com/csp/mediapool/sites/dt.common.streams.StreamServer.cls?STREAMOID=hPXp3QaGOGM2cWrIqT2u4M$daE2N3K4ZzOUsqbU5sYuJVWUJCvKmy6PDNg6d$IE1WCsjLu883Ygn4B49Lvm9bPe2QeMKQdVeZmXF$9l$4uCZ8QDXhaHEp3rvzXRJFdy0KqPHLoMevcTLo3h8xh70Y6N_U_CryOsw6FTOdKL_jpQ-&CONTENTTYPE=image/jpeg
