image,source
000001.jpg,https://i.ytimg.com/vi/8DpHRa3XCOg/maxresdefault.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Kunming_Dog.jpg
000003.jpg,https://i.ytimg.com/vi/9Gzly3KJOMA/maxresdefault.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Kunming-Wolfdog.jpg
000005.jpg,https://animalso.com/wp-content/uploads/2018/08/kunming-head-on-ground-809x809.jpg
000006.jpg,https://animalso.com/wp-content/uploads/2018/07/Czechoslovakian-Wolfdog-1-809x540.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Chinese-Wolfdog.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Kunming-Wolfdog-Images.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Kunming-Wolfdog-Photos.jpg
000010.jpg,https://i.pinimg.com/originals/22/cc/ff/22ccffff3d50f718fd0346ab0a960ebf.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Kunming-Wolfdog-Pictures.jpg
000012.jpg,https://areiel.files.wordpress.com/2012/07/1_5_1_0.jpg
000013.jpg,https://animalso.com/wp-content/uploads/2018/08/kunming-puppy.jpg
000014.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Kunming-Wolfdogs.jpg
000015.jpg,https://areiel.files.wordpress.com/2012/07/kunming-wolf-dog.jpg
000016.jpg,https://i.pinimg.com/originals/7b/83/04/7b8304f7f86d3fad02003b2af4ae1796.jpg
000017.jpg,https://get.pxhere.com/photo/german-shepherd-dog-dog-like-mammal-german-shepherd-dog-dog-breed-kunming-wolfdog-old-german-shepherd-dog-king-shepherd-snout-carnivoran-dog-breed-group-1457765.jpg
000018.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Kunming-Wolfdog-Puppies.jpg
000019.jpg,https://images.instapainting.com/581eedef87456ffe6b8b456a.jpg?w=600&h=600&fp-x=0.5&fp-y=0.5&fp-z=1.2&fit=crop&crop=focalpoint&auto=enhance%2Ccompress%2Cformat
000020.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ku/kunming-thread-breed.jpg
000021.jpg,http://www.dogwallpapers.net/wallpapers/lovely-kunming-wolfdog-photo.jpg
000022.jpg,https://banner2.kisspng.com/20180510/yuq/kisspng-german-shepherd-kunming-wolfdog-siberian-husky-anc-5af42c02511998.3535448215259514903322.jpg
000023.jpg,https://banner2.kisspng.com/20180718/wep/kisspng-german-shepherd-kunming-wolfdog-collar-leather-dog-to-observe-and-learn-from-real-life-5b4ec476e8d0d4.1221959315318887589536.jpg
000024.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Images-of-Kunming-Wolfdog.jpg
000025.jpg,https://get.pxhere.com/photo/german-sheperd-dog-old-german-shepherd-dog-dog-like-mammal-german-shepherd-dog-dog-breed-mammal-kunming-wolfdog-king-shepherd-east-european-shepherd-snout-carnivoran-tervuren-dog-breed-group-shiloh-shepherd-dog-1454733.jpg
000026.jpg,https://banner2.kisspng.com/20181124/lbf/kisspng-german-shepherd-tervuren-kunming-wolfdog-dog-breed-similiar-fake-wolf-keywords-5bfa1498a740a8.7834096115431159286851.jpg
000027.jpg,https://thumbs.dreamstime.com/z/portrait-kunming-wolfdog-posing-tulip-field-131565050.jpg
000028.jpg,https://img1.akspic.com/image/13125-golden_retriever-old_german_shepherd_dog-kunming_wolfdog-dachshund-dog_breed-2048x1152.jpg
