image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Kuri%2C_Maori_or_native_dog%2C_Dominion_Museum_collection%2C_1924.jpg
000002.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/8/89/Kuri_dog.jpg/revision/latest?cb=20170909141300
000003.jpg,https://teara.govt.nz/files/p16216wmu.jpg
000004.jpg,https://teara.govt.nz/files/hero16216.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Otago_Museum_Kuri_-_OMNZVT2162_03_%28cropped%29.jpg
000006.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Kur%C4%AB-dog-breed-750x450.jpg
000007.jpg,http://www.easypetmd.com/sites/default/files/Kuri%20Dog%20(2).jpg
000008.jpg,https://teara.govt.nz/files/large_images/p-16221-cmu.jpg
000009.jpg,https://i2.wp.com/www.sciencemediacentre.co.nz/wp-content/upload/2015/10/Kuri.jpg?fit=1362%2C2048&ssl=1
000010.jpg,https://image.slidesharecdn.com/sjl2oct2015-151117022105-lva1-app6891/95/school-journal-l2-oct-2015-8-638.jpg?cb=1447726914
000011.jpg,https://teara.govt.nz/files/p16234wmu.jpg
000012.jpg,https://blog.tepapa.govt.nz/wp-content/uploads/2012/04/kuri1-464x410.jpg
000013.jpg,https://blog.tepapa.govt.nz/wp-content/uploads/2012/04/kuri2-444x464.png
000014.jpg,https://i.ytimg.com/vi/w8DXjad5ue8/maxresdefault.jpg
000015.jpg,https://www.aucklandmuseum.com/getattachment/discover/stories/blog/2018/kuri-in-archaeology/Fishhook_embed2.jpg?lang=en-NZ&width=837&height=460&ext=.jpg
000016.jpg,https://fourelementsphotography.files.wordpress.com/2012/10/img_0980.jpg
000017.jpg,https://teara.govt.nz/files/kuri-polynesian-dogs-16216.jpg
000018.jpg,https://ars.els-cdn.com/content/image/1-s2.0-S2352409X16300906-fx1.jpg
000019.jpg,https://scontent-yyz1-1.cdninstagram.com/vp/44808333b3b3add7c28382b3d1dd5804/5DC4D545/t51.2885-15/e35/59739803_116528102893771_6317192953034812833_n.jpg?_nc_ht=scontent-yyz1-1.cdninstagram.com
000020.jpg,https://www.aucklandmuseum.com/getattachment/discover/stories/blog/2018/kuri-in-archaeology/30767_001.jpg?lang=en-NZ&width=2000&height=1333&ext=.jpg
000021.jpg,https://media.tepapa.govt.nz/collection/84058/thumb
000022.jpg,https://media.tepapa.govt.nz/collection/278260/preview
000023.jpg,https://media.tepapa.govt.nz/collection/107351/preview
000024.jpg,https://pbs.twimg.com/media/DdguNlDV4AAeBlk.jpg
000025.jpg,https://teara.govt.nz/files/p16237wmu.jpg
000026.jpg,https://i.pinimg.com/originals/a1/51/24/a1512489fc7ce28924965e1f575ac024.jpg
000027.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Cape_Reinga_Lighthouse.jpg
000028.jpg,https://pics.me.me/tweet-pettymamii-found-out-who-my-real-friends-were-this-35373174.png
000029.jpg,http://i0.wp.com/www.wonderslist.com/wp-content/uploads/2014/09/Cordoba-Fighting-Dog.jpg
000030.jpg,https://collection.pukeariki.com/images/large/a78/a78_044.jpg
000031.jpg,https://cdn.eventfinda.co.nz/uploads/events/transformed/666526-312892-14.jpg
000032.jpg,https://i.pinimg.com/originals/ce/b1/3a/ceb13ac538e576b41e4d181c0753a19c.jpg
000033.jpg,https://images.twinkl.co.uk/tw1n/image/private/t_630/image_repo/13/00/nz-t-t-21030-doggy-doggy-wheres-my-bone-kur-kur-kei-hea-tku-wheua-activity-te-reo-mao_ver_2.jpg
000034.jpg,https://cor-liv-cdn-static.bibliocommons.com/image_proxy?url=http://christchurchcitylibraries.com/TiKoukaWhenua/Assets/images/kuri.jpg
000035.jpg,https://teara.govt.nz/files/35943-gh.jpg
000036.jpg,http://dogletter.com/images/braingame-treasure.jpg
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/STS008-36-1403_cropped_rotated.jpg/300px-STS008-36-1403_cropped_rotated.jpg
000038.jpg,https://cdn.eventfinda.co.nz/uploads/events/transformed/666526-312892-34.jpg?v=2
000039.jpg,https://www.pottonandburton.co.nz/wp-content/uploads/2018/07/Hapata-cover_300.jpg
000040.jpg,https://researchcommons.waikato.ac.nz/bitstream/handle/10289/975/FOR%20VIEWING%20Safety%20around%20dogs%20%285-6yrs%29%20-Te%20Reo%20Maori.pdf.jpg?sequence=19&isAllowed=y
000041.jpg,https://teara.govt.nz/files/p2300gns.jpg
000042.jpg,http://eng.keitemohiokoe.tki.org.nz/var/tki-mohio/storage/images/overview-of-chemistry/image-gallery/cloaks/kahu-kuri/4766-9-eng-NZ/Kahu-kuri_large-gallery.jpg
000043.jpg,https://www.aucklandmuseum.com/getattachment/discover/stories/blog/2018/kuri-in-archaeology/Jaw3.jpg?lang=en-NZ&width=2085&height=1390&ext=.jpg
000044.jpg,https://thespinoff.co.nz/wp-content/uploads/2018/09/GettyImages-733476935.jpg
000045.jpg,https://teara.govt.nz/files/large_images/33577-enz.jpg
000046.jpg,http://img.youtube.com/vi/XwLLvqJngks/0.jpg
000047.jpg,https://teara.govt.nz/files/a20259atl.jpg
000048.jpg,https://i.pinimg.com/originals/35/af/79/35af7946c8727008328808e094d0939d.jpg
000049.jpg,https://media.tepapa.govt.nz/collection/107358/thumb
000050.jpg,https://pbs.twimg.com/media/Dmx_N0pU0AA_t7c.jpg
