image,source
000001.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_22988_labrador-retriever-460x290.jpg
000002.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/labrador-retriever-dog-breed-pictures/labrador-retriever-dog-pictures-3.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231354/Labrador-Retriever-On-White-05-400x267.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231410/Labrador-Retriever-On-White-01.jpg
000005.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/01/labrador-retriever-vs-golden-retriever.jpg
000006.jpg,https://www.thelabradorsite.com/wp-content/uploads/2018/09/labrador-retrievers.jpg
000007.jpg,https://thelabradorclub.com/wp-content/uploads/2016/09/purpose-bg.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28125157/Chocolate-Labrador-retriever-puppy.jpg
000009.jpg,https://images.wagwalkingweb.com/media/breed/labrador-retriever/appearance/labrador-retriever.png
000010.jpg,https://thelabradorclub.com/wp-content/uploads/2016/09/dog-04.jpg
000011.jpg,https://embarkvet.com/wp-content/uploads/2018/07/LabradorRetriever_dogdnatest.jpg
000012.jpg,https://i.pinimg.com/originals/99/f9/ed/99f9ede31328c8484e9e252d08811535.jpg
000013.jpg,https://vetstreet.brightspotcdn.com/dims4/default/03f7acf/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F36%2F4fccb0a10611e087a80050568d634f%2Ffile%2FLabrador-4-645mk062111.jpg
000014.jpg,https://embarkvet.com/wp-content/uploads/2018/07/LabradorRetriever.jpg
000015.jpg,https://www.dogster.com/wp-content/uploads/2019/01/Yellow-Labrador-Retriever-happy-in-grass-.jpg
000016.jpg,https://t1.ea.ltmcdn.com/en/razas/0/0/1/img_100_labrador-retriever_0_600.jpg
000017.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos2-L/labrador-retriever-02.jpg
000018.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/flat-coated-retriever-card-medium.jpg?bust=1535567483&width=560
000019.jpg,https://www.certapet.com/wp-content/uploads/2018/06/lab-1.jpg
000020.jpg,https://dogs.pedigreeonline.com/images/breeds/dogs/labrador-retriever.jpg
000021.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231338/Labrador-Retriever-On-White-08-400x267.jpg
000022.jpg,https://www.thelabradorsite.com/wp-content/uploads/2018/09/black-labrador-retriever.jpg
000023.jpg,https://vetstreet.brightspotcdn.com/dims4/default/1e4edf2/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F0f%2Fb041c0a10611e087a80050568d634f%2Ffile%2FLabrador-3-645mk062111.jpg
000024.jpg,https://www.europuppy.com/wp-content/uploads/kcs5233-1.jpg
000025.jpg,https://www.pets4homes.co.uk/images/breeds/11/large/54a687ba510d43c0f7759831b7a5bde1.jpg
000026.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Labrador-Retriever_Mobile.jpg?h=300&la=en&w=375&hash=F0F9DE2114992B979FB8197D7DC890A7
000027.jpg,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2019/03/640/320/1862/1048/laborador-retriever.jpg?ve=1&tl=1?ve=1&tl=1
000028.jpg,https://www.petplan.co.uk/images/breed-info/labrador/black-labrador_vital-stats_petplan.jpg
000029.jpg,https://www.rover.com/blog/wp-content/uploads/2019/05/Labrador-s-with-Horns-87550.jpg
000030.jpg,https://komonews.com/resources/media/bb022c43-7436-4f55-8169-097b361d152f-large16x9_180328_komo_labrador_retriever_986.jpg?1553101228784
000031.jpg,https://www.thelabradorsite.com/wp-content/uploads/2017/12/vs.jpg
000032.jpg,https://img.dog-learn.com/dog-breeds/labrador-retriever/labrador-retriever-i2-sz14.jpg
000033.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/02.-Labrador-retriever.jpg
000034.jpg,https://i.ytimg.com/vi/RKD3fakO6hs/maxresdefault.jpg
000035.jpg,https://thedogblog.bil-jac.com/media/1268/breed-history-where-did-labrador-retrievers-come-from.jpg?anchor=center&mode=crop&width=800&height=400&rnd=131939262170000000
000036.jpg,https://www.thesprucepets.com/thmb/lThTKZSTuVxIsaCOsvnoGmjNC4g=/666x666/filters:no_upscale()/5_Popular-5c1e80d046e0fb00013fc0e5.jpg
000037.jpg,https://www.k9web.com/wp-content/uploads/2019/01/labrador-retriever-dog-2.jpg
000038.jpg,https://hips.hearstapps.com/toc.h-cdn.co/assets/15/25/gettyimages-557062481.jpg
000039.jpg,https://cdn1.playbarkrun.com/wp-content/uploads/2018/05/28100508/Lab.jpg
000040.jpg,https://cdn.britannica.com/s:300x300/05/8105-004-2F41FD96.jpg
