image,source
000001.jpg,https://www.pets4homes.co.uk/images/breeds/219/large/b204a10495b945e8dda5b16d9403e363.jpg
000002.jpg,https://i.pinimg.com/736x/d7/ed/da/d7eddaec18fedf6814e611e46adddddd.jpg
000003.jpg,https://www.petmd.com/sites/default/files/breedopedia/Lancashire_Heeler.jpg
000004.jpg,https://www.discoverdogs.org.uk/media/9205/tkc_71464-copy.jpg
000005.jpg,https://sites.create-cdn.net/siteimages/22/5/4/225435/1804738.jpg
000006.jpg,https://nimages.champdogs.net/breeds/lancashire-heeler.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30165210/Lancashire-heeler.1.jpg
000008.jpg,http://puppyfinder.org.uk/wp/wp-content/uploads/2013/01/lancashire_heeler.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Lancashire_Heeler_600.jpg
000010.jpg,https://www.discoverdogs.org.uk/media/9206/tkc_32110-copy.jpg
000011.jpg,https://static1.viovet.co.uk/petphotos/85038_3eb124ed02f4c3dbcf4a83bf23ce66bd.jpg
000012.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Lancashire-Heeler-3.jpg
000013.jpg,https://madincrowd.co.uk/wp-content/uploads/2017/11/IMG_1025.jpg
000014.jpg,https://www.purina.co.uk/sites/g/files/mcldtz2481/files/2017-12/lancashire_heeler_400x378_0.jpg
000015.jpg,https://www.showsightmagazine.com/files/news/5b4f595aab9071.30502411.jpg
000016.jpg,https://i.pinimg.com/originals/13/7d/4e/137d4ec897a633c280848f943939f836.jpg
000017.jpg,https://www.petguide.com/wp-content/uploads/2017/08/lancashire-heeler-1.jpg
000018.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Lancashire-Heeler.jpg
000019.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23282_lancashire-heeler-460x290.jpg
000020.jpg,https://www.dogbreedinfo.com/images10/Lancashire%20Heeler9P91D035.jpg
000021.jpg,https://www.petguide.com/wp-content/uploads/2017/08/lancashire-heeler.jpg
000022.jpg,https://i1.wp.com/www.allaboutdogs.net/wp-content/uploads/2016/05/Lancashire-Heeler.jpg?resize=740%2C414&ssl=1
000023.jpg,https://live.staticflickr.com/7440/16493254371_efa4c65eff_b.jpg
000024.jpg,https://cdn.akc.org/Marketplace/Breeds/Lancashire_Heeler_SERP.jpg
000025.jpg,https://www.pets4homes.co.uk/images/classifieds/2015/04/01/924350/lancashire-heeler-puppies-due-early-may-553f32bee1d87.jpg
000026.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Lancashire-Heeler-2.jpg
000027.jpg,https://sites.create-cdn.net/siteimages/2/6/9/26930/1474443.jpg
000028.jpg,https://www.dogbreedplus.com/dog_breeds/images/lancashire_heeler_002.jpg
000029.jpg,https://images.wagwalkingweb.com/media/breed/lancashire-heeler/hero/lancashire-terrier-1.jpg
000030.jpg,https://images.wagwalkingweb.com/media/breed/lancashire-heeler/appearance/lancashire-heeler.png
000031.jpg,https://www.k9rl.com/wp-content/uploads/2016/08/Lancashire-Heeler.jpg
000032.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30165244/Lancashire-Heeler.jpg
000033.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Lancashire-Heeler-Images.jpg
000034.jpg,https://www.lancashireheelers.org/images/rescues/Jasper2016a.jpg
000035.jpg,https://www.ckc.ca/CanadianKennelClub/media/Breed-Images/Herding/LancashireHeeler-F.jpg
000036.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/lancashire-heeler-dog-breed-pictures/facecute-7_680-453.jpg
000037.jpg,http://dogbreedsaz.com/wp-content/uploads/2018/10/Lancashire-Heeler.jpg
000038.jpg,https://static1.viovet.co.uk/petphotos/63368_58e52d2bd4572a62c8292ba2f1b43b5b.jpg
000039.jpg,https://live.staticflickr.com/7333/16288566207_656b4b043b_b.jpg
000040.jpg,https://planetdetective.com/wp-content/uploads/Lancashire-Heeler-Dog-13.jpg
000041.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194534/Lancashire-Heeler-History-03.jpg
000042.jpg,https://doglime.com/wp-content/uploads/2019/03/Lancashire-Heeler.jpg
000043.jpg,https://i.ytimg.com/vi/8b5cyV1Wn48/hqdefault.jpg
000044.jpg,http://www.dogzone.com/images/breeds/lancashire-heeler.jpg
000045.jpg,https://animalsbreeds.com/wp-content/uploads/2014/06/Lancashire-Heeler-13.jpg
000046.jpg,https://www.animalhub.com/wp-content/uploads/2013/01/Lancashire-Heeler.jpg
000047.jpg,https://www.pets4homes.co.uk/images/classifieds/2013/12/13/506956/large/lancashire-heeler-puppies-for-sale-52ab9497a360b.JPG
000048.jpg,http://www.dogbreedhealth.com/wp-content/uploads/2015/06/Lancashire_Heeler.jpg
000049.jpg,http://2.bp.blogspot.com/-qrWRsSJcqBQ/UFnQhvIeD9I/AAAAAAAAQt4/0cYW47UUk-4/s1600/Lancashire+Heeler.jpg
000050.jpg,https://www.lancashireheelers.org/images/FAQ/do_lancashire_heelers_shed_much_hair_lida.jpg
