image,source
000001.jpg,http://www.dogzone.com/images/breeds/lapponian-herder.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231210/Lapponian-Herder-On-White-01.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191208/Lapponian-Herder-History-01.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03092437/lapponian-herder-1-800x600.jpg
000005.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/krng-810x485.jpg
000006.jpg,https://primitivedogs.com/wp-content/uploads/2016/02/Lapponian-Herder-featured-800x324.jpg
000007.jpg,https://www.petguide.com/wp-content/uploads/2016/07/lapponian-herder.jpg
000008.jpg,https://i.ytimg.com/vi/8LJrDEX1KL8/hqdefault.jpg
000009.jpg,https://i.pinimg.com/236x/fa/ec/59/faec5940d2f73df4452f742ac2d102d0--finland-reindeer.jpg
000010.jpg,https://www.holidogtimes.com/wp-content/uploads/2018/06/lapponian-herder-dog-810x409.png
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191206/Lapponian-Herder-History-03.jpg
000012.jpg,https://animalsbreeds.com/wp-content/uploads/2015/11/Lapponian-Herder-2.jpg
000013.jpg,https://doglime.com/wp-content/uploads/2019/03/Lapponian-Herder-Puppy.jpg
000014.jpg,https://doglime.com/wp-content/uploads/2019/03/Lapponian-Herder.jpg
000015.jpg,https://t.jwwb.nl/PQHhwQdLn7PT0aKM9NkBDhDdeZ4=/448x0/f.jwwb.nl%2Fpublic%2F5%2F9%2F3%2Flaplandseherdershond%2Fimg-5863-jaana-en-arkos1.large.jpg
000016.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/%D0%BB%D0%BE%D1%8B%D0%B8%D0%BB%D0%BC%D0%BE%D1%82%D1%83-680x574.jpg
000017.jpg,https://www.skk.se/globalassets/nku/filer/images/nordic-breeds/lapponian_herder.jpg
000018.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Lapponian-Reindeer-Herder.jpg
000019.jpg,https://dogs.pedigreeonline.com/images/breeds/dogs/lapponian-herder.jpg
000020.jpg,http://primitivedogs.com/wp-content/uploads/2016/02/Lapponian-Herder-300x283.jpg
000021.jpg,https://doggiedesigner.com/wp-content/uploads/2018/03/6.1.jpg
000022.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194510/Lapponian-Herder-Care.jpg
000023.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Lapp-Reindeer-Dog.jpg
000024.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/08/Lapponian-Reindeer-Dog.jpg
000025.jpg,https://i.pinimg.com/originals/93/6c/5e/936c5e7f2813567091c60dbd1c6aa478.jpg
000026.jpg,https://images.ctfassets.net/w00x6p5qkejz/4dA3zAPusMSgyEOgq04Aik/431eefda325399e373c3b8e37990dc14/Lapponian_Herder_1.jpg
000027.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Lapskvallhund.jpg
000028.jpg,http://www.suukkosuun.net/pusu1.jpg
000029.jpg,https://images.ctfassets.net/w00x6p5qkejz/4Qqbxz3RxuaWIU40cIOIou/50184f1348494c481629862794755199/Lapponian_Herder_3.jpg
000030.jpg,https://dogsaholic.com/wp-content/uploads/2018/04/Lapponian-Herder-staying-in-wood-680x453.jpg
000031.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Lapponian-Herder-3.jpg
000032.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194515/Lapponian-Herder-MP.jpg
000033.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Lapponian_Herder_1.jpg
000034.jpg,https://images.ctfassets.net/w00x6p5qkejz/19R4u6FG3uMSYIWeSmeIqi/8a41d1f9edf2b656c83b96ce96507dad/Lapponian_Herder_Rev_B_W_Small_File.png
000035.jpg,https://animalsbreeds.com/wp-content/uploads/2015/11/Lapponian-Herder-5.jpg
000036.jpg,https://c8.alamy.com/comp/BDX6K6/lapponian-herder-lapinporokoira-or-lapp-reindeer-dog-sitting-in-a-BDX6K6.jpg
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Lapponian_Herder_3.jpg
000038.jpg,https://thumbs.dreamstime.com/z/lapponian-herder-lapinporokoira-lapp-reindeer-dog-lapsk-vallhund-licking-background-blue-lake-finnish-lapland-138979549.jpg
000039.jpg,https://doggiedesigner.com/wp-content/uploads/2018/03/6.2.jpg
000040.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Lapponian-Herder-Puppy.jpg
000041.jpg,https://doglime.com/wp-content/uploads/2019/03/Finnish-Lapphund.jpg
000042.jpg,https://live.staticflickr.com/4733/25374097088_274240733c_b.jpg
000043.jpg,https://i.pinimg.com/736x/ba/5a/1f/ba5a1f9a2a26f5b04a7e1cf9563cb564.jpg
000044.jpg,https://previews.agefotostock.com/previewimage/medibigoff/c77cc6fd1d2dea4fcfdff7767a4e83c4/ibr-1227033.jpg
000045.jpg,https://www.doglib.com/wp-content/uploads/sites/2/la/lapponian-lapponian-herder-dog-breed.jpg
000046.jpg,https://doglime.com/wp-content/uploads/2019/03/Lapponian-Herder-1.jpg
000047.jpg,https://c8.alamy.com/comp/BDX5JM/lapponian-herder-lapinporokoira-or-lapp-reindeer-dog-lying-on-a-plateau-BDX5JM.jpg
000048.jpg,https://www.kennelliitto.fi/sites/default/files/styles/mobile_large_header_640x430/public/images/05toukokuu_EmiliaLaakkonen.jpg?h=ed72f365&itok=rkSRsQVZ
000049.jpg,https://reindeerlakeresort.fi/userassets/uploads/2017/08/reindeer-dog-finland-493x700.jpg
000050.jpg,http://www.pedigreedatabase.com/pictures/1237432.jpg
