image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/29004e2/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F2b%2F510f80a38711e087a80050568d634f%2Ffile%2Flarge-Munsterlander-4-645mk062411.jpg
000002.jpg,http://www.dogzone.com/images/breeds/large-munsterlander.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2018/04/large-m%C3%BCnsterl%C3%A4nder.jpg
000004.jpg,https://vetstreet-brightspot.s3.amazonaws.com/3d/be77c0a38711e087a80050568d634f/file/large-Munsterlander-5-645mk062411.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Large-Munsterlander.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Largemunsterlanderpuppyattenweeks.JPG/220px-Largemunsterlanderpuppyattenweeks.JPG
000007.jpg,https://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/6/2017/10/1-2-630x420.png
000008.jpg,http://www.largemunsterlander.co.uk/uploads/1/7/1/2/17123852/edited/1105-4.jpeg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Large-Munsterlander-Dog.jpg
000010.jpg,http://www.cazooska.co.uk/uploads/1/1/6/9/116918908/1photo-786x582_orig.jpg
000011.jpg,http://nebula.wsimg.com/02383ad081ff18346b2ff1f8899d6912?AccessKeyId=37E13C0F7E75CF702B85&disposition=0&alloworigin=1
000012.jpg,https://www.dogbreedinfo.com/images12/LargeMunsterlanderImg1171.JPG
000013.jpg,https://www.petguide.com/wp-content/uploads/2018/04/large-m%C3%BCnsterl%C3%A4nder-2.jpg
000014.jpg,http://breedfinder.ikc.ie/Content/images/breeds/39_large_munsterlander.jpg
000015.jpg,http://mallingdowndogs.co.uk/wp-content/uploads/2016/06/MG_0486.jpg
000016.jpg,https://i.pinimg.com/originals/d8/41/a2/d841a237b23b7fceb79338389f8d90e4.jpg
000017.jpg,http://www.lmcna.org/DaffodilDogs2014sm.jpg
000018.jpg,https://vetstreet.brightspotcdn.com/dims4/default/9e5f41a/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F07%2F707d80a38711e087a80050568d634f%2Ffile%2Flarge-Munsterlander-2-645mk062411.jpg
000019.jpg,https://www.pets4homes.co.uk/images/articles/2604/large/large-munsterlander-dog-hereditary-health-and-longevity-54d8f1baa2f96.jpg
000020.jpg,https://vetstreet.brightspotcdn.com/dims4/default/c09aa1a/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fe7%2F8e6950a38611e087a80050568d634f%2Ffile%2Flarge-Munsterlander-1-645mk062411.jpg
000021.jpg,http://nebula.wsimg.com/6ab261294dadd5a7706899bd2159eef2?AccessKeyId=37E13C0F7E75CF702B85&disposition=0&alloworigin=1
000022.jpg,https://nimages.champdogs.net/breeds/large-munsterlander.jpg
000023.jpg,https://vetstreet-brightspot.s3.amazonaws.com/e7/8e6950a38611e087a80050568d634f/file/large-Munsterlander-1-645mk062411.jpg
000024.jpg,https://cdn.omlet.co.uk/images/cache/550/768/Dog-Large_Munsterlander-A_gorgeous_black_Large_Munsterlander_with_a_lovely_soft_coat.jpg
000025.jpg,https://cdn.omlet.co.uk/images/cache/512/768/Dog-Large_Munsterlander-An_adorable_Large_Munsterlander_with_his_tongue_out.jpg
000026.jpg,https://alaska-yukon-navhda.org/assets/images/Large_Munterlander_2.jpg
000027.jpg,https://www.pets4homes.co.uk/images/breeds/375/large/67f7ba3cff42791df51d7f2192649032.jpg
000028.jpg,http://4.bp.blogspot.com/-zQUM2-pnkWo/T7JMhh0DSQI/AAAAAAAACPo/ta0O1X12u0Y/s1600/Large+Munsterlander-20021010072.jpg
000029.jpg,https://vetstreet-brightspot.s3.amazonaws.com/19/360d00a38711e087a80050568d634f/file/large-Munsterlander-3-645mk062411.jpg
000030.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19190032/Munsterlander.5.jpg
000031.jpg,https://cdn.omlet.co.uk/images/cache/1024/682/Dog-Large_Munsterlander-A_lovely_young_Large_Munsterlander_with_silky_black_ears.jpg
000032.jpg,https://nimages2.champdogs.net/36095/p45394138.jpg
000033.jpg,https://www.dogbreedinfo.com/images12/LargeMunsterlanderMonti.JPG
000034.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Large-Munsterlander-Photos.jpg
000035.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Large-Munsterlander-2.jpg
000036.jpg,http://www.completedogsguide.com/images/dog-breeds/largepic/Large-Munsterlander.jpg
000037.jpg,http://mallingdowndogs.co.uk/wp-content/uploads/2016/06/Screen-Shot-2016-06-22-at-09.31.33.png
000038.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Large-Munsterlander-Hunting.jpg
000039.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/1592.png
000040.jpg,https://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/6/2017/10/2-2-630x420.png
000041.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Grote_M%C3%BCnsterl%C3%A4nder_-_world_dog_show_2010.jpg/220px-Grote_M%C3%BCnsterl%C3%A4nder_-_world_dog_show_2010.jpg
000042.jpg,https://i.ytimg.com/vi/vewx3ObyYPc/hqdefault.jpg
000043.jpg,https://st4.depositphotos.com/22463484/23958/i/1600/depositphotos_239584362-stock-photo-large-munsterlander-dog-running.jpg
000044.jpg,https://i.pinimg.com/originals/14/2e/53/142e530c866edd841c349e061dc987d4.jpg
000045.jpg,https://alaska-yukon-navhda.org/assets/images/IMG_5003.PNG
000046.jpg,https://www.dogbreedinfo.com/images/MunsterlanderTimo1.jpg
000047.jpg,https://i1.wp.com/fishgame.com/wp-content/uploads/2017/04/GC-1_24-BakerBWT-1-resize.jpg?fit=720%2C540&ssl=1
000048.jpg,https://2.bp.blogspot.com/-Cvj2QxEUDSM/VvzhaSUpjLI/AAAAAAAAEIM/249ejp9Mb_IU8_L5PdQTFhMdTqlS9y3BA/s1600/LM%2Bblack%2Bbrown%2Bbucket.jpg
000049.jpg,https://upload.wikimedia.org/wikipedia/commons/6/61/GrosserMuensterlaender.jpg
000050.jpg,https://retrieverman.files.wordpress.com/2011/07/large-munsterlander-retrieving-a-fox.jpg?w=500&h=396
