image,source
000001.jpg,http://cdn.tipresentoilcane.com/wp-content/uploads/2011/08/06072037/lupo_italiano.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/LupoItaliano.jpg
000003.jpg,https://i.pinimg.com/originals/70/e8/d6/70e8d6c65f1b758ffb7f22217a2b7990.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Lupo-Italiano-Images.jpg
000005.jpg,https://i.pinimg.com/originals/f9/20/0c/f9200c5bf59feed671dc845b3eeb54a9.jpg
000006.jpg,https://live.staticflickr.com/113/286706221_11b4f4f224_z.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Lupo-Italiano-Pictures.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Images-of-Lupo-Italiano.jpg
000009.jpg,http://eng.agraria.org/dog/lupoitaliano1.JPG
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Italian-Wolfdog.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Lupo-Italiano-Photos.jpg
000012.jpg,https://img.pixers.pics/pho_wat(s3:700/FO/30/26/26/71/700_FO30262671_562e59c0608cf1c06b466fc234123720.jpg,700,469,cms:2018/10/5bd1b6b8d04b8_220x50-watermark.png,over,480,419,jpg)/stickers-lupo-italiano.jpg.jpg
000013.jpg,http://dogbreeds.bulldoginformation.com/lupo-italiano-2.jpg
000014.jpg,https://ar.allevamentirazze.it/public/immagini/articoli/cb/3dc5b1d6-0e78-46f5-8b54-d416bbd28f64/lupo-italiano-gioca-muso-Bn4pb1.jpg
000015.jpg,https://i.pinimg.com/originals/08/b8/c1/08b8c18163977941ca7f17a49430b530.jpg
000016.jpg,http://www.dogbreedsnow.com/dogbreed/lupo_italiano/lupo_italiano_2.jpg
000017.jpg,https://i.pinimg.com/originals/4b/94/02/4b94025ca03e0231cfa37f589771b95e.jpg
000018.jpg,https://live.staticflickr.com/4722/40391736982_f0e4b365f9_b.jpg
000019.jpg,http://www.menandpets.com/cani/images/1lupoitalianoscheda4.jpg
000020.jpg,http://www.uniat.it/wp-content/themes/_advanced-newspaper/timthumb.php?src=http://www.uniat.it/wp-content/uploads/2017/05/lupo-italiano.jpg&q=90&w=479&zc=1
000021.jpg,http://www.agraria.org/cani/canedapastoreitaliano.jpg
000022.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/09/Lupo-Italiano-Puppies.jpg
