image,source
000001.jpg,https://i.ytimg.com/vi/afl_zNqgCj4/hqdefault.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Magyar_ag%C3%A1r_male.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/0/07/Magyar_agar_kan.jpg
000004.jpg,http://www.vakvagta.hu/images/article/vakvagta_indian.jpg
000005.jpg,https://vignette.wikia.nocookie.net/dogs-cats/images/3/35/Magyar_ag%C3%A1r_2..jpg/revision/latest?cb=20121203195136
000006.jpg,https://www.mascotarios.org/wp-content/uploads/2011/05/LebrelHungaro.jpg
000007.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/08/Screen-Shot-2017-08-06-at-6.29.53-PM.png
000008.jpg,https://i.ytimg.com/vi/V6vXkGJIqdI/maxresdefault.jpg
000009.jpg,https://www.petguide.com/wp-content/uploads/2017/07/magyar-agar.jpg
000010.jpg,http://www.dogwallpapers.net/wallpapers/magyar-ag%C3%A1r-dog-on-the-grass-photo.jpg
000011.jpg,https://images.ctfassets.net/w00x6p5qkejz/2xSt46hWvyaaMeYsSiMYmI/be348c8826f955b25f13bdc7ed0b9a95/Magyar_Agar2.png
000012.jpg,https://static-cdn.arcanum.hu/nfo-resources/kutyatar_pic/kutyatar/1/eb/4.bmp
000013.jpg,http://www.magyaragar.org/images/lunadude.jpg
000014.jpg,http://cdn.nwmgroups.hu/s/img/i/1310/20131031-magyar-agarak8.jpg
000015.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Magyar-Ag%C3%A1r-dog-characteristics.jpg
000016.jpg,http://www.kutya-tar.hu/kutyak1/magyar-agar/magyar-agar-06.jpg
000017.jpg,http://www.dogwallpapers.net/wallpapers/magyar-ag%C3%A1r-dog-with-the-owner-photo.jpg
000018.jpg,http://citydogs.hu/eo_galeria/1540/l_hu_Finom.jpg
000019.jpg,http://www.haziallat.hu/upload/4/article/5470/maygar_agar.jpg
000020.jpg,http://www.kutyakozpont.hu/wp-content/uploads/Magyar-ag%C3%A1r.jpg
000021.jpg,http://www.magyaragar.org/images/Yumi.jpg
000022.jpg,https://www.europuppy.com/wp-content/uploads/235-1024x640.jpg
000023.jpg,https://eupuppyfind.com/images/com_adsmanager/ads/magyar-agar-kiskutyak_2695_1.jpg
000024.jpg,https://c8.alamy.com/comp/PTPMCH/portrait-of-an-adorable-hungarian-agar-magyar-agr-isolated-on-white-background-PTPMCH.jpg
000025.jpg,https://julius-k9.com/wp-content/uploads/2018/12/6.jpg
000026.jpg,http://www.deepbeat.com/wp-content/uploads/2015/02/IMG_1924.jpg
000027.jpg,https://www.lokal.hu/wp-content/uploads/2018/02/ag%C3%A1r-Profimedia.jpg
000028.jpg,http://www.magyaragar.org/images/activedogs.jpg
000029.jpg,http://www.deepbeat.com/wp-content/uploads/2015/10/LS_2015_10_25-135.jpg
000030.jpg,http://cserihegyi.com/wp-content/uploads/2018/06/32399299_621314341553990_4944919341079461888_n.jpg
000031.jpg,https://www.dogzone.com/images/breeds/magyar-agar-800.jpg
000032.jpg,https://image.jimcdn.com/app/cms/image/transf/dimension=377x1024:format=jpg/path/s74644abb37a412da/image/ie4aca37b0ccfabf8/version/1486329934/image.jpg
000033.jpg,https://i.pinimg.com/originals/88/86/f5/8886f52bdf2ee891a387fff4ad0347c6.jpg
000034.jpg,http://www.magyaragar.org/images/h1.jpg
000035.jpg,https://images.ctfassets.net/w00x6p5qkejz/VPdeYegeyIouAaKK0402k/f6786f3ce152d16719d57b4517e19463/Magyar_Agar4.png
000036.jpg,http://www.kutya-tar.hu/kutyak1/magyar-agar/magyar-agar-05.jpg
000037.jpg,http://dogfriendlyplaces.eu/images/dogs/k9.jpg
000038.jpg,https://magyaragar.breedarchive.com/photo/download/259
000039.jpg,https://4.bp.blogspot.com/-tblR3ZlCRmQ/WD1YWc8TNBI/AAAAAAAAAIA/Ubki6PRWbRsTmdbySKnq6PszibpAaKIDgCLcB/w1200-h630-p-k-no-nu/327magyar%2Bagar.jpg
000040.jpg,https://c8.alamy.com/comp/BMYJP4/magyar-agar-dog-portrait-BMYJP4.jpg
000041.jpg,https://c8.alamy.com/comp/PTW89M/studio-shot-of-an-adorable-hungarian-agar-magyar-agr-running-on-white-background-PTW89M.jpg
000042.jpg,https://img.dog-learn.com/dog-breeds/magyar-agar/images/magyar-agar-12.jpg
000043.jpg,http://users2.ml.mindenkilapja.hu/users/fenyuzokennel/uploads/kezdolapkepK.jpg
000044.jpg,https://www.europuppy.com/wp-content/uploads/2016/01/xHungarian-Greyhound-480x360.jpg.pagespeed.ic.Hr6wdEks3D.jpg
000045.jpg,http://www.dutch-stafford.com/Site_M/Magyar%20Agar/magyar%20%20agar%205.jpg
000046.jpg,http://kutya.hu/admin/kepek/0c73079a-5005-456a-adac-fb0e64a6c42b.jpg
000047.jpg,http://citydogs.hu/eo_galeria/1540/photos/kucorgodombi_fodorka.jpg
000048.jpg,https://julius-k9.com/wp-content/uploads/2018/12/5.jpg
000049.jpg,https://images.ctfassets.net/w00x6p5qkejz/220VANCYYYAyeASkaA2gIk/f2eb5d6b861c2cd6204872851b445769/AKC_Magjar_Agar_B_W_Small_File.png
000050.jpg,https://cdn.nwmgroups.hu/s/img/i/1311/20131101magyar-agar.jpg?w=666&h=600
