image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Ca_de_Bestiar.JPG/220px-Ca_de_Bestiar.JPG
000002.jpg,https://i.pinimg.com/236x/0a/db/7b/0adb7b20539fa26182c13aef2e9e7a95--beautiful-dogs-shepherd-dogs.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2016/11/majorca-shepherd-dog-2.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Majorca-Shepherd-Dog-Images.jpg
000005.jpg,https://www.petguide.com/wp-content/uploads/2016/11/majorca-shepherd-dog.jpg
000006.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Majorca-Shepherd-Dog-Photos.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Ca-de-Bestiar.jpg
000008.jpg,https://i.pinimg.com/originals/cb/32/2d/cb322de5c562859ce291d398f9221165.jpg
000009.jpg,https://brit-petfood.com/file/nodes/product/malorsky%20ovcak.jpg
000010.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/03/Majorca-Shepherd-Dog-Images-248x300.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Majorca-Shepherd-Dog-Puppy.jpg
000012.jpg,https://i.pinimg.com/236x/14/6c/9d/146c9d62b3137e828c10a13b51eac14d--majorca-pastor.jpg
000013.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/03/Majorca-Shepherd-Dog-Photos-300x225.jpg
000014.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Majorca-Shepherd-Dog-Puppies.jpg
000015.jpg,https://mallorcaphotoblog.files.wordpress.com/2008/09/ca_de_bestiar.jpg
000016.jpg,http://www.gopetsamerica.com/breeds/majorca-shepherd-dog.jpg
000017.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/03/Majorca-Shepherd-326x245-1.jpg
000018.jpg,http://www.gopetsamerica.com/dog_breeds/pics/ca_de_bestiar1.jpg
000019.jpg,https://alchetron.com/cdn/majorca-shepherd-dog-bde40085-ed61-44b2-9932-9f396c681dc-resize-750.jpeg
000020.jpg,https://i.pinimg.com/originals/a7/eb/b4/a7ebb4d41636fc5397e1ab807d7f9f28.jpg
000021.jpg,https://t1.ea.ltmcdn.com/en/images/2/3/1/24_majorca_shepherd_dog_3132_23_600.jpg
000022.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2019/06/10891638_387099628123805_1265492795983813604_n.jpg
000023.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/08/Majorca-Shepherd-Dog.jpg
000024.jpg,https://wds2018.com/wp-content/uploads/2017/05/Perro-de-Pastor-Mallorquin.jpg
000025.jpg,https://thumbs.dreamstime.com/z/majorca-shepherd-dog-perro-de-pastor-mallorqu-n-digital-art-illustration-pet-originated-spain-domestic-animal-mammal-showing-128690166.jpg
000026.jpg,https://c8.alamy.com/comp/PFRHPB/majorca-shepherd-dog-perro-de-pastor-mallorquin-ca-de-bestiar-side-view-PFRHPB.jpg
000027.jpg,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/majorca-shepherd-dog-in-watercolor-pablo-romero.jpg
000028.jpg,https://dynamic.indigoimages.ca/books/1526921510.jpg?altimages=false&scaleup=true&maxheight=515&width=380&quality=85&sale=0&lang=en
000029.jpg,https://previews.123rf.com/images/omelnickiy/omelnickiy1607/omelnickiy160700019/62062781-the-majorcan-shepherd-dog-on-the-grass-court-in-the-background-of-a-wooden-fence.jpg
000030.jpg,https://st2.depositphotos.com/5018017/11723/i/950/depositphotos_117233766-stock-photo-the-majorcan-shepherd-dog-on.jpg
000031.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ma/majorca-belgian-shepherd-dog-groenendael-breed.jpg
000032.jpg,https://i.ytimg.com/vi/-N5CAkOlX7w/hqdefault.jpg
000033.jpg,http://www.molosserdogs.com/gallery/albums/userpics/cadebestiar.jpg
000034.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/croatian_sheepdog/croatian_sheepdog_1.jpg
000035.jpg,https://t3.ftcdn.net/jpg/01/16/27/08/500_F_116270809_D70c1OZV7kMjpxbxNQc4hHoxYza67geB.jpg
000036.jpg,http://i.imgur.com/BsrdgJm.jpg
