image,source
000001.jpg,https://vetstreet.brightspotcdn.com/dims4/default/c5c7a9d/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fd0%2F20%2F2952b024484c86eea31773b44f27%2Fmanchester-terrier-ap-0gfvbd-645-x-380.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/manchester-terrier-detail.jpg?bust=1535566100&width=355
000003.jpg,https://www.pets4homes.co.uk/images/breeds/148/large/8d8c4b92bf85faea113dc4413d260ff2.jpg
000004.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23224_manchester-terrier-460x290.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26203655/Manchester-Terrier-Standard-Slide-10.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/26221428/Manchester-Terrier-Slide-01.jpg
000007.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/toy-manchester-terrier-detail.jpg?bust=1535566112&width=355
000008.jpg,https://vetstreet.brightspotcdn.com/dims4/default/ec01c29/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F68%2F329a80a7de11e0a0d50050568d634f%2Ffile%2FManchester-Terrier-2-645mk062711.jpg
000009.jpg,https://vetstreet-brightspot.s3.amazonaws.com/4b/05e250a7de11e0a0d50050568d634f/file/Manchester-Terrier-1-645mk062711.jpg
000010.jpg,https://dogsaholic.com/wp-content/uploads/2016/08/Manchester-Terrier-dog-breed-810x637.jpg
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01152556/Manchester-Terrier-Standard-Care-02.jpg
000012.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/28015403/Manchester-Terrier-Toy-Care.jpg
000013.jpg,http://www.dogzone.com/images/breeds/manchester-terrier.jpg
000014.jpg,https://cdn.omlet.co.uk/images/cache/530/768/Dog-Manchester_Terrier-A_female_adult_Manchester_Terrier_standing_tall_showing_off_it's_beautiful,_slender_body.jpg
000015.jpg,https://cdn.omlet.co.uk/images/cache/514/768/Dog-Manchester_Terrier-A_male_adult_Manchester_Terrier_standing_tall,_showing_off_it's_muscular_body.jpg
000016.jpg,http://www.thedoglovershow.co.uk/sites/default/files/styles/675x450_scale_crop/public/Travis.jpg?itok=lT01U680
000017.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/1694.jpg
000018.jpg,https://pet-uploads.adoptapet.com/6/1/3/290120392.jpg
000019.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/11/manchester-terriers-portriat-3-outdoors.jpg
000020.jpg,https://d3fxc45vnyc74f.cloudfront.net/static/cache/7b/49/7b49ca6545c082966728efc49e4d8a48.jpg
000021.jpg,https://i.pinimg.com/originals/8f/da/71/8fda710bebf9dacc34dee332ad4007ed.jpg
000022.jpg,https://www.dogzone.com/images/breeds/toy-manchester-terrier.jpg
000023.jpg,https://www.petguide.com/wp-content/uploads/2013/04/manchester-terrier-new.jpg
000024.jpg,https://www.selectadogbreed.com/media/1612/englishtoyterrier_adult.jpg
000025.jpg,http://www.moonshadowskennel.com/wp-content/uploads/2018/09/Shilofrontheadshot.jpg
000026.jpg,https://previews.123rf.com/images/cynoclub/cynoclub1706/cynoclub170600195/80090510-puppy-manchester-terrier-in-front-of-white-background.jpg
000027.jpg,https://www.dogster.com/wp-content/uploads/2016/08/Manchester-Terrier-Standard_225.jpg
000028.jpg,https://i.ytimg.com/vi/JuF3reUfHvo/maxresdefault.jpg
000029.jpg,https://www.carealotpets.com/images/breeding/dog-breeds/ManchesterTerrier.jpg
000030.jpg,https://www.british-manchester-terrier-club.co.uk/wp-content/uploads/2018/04/7DSC08586-2.jpg
000031.jpg,https://www.petmd.com/sites/default/files/breedopedia/toy_manchester_terrier.jpg
000032.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Toy-Manchester-Terrier.jpg
000033.jpg,https://www.americanmanchester.org/resources/Finding%20a%20Manchester%20Slider/5084115019_755e00cc60_o.jpg
000034.jpg,https://www.americanmanchester.org/resources/Home%20Slider/Anchor,_the_Manchester_Terrier0.jpg
000035.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Manchester-Terrier-1.jpg
000036.jpg,http://knowledgebase.lookseek.com/images/animals/dogs/Manchester-Terrier.jpg
000037.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/manchester-terrier-dog-breed-pictures/face-3.jpg
000038.jpg,https://www.wikihow.com/images/thumb/d/d8/Train-a-Manchester-Terrier-Step-15.jpg/aid8565260-v4-728px-Train-a-Manchester-Terrier-Step-15.jpg
000039.jpg,https://www.pets4homes.co.uk/images/breeds/148/large/d21b3de038f386b09e781a180b0b2b93.jpg
000040.jpg,https://vetstreet.brightspotcdn.com/dims4/default/24cbf2e/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F84%2F9b1850a7de11e0a0d50050568d634f%2Ffile%2FManchester-Terrier-4-645mk062711.jpg
000041.jpg,https://i2.wp.com/www.allaboutdogs.net/wp-content/uploads/2016/05/Manchester-Terrier-Toy.jpg?resize=740%2C414&ssl=1
000042.jpg,https://www.smalldogplace.com/images/manchester-terrier-cc-sdp.jpg
000043.jpg,https://images-na.ssl-images-amazon.com/images/I/41uCZezghhL._SX258_BO1,204,203,200_.jpg
000044.jpg,https://previews.123rf.com/images/cynoclub/cynoclub1706/cynoclub170600270/80269382-puppy-manchester-terrier-and-adult-in-front-of-white-background.jpg
000045.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/manchester-terrier-toy_01_lg.jpg
000046.jpg,https://cdn.omlet.co.uk/images/cache/996/768/Dog-Manchester_Terrier-Two_healthy_adult_Manchester_Terriers_sitting_together,_waiting_for_a_command.jpg
