image,source
000001.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Maremma-Sheepdog_Mobile.jpg?h=300&la=en&w=375&hash=CDB728B816F7F0A5A508FC9668AC6C1A
000002.jpg,https://www.petguide.com/wp-content/uploads/2017/01/maremma-sheepdog.jpg
000003.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/Maremma-Sheepdog-1600x700.jpg
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Maremma-Sheepdog-2.jpg
000005.jpg,https://www.dogbreedinfo.com/images22/MaremmaSheepdogPiazzaNavonaPiaage15ForegroundSaracinaAge7.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Cane_Pastore_Abruzzese_Abruzzo.jpg
000007.jpg,http://www.dogzone.com/images/breeds/maremma-sheepdog.jpg
000008.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Maremma-Sheepdog-1.jpg
000009.jpg,https://www.dog-breeds-expert.com/images/379xNxmaremma650.jpg.pagespeed.ic.fvwDh8lHF-.jpg
000010.jpg,https://www.dogbreedinfo.com/images17/MaremmaSheepdogHarlee5YearsOld.jpg
000011.jpg,https://www.pets4homes.co.uk/images/breeds/390/large/0e75856718ff77020ba25d2722703dff.jpg
000012.jpg,https://dogsaholic.com/wp-content/uploads/2018/05/Maremma-Sheepdog-standing-in-the-field-810x608.jpg
000013.jpg,https://www.dogexperts.info/wp-content/uploads/2017/01/Maremma-Sheepdog.jpg
000014.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/03/Maremma-Sheepdog-Images.jpg
000015.jpg,http://onlydogbreeds.com/images/dogsTable/maremma_sheepdog.jpg
000016.jpg,https://www.dog-breeds-expert.com/images/maremma640.jpg
000017.jpg,http://nnimgt-a.akamaihd.net/transform/v1/crop/frm/HP8JNNb9L5GxeLhGSmNhXK/248ec556-2f59-44ee-b745-698a86d25de6.JPG/r2125_635_3702_2584_w1200_h678_fmax.jpg
000018.jpg,https://i.pinimg.com/originals/c9/f0/52/c9f0523a576d3b03348d86689ddc22e6.jpg
000019.jpg,https://i.ytimg.com/vi/UybYP_DZH4M/maxresdefault.jpg
000020.jpg,https://img.dog-learn.com/dog-breeds/maremma-sheepdog/maremma-sheepdog-i1.jpg
000021.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/1100171.jpg
000022.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/05/Lars_photo-600x600.jpg
000023.jpg,https://www.vetarena.org/gallery/image-592.l.jpg
000024.jpg,https://static.wixstatic.com/media/a83c0e_a2f1d110f3b343f3b18889c4eef65fed~mv2_d_2819_2224_s_2.jpg
000025.jpg,http://www.maremmaclub.com/uploads/1/2/9/2/12922508/2473871.jpg?436
000026.jpg,https://static1.squarespace.com/static/56f975417da24fac0ed9300c/t/5b0f00d270a6adaa60335318/1527709966545/maremma+puppy.jpg
000027.jpg,http://www.maremmaclub.com/uploads/1/2/9/2/12922508/9198283_orig.jpg
000028.jpg,https://i.ytimg.com/vi/1OkkMb_rO0k/hqdefault.jpg
