image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Karta_FP_Marquesa_isl.PNG/250px-Karta_FP_Marquesa_isl.PNG
000002.jpg,https://www.dogzone.com/images/breeds/extinct/hawaiian-poi-dog.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Kuri%2C_Maori_or_native_dog%2C_Dominion_Museum_collection%2C_1924.jpg
000004.jpg,https://www.enrouteavecaile.com/posts/92/20100504_chasseur.JPG
000005.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/12/d7/85/12d78573d3bc6f848e2bf3224d850a26.jpg
000006.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Africanis_%281%29.jpg/1200px-Africanis_%281%29.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Tiki_Maki%CA%BBi_Tau%CA%BBa_Pepe_or_the_Flying_Tiki%2C_at_me%CA%BBae_I%CA%BBipona%2C_Puama%CA%BBu_Village%2C_Hiva_Oa%2C_Marquesas_Islands%2C_photograph_by_Moth_Clark%2C_2009.jpg
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Tahltan_Bear_Dog_sketch2.jpg/1200px-Tahltan_Bear_Dog_sketch2.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Dog_relief_from_me%CA%BBae_I%CA%BBipona%2C_Puama%CA%BBu_Village%2C_Hiva_Oa%2C_Marquesas_Islands%2C_photograph_by_Moth_Clark%2C_2009_%28levels_adjusted%29.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Pilas_Argentinos-Felix-%26-Fortuna-04-1912.jpg
000011.jpg,https://aldebaran42.files.wordpress.com/2017/10/21316207_1632512113435987_5606598014886811905_o.jpg
000012.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Otago_Museum_Kuri_-_OMNZVT2162_03_%28cropped%29.jpg
000013.jpg,https://www.researchgate.net/publication/326241820/figure/fig3/AS:645564400164864@1530925955040/Combining-words-for-dog-in-Samoan-Hawaiian-North-Marquesan-and-Anuta-into-a-multiple_Q320.jpg
000014.jpg,https://flyingfishsail.files.wordpress.com/2018/05/henri-wife-sm.jpg?w=1040
000015.jpg,https://i.pinimg.com/originals/f0/eb/d9/f0ebd9208e5279e5955d24215864e7a9.jpg
000016.jpg,https://scontent.cdninstagram.com/vp/0c5bd1a7e5b37d7efc60e7ef0bf23986/5D4EFBDE/t51.2885-15/e35/s480x480/36148674_231903860748771_5109721071632777216_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Pariah_Dog.jpg
000018.jpg,https://photos.smugmug.com/STORIES1/FRENCH-POLYNESIA/MARQUESAS/Matavaa-Le-Festival-des-Arts-Marquisiens/i-Zk7QsZS/0/98bd80dc/L/DSC_4080-L.jpg
000019.jpg,https://dogell.com/uploads/breed/thumb_miniature-schnauzer.jpg
000020.jpg,https://i.pinimg.com/originals/c4/30/e4/c430e4866fb3cef8c034f3ec27667eea.jpg
000021.jpg,https://www.researchgate.net/profile/Simon_Greenhill/publication/325193364/figure/fig2/AS:627166073085953@1526539452915/Combining-words-for-dog-in-Samoan-Hawaiian-North-Marquesan-and-Anuta-into-a-multiple_Q320.jpg
000022.jpg,https://www.swulinski.com/Images/Oceania/HivaOa/Iipona/Iipona09-big.jpg
000023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg/320px-Double_canoes._Tipaerua%2C_1769-71_%28crop_of_dog%29.jpg
