image,source
000001.jpg,https://www.dogbreedinfo.com/images11/MiniFox%20TerrierJudell%20LuckyLucky1103a.JPG
000002.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/minifoxie-miniature-fox-terrier-on-chair-700x700.jpg
000003.jpg,https://www.selectadogbreed.com/media/2181/miniaturefoxterrier_adult.jpg
000004.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/minifoxie-miniature-fox-terrier-puppy-standing-outdoors.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Miniature_Fox_Terrier.jpg
000006.jpg,https://i.pinimg.com/originals/d7/2e/bf/d72ebf40e387fc71ee52dcc772752e20.jpg
000007.jpg,https://res.cloudinary.com/petrescue/image/upload/h_638,w_638,c_pad,q_auto:best,f_auto/v1521343460/fsmiq4ez9xvzpauk2wxr.jpg
000008.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/minifoxie-miniature-fox-terrier-bicolour-6-weeks-old-puppy-standing-outdoors.jpg
000009.jpg,https://www.selectadogbreed.com/media/2184/miniaturefoxterrier_puppy.jpg
000010.jpg,https://res.cloudinary.com/petrescue/image/upload/h_638,w_638,c_pad,q_auto:best,f_auto/v1517134231/iway0iczpixyuucj1yey.jpg
000011.jpg,https://follyfootminifoxies.com.au/wp-content/uploads/2014/06/Dexter-0-2.jpg
000012.jpg,http://www.monkeraiminifoxies.com.au/spawner/data/monkeraiminifoxies.com.au/page/3/images/Jasper.jpg
000013.jpg,https://i.pinimg.com/736x/81/19/c9/8119c9277e92fc1abe33ff5c07bff9c6--miniature-fox-terrier-rat-terriers.jpg
000014.jpg,https://nnimgt-a.akamaihd.net/transform/v1/crop/frm/p2PkW4gAZmG3EJJXqjcZy9/363003b3-6d1b-45ac-b788-7ec433af94aa.jpg/r300_0_2991_2246_w1200_h678_fmax.jpg
000015.jpg,https://www.petguide.com/wp-content/uploads/2013/02/toy-fox-terrier1-668x569.jpg
000016.jpg,http://dogzonenyc.com/wp-content/uploads/Miniature-Fox-Terrier3.jpg
000017.jpg,http://dog.jksoft.in/wp-content/uploads/2018/10/1198058873miniature_fox_terrier.jpg
000018.jpg,http://www.dogwallpapers.net/wallpapers/watching-miniature-fox-terrier-photo.jpg
000019.jpg,https://res.cloudinary.com/petrescue/image/upload/h_638,w_638,c_pad,q_auto:best/petrescue-production-s3/uploads/pet_photos/243345_c055e_orig.jpg
000020.jpg,http://en.citizendium.org/images/thumb/e/ec/Squirticus_Minimus_-_Tan_and_White_Miniature_Fox_Terrier.jpg/300px-Squirticus_Minimus_-_Tan_and_White_Miniature_Fox_Terrier.jpg
000021.jpg,http://www.dogwallpapers.net/wallpapers/cute-miniature-fox-terrier-dog-photo.jpg
000022.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223439/Toy-Fox-Terrier-Care.jpg
000023.jpg,https://i.ytimg.com/vi/XlVMithJtrI/maxresdefault.jpg
000024.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/8729807_orig.png
000025.jpg,https://i.ebayimg.com/00/s/MzYwWDUwNA/z/NRwAAOSwumxclY5f/$_75.JPG
000026.jpg,https://res.cloudinary.com/petrescue/image/upload/h_638,w_638,c_pad,q_auto:best,f_auto/v1543651181/lhpyfracfsx1c4i0mxqy.jpg
000027.jpg,https://i.pinimg.com/originals/9f/f0/94/9ff094e2e7bc87e153082bd076eb81ee.jpg
000028.jpg,https://follyfootminifoxies.com.au/wp-content/uploads/2014/03/1103.jpg
000029.jpg,http://www.petmed.net.au/wp-content/uploads/2015/04/Miniature-Fox-Terrier.jpg
000030.jpg,https://www.dogbreedinfo.com/images14/MiniatureFoxTerrier9CindyDavmacclip.JPG
000031.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/Toy-Fox-Terrier-1600x700.jpg
000032.jpg,https://www.dogbreedinfo.com/images14/MiniatureFoxTerrier9HawaiianTreeClimbingMiniFoxieDiane.JPG
000033.jpg,https://images.wagwalkingweb.com/media/daily_wag/name_guides/%7Bslug%7D/hero/1537890299.58/miniature-fox-terrier-dog-names.jpg
000034.jpg,https://img.dog-learn.com/dog-breeds/toy-fox-terrier/toy-fox-terrier-i1-sz6.jpg
000035.jpg,https://www.ozdoggy.com.au/ozthumbs/300x300/3779/DavmacKatie.JPG
000036.jpg,https://follyfootminifoxies.com.au/wp-content/uploads/2014/03/DSC_0060.jpg
000037.jpg,https://images.australialisted.com/nlarge/female_miniature_fox_terrier_puppy_20562505.jpg
000038.jpg,https://www.doglib.com/wp-content/uploads/sites/2/mi/miniature-mini-fox-dog-breed.jpg
000039.jpg,https://www.minifoxie.org/thumbnaillarge/MiniFoxie5_resize.jpg
000040.jpg,https://i.ytimg.com/vi/S1iHCuAtauM/hqdefault.jpg
000041.jpg,https://cdn.imgbin.com/22/20/9/imgbin-jack-russell-terrier-parson-russell-terrier-miniature-fox-terrier-bull-terrier-puppy-DkZd1PTLTnJeBY6An0WEcrc2d.jpg
000042.jpg,https://www.dogbreedinfo.com/images14/MiniatureFoxTerrier9Pasquaminifoxterrierpups.JPG
000043.jpg,https://i.pinimg.com/originals/df/fe/2c/dffe2c21b9272c29f6d8b8c763e8475d.jpg
000044.jpg,https://www.abc.net.au/news/image/6863002-3x4-700x933.jpg
000045.jpg,https://www.minifoxie.org/thumbnaillarge/MiniFoxieBin044.jpg
000046.jpg,https://www.justme.ws/pics/groups/23189.jpg
000047.jpg,https://www.selectadogbreed.com/media/2182/miniaturefoxterrier_fb.jpg
000048.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Tenterfield-Terrier_Mobile.jpg?h=300&la=en&w=375&hash=15347E5F53E1246CF65B51AF120E13C3
000049.jpg,http://thedogsbone.com/wp-content/uploads/2014/10/fox-terrier.jpg
000050.jpg,https://www.doglib.com/wp-content/uploads/sites/2/mi/miniature-breed-profile-toy-fox-terrier.jpg
