image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23074_miniature-schnauzer-460x290.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/miniature-schnauzer-detail.jpg?bust=1535566660&width=355
000003.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/miniature-schnauzer-dogs-and-puppies/miniature-schnauzer-dogs-puppies-1.jpg
000004.jpg,https://i1.wp.com/www.simplypets.com/wp-content/uploads/2019/05/Mini.jpg?fit=645%2C380&ssl=1
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230713/Miniature-Schnauzer-On-White-01.jpg
000006.jpg,https://i.ytimg.com/vi/knMwf-z3jw0/maxresdefault.jpg
000007.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/miniature-schnauzer-card-small.jpg?bust=1535568335
000008.jpg,https://www.traditionsvetcenters.com/sites/default/files/styles/large/adaptive-image/public/miniature-schnauzer-dog-breed-infp.jpg?itok=BUA05j1p
000009.jpg,https://www.petfirst.com/wp-content/uploads/2018/03/Breed-Hero-Miniature-Schnauzer-1-1200x1200.jpg
000010.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/miniature-schnauzer-700x700.jpg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Miniature-Schnauzer-2.jpg
000012.jpg,https://www.k9harness.com/content/images/thumbs/0003381_miniature-schnauzer_550.jpeg
000013.jpg,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F37%2F2017%2F04%2F15215815%2F102997423.jpg&w=400&c=sc&poi=face&q=85
000014.jpg,https://954puppies.com/wp-content/uploads/2018/07/IMG_1764.jpg
000015.jpg,https://i.pinimg.com/originals/53/c6/20/53c6209adbdc694f9fd5764b6cc73c70.jpg
000016.jpg,https://trainingminischnauzer.com/wp-content/uploads/2017/03/Mini-Schnauer-Puppy-on-Red-Cushion_cmpd_1.jpg
000017.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/768/content/uploads/2018/07/zwergschnauzer.jpg
000018.jpg,http://www.dogshub.in/wp-content/uploads/2018/08/Miniature-Schnauzer-sale-delhi.jpg
000019.jpg,https://i0.wp.com/barkercise.com/wp-content/uploads/2018/07/Webp.net-resizeimage.jpg?fit=350%2C475
000020.jpg,https://www.rvc.ac.uk/Media/Default/VetCompass/images/miniature-schanuzer-outside.jpg
000021.jpg,https://i.barkpost.com/wp-content/uploads/2018/12/best-toys-for-miniature-schnauzers.jpg?q=70&fit=crop&crop=entropy&w=808&h=500
000022.jpg,https://animals.net/wp-content/uploads/2018/09/Miniature-Schnauzer-3-650x425.jpg
000023.jpg,https://trainingminischnauzer.com/wp-content/uploads/2017/07/Schnauzer-with-blue-scarf-ribbon_1_cmpd-300x300.jpg
000024.jpg,https://phz8.petinsurance.com/-/media/all-phz-images/2016-images-breeds-850/miniature_schnauzer850.jpg
000025.jpg,https://dogsaholic.com/wp-content/uploads/2016/05/Miniature-Schnauzer-810x510.jpg
000026.jpg,https://www.dogster.com/wp-content/uploads/2018/07/Miniature-Schnauzer-face.jpg
000027.jpg,https://cdn.shopify.com/s/files/1/0994/0236/files/miniature-schnauzer_large.jpg?v=1479406856
000028.jpg,https://www.thesprucepets.com/thmb/Md1OnoJcwZPdJLO4YwglVYNJ-C4=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/78328278-56a26a565f9b58b7d0c9fb68.jpg
000029.jpg,https://www.nylabone.com/-/media/Images/Nylabone-NA/US/Dog101/Breeds-A-Z/Miniature-Schnauzer-jpg.jpg
000030.jpg,https://stopmydogshedding.com/wp-content/uploads/2018/10/do-miniature-schnauzers-shed.jpeg
000031.jpg,https://www.pets4homes.co.uk/images/breeds/12/large/987300fda62b5193e78f91dd5ff016af.jpg
000032.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555424784/shape/mentalfloss/istock_000016293215_small.jpg
000033.jpg,https://www.poochesatplay.com/wp-content/uploads/2018/03/Mavis.png
000034.jpg,https://i.ytimg.com/vi/ZXST0cyEf24/maxresdefault.jpg
000035.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/04/Miniature-Schnauzer-Lifespan-HP-long.jpg
000036.jpg,https://usercontent.gooddog.com/dog-park-labs-user-content-production/TohVTuEmUqDZq8K7RCtnNBxT.jpg?resize=1000x1000
000037.jpg,https://azure.wgp-cdn.co.uk/app-yourdog/posts/mini_schnauzer_main.jpg
000038.jpg,https://www.pedigree.com/images/default-source/breed-images/larged629078ea3f66930bcd1ff00004ce6f7.jpg?sfvrsn=8cdf6e49_0
000039.jpg,http://whisperingpinesclassypaws.com/sitebuildercontent/sitebuilderpictures/DSC_0807-1.jpg
000040.jpg,https://www.smalldogplace.com/images/schnauzer-grass.jpg
000041.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/miniature-schnauzer_01_lg.jpg
000042.jpg,https://www.dogster.com/wp-content/uploads/2016/08/Miniature-Schnauzer_225.jpg
000043.jpg,https://animals.net/wp-content/uploads/2018/09/Miniature-Schnauzer-5-650x425.jpg
000044.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/07/Schnauzer-Miniature-e1534277882688.jpg
000045.jpg,https://trainingminischnauzer.com/wp-content/uploads/2016/02/AdoptMiniSchnauzer_1.jpg
000046.jpg,https://i.pinimg.com/originals/2e/b4/d6/2eb4d6b0d4586e07cc7d6c973aedf46f.jpg
000047.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/article-image-horiz_110.jpg?itok=bHETSQid
000048.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/miniature-schnauzer_02_lg.jpg
000049.jpg,https://c8.alamy.com/comp/HX7W4A/miniature-schnauzer-dog-HX7W4A.jpg
000050.jpg,https://www.dognutrition.com/wp-content/uploads/2019/05/Miniature-Schnauzer-Dog-Breed-Puppy.png
