image,source
000001.jpg,https://i.pinimg.com/originals/74/6f/0e/746f0e4c63ac9ecfc9adf8b7ce219a98.jpg
000002.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/miniature-shar-pei-2-810x675.jpg
000003.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Miniature-Shar-Pei-2.jpg
000004.jpg,https://www.petguide.com/wp-content/uploads/2016/12/miniature-shar-pei-1.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Miniature-Shar-Pei-Grey.jpg
000006.jpg,https://www.petguide.com/wp-content/uploads/2016/12/miniature-shar-pei.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Miniature-Shar-Pei-Full-Grown.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Miniature-Shar-Pei-Dog.jpg
000009.jpg,https://i.pinimg.com/originals/53/59/86/5359869666a7568a339973a585ebfc16.jpg
000010.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Miniature-Shar-Pei-dogs-playing.jpg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Miniature-Shar-Pei-1.jpg
000012.jpg,https://www.pets4homes.co.uk/images/classifieds/2018/02/26/1852345/large/miniature-lilac-brush-coat-shar-pei-puppy-5ab612a6b0525.jpg
000013.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Miniature-Shar-Pei-Images.jpg
000014.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Miniature-Shar-Pei-standing.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Mini_Pei_Pup_Fawn_Standing.jpg/250px-Mini_Pei_Pup_Fawn_Standing.jpg
000016.jpg,https://www.puppyfind.com/breed/miniature_shar_pei/m_89dk43w8sb.jpg
000017.jpg,https://cf.ltkcdn.net/dogs/images/std/66035-200x358-Cute_Shar_Pei_Puppy.jpg
000018.jpg,https://www.doglib.com/wp-content/uploads/sites/2/mi/miniature-phoenix-and-dozer-breed.jpg
000019.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/06/Miniature-Shar-Pei-HP-long.jpg
000020.jpg,https://s-media-cache-ak0.pinimg.com/564x/bc/b1/6a/bcb16a9119ee5432651b22587aab6c70.jpg
000021.jpg,https://www.dogbreedinfo.com/images24/MiniatureSharPeiWinstonChen6Months.jpg
000022.jpg,https://i.pinimg.com/originals/a3/a8/d8/a3a8d871aafed665fcb61f11b5f7cb4d.jpg
000023.jpg,https://www.dogbreedinfo.com/images24/MiniSharPeiWinstonChen6HalfWeeksPuppyDogs.jpg
000024.jpg,https://petlandbradenton.com/wp-content/uploads/2017/12/1018770_800.jpg
000025.jpg,https://www.pets4homes.co.uk/images/classifieds/2016/06/29/1317041/large/miniature-lilac-semi-bear-coat-shar-pei-puppy-57aee5ab266fe.jpg
000026.jpg,https://i.pinimg.com/originals/d7/6f/25/d76f2552b32d689b0d49ef4775588861.jpg
000027.jpg,https://static.wixstatic.com/media/3f15a3_176588f836a644e5ac01cd2b469678be.jpg_srz_620_489_85_22_0.50_1.20_0.00_jpg_srz
000028.jpg,https://images1.americanlisted.com/nlarge/beautiful-wrinkly-blue-mini-sharpei-puppy-americanlisted_30119907.jpg
000029.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/Miniature_Shar_Pei_Puppy_2013-07-19_01-47.jpg
000030.jpg,https://nebula.wsimg.com/5e01e937c83c78ee51afd6faca19fa16?AccessKeyId=13481E0A141E3C851B8C&disposition=0&alloworigin=1
000031.jpg,https://ckcusa.com/media/147823/shar-pei-miniature.jpg?preset=ckcBreedImage375
000032.jpg,https://www.dogbreedinfo.com/images22/MiniatureSharPeiFionaPuppyGoogleMatthew2.jpg
000033.jpg,https://www.chinesesharpeinc.com/IMG_1147.JPG
000034.jpg,https://banner2.kisspng.com/20180127/uqw/kisspng-miniature-shar-pei-puppy-dog-breed-shar-pei-5a6c4698e1c3d6.8209627515170454009247.jpg
000035.jpg,https://dgicdplf3pvka.cloudfront.net/2526511/chinese-shar-pei-puppy-picture-06545b01-5d21-400a-a788-cf4b11e6c300.jpg
000036.jpg,https://i.pinimg.com/originals/87/34/8a/87348ab59b0f3ba3da7b8825cdf7376c.jpg
000037.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/white-Miniature-Shar-Pei.jpg
000038.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/06/Miniature-Shar-Pei-HP-tall.jpg
000039.jpg,https://www.dogvills.com/wp-content/uploads/2018/12/miniature-shar-pei.jpg
000040.jpg,https://i.imgur.com/2sP3sOH.jpg
000041.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/08/Miniature-Shar-Pei-Puppies.jpg
000042.jpg,https://i.ytimg.com/vi/tei9UXwUuTk/maxresdefault.jpg
000043.jpg,https://www.pets4you.com/wp-content/uploads/2018/06/chinese-shar-pei.jpg
000044.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Shar-Pei-1.jpg
000045.jpg,https://dgicdplf3pvka.cloudfront.net/969320/chinese-shar-pei-puppy-picture-8f3293ec-0eda-4ddc-8acb-661f0ffeb763.jpg
000046.jpg,https://iamlai.files.wordpress.com/2009/10/chinese-shar-pei-0032.jpg?w=480
000047.jpg,https://images1.americanlisted.com/nlarge/miniature-shar-pei-puppy-for-sale-adoption-rescue-americanlisted_111370487.jpg
000048.jpg,https://www.chinesesharpeinc.com/10054572.jpg
000049.jpg,https://wallpaperbro.com/img/79646.jpg
000050.jpg,https://data.whicdn.com/images/304437321/large.jpg
