image,source
000001.jpg,https://www.petguide.com/wp-content/uploads/2018/06/moscow-water-dog-2-543x668.jpg
000002.jpg,https://www.russiandog.net/wp-content/uploads/2017/10/extinct-dog.jpg
000003.jpg,http://www.easypetmd.com/sites/default/files/Moscow-Waterdog_0.jpg
000004.jpg,https://images-na.ssl-images-amazon.com/images/I/5160jx4I3fL.jpg
000005.jpg,http://www.dogwallpapers.net/wallpapers/moscow-water-dog-puppy-photo.jpg
000006.jpg,https://www.dogbreedinfo.com/images31/MoscowWaterDogExtinctDogBreedInfoDrawing2.jpg
000007.jpg,https://images-na.ssl-images-amazon.com/images/I/515x72lHSYL.jpg
000008.jpg,https://i.pinimg.com/originals/f5/ee/ac/f5eeac9669ccc8828692c5b222b9085b.jpg
000009.jpg,http://www.dogbreedstandards.com/wp-content/uploads/2013/04/Moscow-Water-Dog.jpg
000010.jpg,http://www.dogwallpapers.net/wallpapers/playing-moscow-water-dogs-photo.jpg
000011.jpg,https://www.animalssale.com/uploads/breed/breeds-2/moscowwaterdog.jpg
000012.jpg,https://www.dogbreedinfo.com/images31/MoscowWaterDogExtinctDogBreedInfoDrawing1.jpg
000013.jpg,https://i.pinimg.com/originals/85/fc/01/85fc01f8e9cefa51f5702351771965be.jpg
000014.jpg,http://2.bp.blogspot.com/-Pyp_ZrLI7dA/VE1TvsDKMxI/AAAAAAAAF8c/mkE3Tcq8AC0/s1600/moscow-water-dog3.jpg
000015.jpg,https://i.ytimg.com/vi/Zv7TDayFRus/hqdefault.jpg
000016.jpg,https://s3-eu-west-1.amazonaws.com/upload.teamup.com/test/662458/a2fz4itvTdCpbgXKSNUn_Lloyd%20in%20New%20Zealand%20-%20R.jpg
000017.jpg,https://images-na.ssl-images-amazon.com/images/I/51lBOVVSpTL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_SCLZZZZZZZ_.jpg
000018.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16191840/Newfoundland-onWhite-012-1.jpg
000019.jpg,https://www.dogster.com/wp-content/uploads/2016/06/Newfoundland-1-Newfoundland-Club-of-Seattle-600x481.jpg
000020.jpg,https://barkpost.com/wp-content/uploads/2014/06/st-johns-water-dog-lassie.jpg
000021.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/newfoundland-dog-detail.jpg?bust=1535566140&width=355
000022.jpg,https://i.ebayimg.com/images/g/CkEAAOSwq7JTzYYR/s-l300.jpg
000023.jpg,https://www.trendrr.net/wp-content/uploads/2017/05/St-Johns-Water-Dog.jpg
000024.jpg,https://get.pxhere.com/photo/puppy-dog-mammal-vertebrate-newfoundland-dog-breed-barbet-miniature-poodle-tibetan-terrier-dog-like-mammal-dog-breed-group-schnoodle-dog-crossbreeds-boykin-spaniel-poodle-crossbreed-portuguese-water-dog-112392.jpg
000025.jpg,https://cdn2-www.dogtime.com/assets/uploads/2017/08/dogs-with-webbed-paws-1.jpg
000026.jpg,https://images-na.ssl-images-amazon.com/images/I/51bjZNC09bL._SX370_BO1,204,203,200_.jpg
000027.jpg,https://www.nicepng.com/png/detail/377-3777522_the-akc-describes-the-gordon-setter-temperament-as.png
000028.jpg,https://www.europetnet.com/images/dummy-dog.jpg
000029.jpg,https://i.pinimg.com/originals/19/34/d9/1934d911542f89313208c30277e6a3f0.jpg
000030.jpg,http://dogsandpuppies101.weebly.com/uploads/1/3/9/1/13917786/626111709.jpg?293
000031.jpg,https://static1.squarespace.com/static/5946694c9de4bb69d24ece6a/t/595da7ac2e69cf276061cc6f/1499310003187/History-Page-Banner.png?format=1500w
000032.jpg,https://pethero.co.za/wp-content/uploads/2018/10/Portuguese-Water-Dog.jpg
000033.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/6e/78/e9/6e78e93e1c02503bb3bebe1931a4bd75.jpg
000034.jpg,https://dogloverstore.com/wp-content/uploads/imported/Portuguese-Waterdog-Hand-Painted-Dog-Figurine-Statue-400201748212.jpg
000035.jpg,https://i3.cpcache.com/merchandise/528_300x300_Front_Color-White.jpg?Size=NA&AttributeValue=NA&region={%22name%22:%22FrontCenter%22,%22width%22:12.5,%22height%22:12.5,%22alignment%22:%22MiddleCenter%22,%22orientation%22:0,%22dpi%22:200,%22crop_x%22:0,%22crop_y%22:0,%22crop_h%22:2400,%22crop_w%22:2400,%22scale%22:0,%22template%22:{%22id%22:14128900,%22params%22:{}}}
000036.jpg,https://www.zooplus.co.uk/magazine/CACHE_IMAGES/2048//content/uploads/2018/06/newfoundland-uk.jpg
000037.jpg,https://bigdogbreeds.info/wp-content/uploads/2019/01/Moscow-Water-Dog-characteristics.jpg
000038.jpg,https://i.pinimg.com/originals/62/c0/31/62c0316b5079ace7952d455414a55fd0.jpg
000039.jpg,https://i2.wp.com/www.seattledogspot.com/wp-content/uploads/2018/10/How-to-Protect-Your-Dog-from-Salmon-Poisoning-e1539196434908.jpg?ssl=1
000040.jpg,https://images-na.ssl-images-amazon.com/images/I/51ktcV4BMXL._SX331_BO1,204,203,200_.jpg
000041.jpg,http://sewn.org/wp-content/uploads/2018/04/fullsizeoutput_5d3-1024x576.jpeg
000042.jpg,https://www.doglib.com/wp-content/uploads/sites/2/mo/moscow-moscow-metro-dogs-breed.jpg
000043.jpg,https://c8.alamy.com/comp/KFXA3F/portuguese-water-dog-sitting-9-months-old-KFXA3F.jpg
000044.jpg,https://www.iams.com/breedselector/images/4f60b09597417911e790237fe1d98a42.jpg
000045.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/08/03231512/newfoundland-working-group-1024x684.jpg
000046.jpg,https://pics.me.me/moscow-water-dogs-were-bred-in-krasnaya-zvezda-belarus-by-37152077.png
000047.jpg,https://vetstreet-brightspot.s3.amazonaws.com/2b/445130a10911e087a80050568d634f/file/Newfoundland-1-645mk062111.jpg
000048.jpg,https://i.colnect.net/f/5254/467/St-John-Water-Dog.jpg
000049.jpg,http://www.ncanewfs.org/working/water/images/drop2.jpg
000050.jpg,https://bloximages.chicago2.vip.townnews.com/poststar.com/content/tncms/assets/v3/editorial/3/cd/3cd79bec-30bf-577f-b94e-c75cd782da7c/5b15982b42dc7.image.jpg?resize=400%2C451
