image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Mucuchies_natural_habitat.jpg/220px-Mucuchies_natural_habitat.jpg
000002.jpg,http://www.easypetmd.com/sites/default/files/Mucuchies%20(1).jpg
000003.jpg,https://i.pinimg.com/236x/49/1a/2e/491a2e878755fa77617d263d85c4f68c--dog-breeds-puppies.jpg
000004.jpg,https://pbs.twimg.com/media/DLUbRJXX0AERjGY.jpg
000005.jpg,https://i.pinimg.com/originals/8e/27/27/8e27276afcd4fc849d085d03c78da193.jpg
000006.jpg,https://www.mascotarios.org/wp-content/uploads/2011/06/mucuchices.jpg
000007.jpg,http://www.easypetmd.com/sites/default/files/Mucuchies.jpg
000008.jpg,https://www.rover.com/blog/wp-content/uploads/2018/07/mucuchies-960x540.jpeg
000009.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/04/Mucuchies-is-standing.jpg
000010.jpg,https://i.pinimg.com/236x/3e/88/f8/3e88f8a351958d327c1b8c374c90bf92--venezuela-colombia.jpg
000011.jpg,http://archivo.entornointeligente.com/images-noticias/2017/09/francisco-velasquez-gago-VENEZUELA---Perros-mucuch-es-tendr-n-su-fiesta-en-Los-Teques-.jpg
000012.jpg,https://live.staticflickr.com/5310/5647313366_5022cb31b8_b.jpg
000013.jpg,https://www.dogbreedinfo.com/images7/Mucuchies_Jan10_03.jpg
000014.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/09/5e527c6dec1796ebe40a051a774073d0-373x280.jpg
000015.jpg,https://images.sipse.com/djb7JS5jP4_TlaUVHfwkUA-8bl4=/800x497/smart/imgs/012014/160114e80f47f75.jpg
000016.jpg,http://www.chiens-des-champs.com/mucuchies.jpg
000017.jpg,https://haimaneltroudi.com/wp-content/uploads/2018/11/haiman-el-troudi-mucuch%C3%ADes-el-perro-del-libertador.jpg
000018.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/03_Perro_Mucuchies.JPG
000019.jpg,https://g.rrrather.com/img/q/163136a.jpg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Poblacion_de_Mucuchies_Estado_Merida.jpg
000021.jpg,https://images06.foap.com/images/24bd91c1-2b75-4460-bcbc-b41dbe2400b1/perro-mucuchies-y-dueno-vestido-tradicional-paramo-merida-venezuela.jpeg?filename=w1280&dw=960
000022.jpg,https://i1.trekearth.com/photos/7220/trekearthpc294357.jpg
000023.jpg,https://steemitimages.com/0x0/https://i.imgur.com/P7FVUMG.jpg
000024.jpg,https://i.ytimg.com/vi/hNDRPqcs8n0/hqdefault.jpg
000025.jpg,https://editorial01.shutterstock.com/wm-preview-1500/6810183a/f16c4fb6/venezuela-dogs-of-chavez-merida-venezuela-shutterstock-editorial-6810183a.jpg
000026.jpg,https://live.staticflickr.com/4474/37003010573_189bb0f127_b.jpg
000027.jpg,https://media.istockphoto.com/photos/stone-churh-san-rafael-de-mucuchies-merida-state-venezuela-picture-id685811536
000028.jpg,https://steemitimages.com/640x0/https://i.imgur.com/RUszVXU.jpg
000029.jpg,http://petshoptop.com/media/9f/79/d3/9f79d3e1e0806ef608303015cb30403b/56e84cd4d5bee.jpg
000030.jpg,http://fotos2013.noticias24.com/palomo_mucuchies.JPG
000031.jpg,https://images-na.ssl-images-amazon.com/images/I/51gQzq5-TJL.jpg
000032.jpg,https://live.staticflickr.com/5472/11837480003_2ec6ca7701_b.jpg
000033.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0a/fb/a8/e9/estacionamento.jpg
000034.jpg,https://i.pinimg.com/originals/1f/92/12/1f9212b0cde659f63f1bab8a36338fe2.jpg
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Mucuchies%2C_M%C3%A9rida%2C_Venezuela.JPG
000036.jpg,https://previews.123rf.com/images/luciacg/luciacg1702/luciacg170200019/76047457-stone-church-san-rafael-de-mucuchies-in-merida-venezuela-made-by-john-felix-sanchez.jpg
000037.jpg,https://images.wagwalkingweb.com/media/breed/mucuchies/hero/Mucuchies1.jpg
000038.jpg,https://images-na.ssl-images-amazon.com/images/I/51Zv1dy-JYL.jpg
000039.jpg,https://scontent-ort2-2.cdninstagram.com/vp/66e93dc4737ed0ecc8716ec4c4f3dc85/5D87157F/t51.2885-15/sh0.08/e35/s640x640/62044216_148435789613212_6416018781361402591_n.jpg?_nc_ht=scontent-ort2-2.cdninstagram.com
000040.jpg,https://thumbs.dreamstime.com/z/mountains-mucubaj%C3%AD-mucuch%C3%ADes-los-andes-venezuela-cloudy-mountains-los-andes-mucubaj%C3%AD-m%C3%A9rida-venezuela-beautiful-124053044.jpg
000041.jpg,https://images01.foap.com/images/13ce23db-b7a8-41e1-8978-1cf60385764d/perro-mucuchies-callejero-con-dreadlocks-cortos.jpeg?filename=w1280&dw=960
000042.jpg,https://i.ytimg.com/vi/t3Ca_dtpN-E/maxresdefault.jpg
000043.jpg,https://live.staticflickr.com/3859/33890099005_da136281fc_b.jpg
000044.jpg,https://www.vtactual.com/es/wp-content/uploads/2017/02/20120623_101815.jpg
000045.jpg,https://a57.foxnews.com/a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/640/320/1862/1048/Shaggy-Dog-2.jpg?ve=1&tl=1?ve=1&tl=1
000046.jpg,https://www.doglib.com/wp-content/uploads/sites/2/mu/mucuchies-mucuchies-breed.jpg
000047.jpg,https://c8.alamy.com/comp/GCAEN8/andean-condor-mucuchies-merida-andes-mountains-venezuela-GCAEN8.jpg
000048.jpg,https://pbs.twimg.com/media/DmzrJgKX4AA4Rmf.jpg
000049.jpg,https://c8.alamy.com/comp/C2CAAY/mucuchies-venezuela-C2CAAY.jpg
000050.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Perro_Mucuch%C3%ADes_en_el_Waraira_Repano.JPG
