image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/newfoundland-dog-detail.jpg?bust=1535566140&width=355
000002.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/newfoundland-dogs-and-puppies/newfoundland-dogs-puppies-1.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Newfoundland_dog_Smoky.jpg/220px-Newfoundland_dog_Smoky.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16191840/Newfoundland-onWhite-012-1.jpg
000005.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/newfoundland-dog-card-small.jpg?bust=1535567525
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230557/Newfoundland-Care.jpg
000007.jpg,https://vetstreet-brightspot.s3.amazonaws.com/3e/9318c0a10911e087a80050568d634f/file/Newfoundland-2-645mk062111.jpg
000008.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-MNOP/newfoundlandsf2.jpg
000009.jpg,https://vetstreet-brightspot.s3.amazonaws.com/2b/445130a10911e087a80050568d634f/file/Newfoundland-1-645mk062111.jpg
000010.jpg,https://vetstreet.brightspotcdn.com/dims4/default/5e4bb18/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fa9%2Fd5%2F9f8aa6d040ada32feaf997a6e36a%2Fnewfoundland-AP-1NGNAA-645sm12913.jpg
000011.jpg,https://i0.wp.com/mybrownnewfies.com/wp-content/uploads/2018/06/DSC0570-2.jpg?resize=685%2C1024&ssl=1
000012.jpg,https://i.imgur.com/hbS8KMD.jpg
000013.jpg,https://dogsnet.com/wp-content/uploads/2018/12/newfoundland-dog-names-long.jpg
000014.jpg,https://www.pets4homes.co.uk/images/breeds/69/large/9c6460b2ec1f740c18d5c33a2999e681.jpg
000015.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Newfoundland_Mobile.jpg?h=300&la=en&w=375&hash=7481F2542A7365CCB4C1047D67A34B99
000016.jpg,https://www.dogster.com/wp-content/uploads/2019/04/Newfoundland-outdoors-against-bush-backdrop.jpg
000017.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/11/Bernese-Mountain-Dog-Vs-Newfoundland-long.jpg
000018.jpg,https://img.dog-learn.com/dog-breeds/newfoundland/images/newfoundland-dog-black.jpg
000019.jpg,https://imgix.ranker.com/user_node_img/50023/1000444059/original/mama-and-baby-photo-u1?w=650&q=50&fm=pjpg&fit=crop&crop=faces
000020.jpg,https://www.certapet.com/wp-content/uploads/2018/07/newfie-dog-smiling-from-newfoundland-dog-breeders.jpg
000021.jpg,https://i.pinimg.com/originals/7e/e0/a3/7ee0a3c4c8f1f7b96e90fdfd9450abe6.jpg
000022.jpg,https://www.pets4homes.co.uk/images/breeds/69/large/fc6802c9f9f0e476649ba70593d95a03.jpg
000023.jpg,https://www.simplemost.com/wp-content/uploads/2019/04/AdobeStock_180076747-750x500.jpeg
000024.jpg,https://figopetinsurance.com/sites/default/files/styles/blog_detail/public/imagedogsbrown-newfoundland-dog-snowblog.jpg?itok=YVI3uGUV
000025.jpg,https://k9gentledental.ca/wp-content/uploads/2018/06/101e904cbf1f191695e7fe9e725c6405.jpg
000026.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/08/newfoundland-long.jpg
000027.jpg,https://static.boredpanda.com/blog/wp-content/uploads/2019/01/funny-large-dogs-newfoundlands-1-5c5168c7bccde__700.jpg
000028.jpg,https://i2.wp.com/metro.co.uk/wp-content/uploads/2016/04/ad_201456258.jpg?quality=90&strip=all&zoom=1&resize=644%2C498&ssl=1
000029.jpg,https://animalso.com/wp-content/uploads/2019/01/newfypoo-809x808.jpg
000030.jpg,https://img.dog-learn.com/dog-breeds/newfoundland/newfoundland-sz14.jpg
000031.jpg,https://4.bp.blogspot.com/-Ih-6_rhM-yo/WbkXl_0E8cI/AAAAAAAAPug/K3Fvt4Q_nLY--G90m6A0ieTTLIR3eZb7ACLcBGAs/s1600/Newfoundland-Dog-Breed-Profile-Adult-Puppies.jpg
000032.jpg,https://alpinepub.files.wordpress.com/2015/01/newfoundland_dog.jpg?w=306&h=330&crop=1
000033.jpg,https://vetstreet-brightspot.s3.amazonaws.com/e6/ce6090a10811e087a80050568d634f/file/Newfoundland-1-645mk062411.jpg
000034.jpg,http://fallinpets.com/wp-content/uploads/2016/11/So-adorable-newfie-puppy-480x445.jpg
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/AdultBrownNewfoundlandDog.jpg/220px-AdultBrownNewfoundlandDog.jpg
000036.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/kuvasz-card-medium.jpg?bust=1535568485&width=560
000037.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13173254/Beau-400x267.jpg
000038.jpg,https://www.petmd.com/sites/default/files/breedopedia/IMG_2239.JPG
