image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23076_norfolk-terrier-460x290.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/b/be/Norfolk_terrier_CAC.jpg
000003.jpg,https://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/8/2018/04/dog6.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230448/Norfolk-Terrier-On-White-01.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230451/Norfolk-Terrier-MP.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230517/Norfolk-Terrier-Care.jpg
000007.jpg,https://doglime.com/wp-content/uploads/2019/03/Norfolk-Terrier-information..jpg
000008.jpg,https://azure.wgp-cdn.co.uk/app-yourdog/posts/norfolk_terrier.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Charmonty_Norfolkterrier.jpg/220px-Charmonty_Norfolkterrier.jpg
000010.jpg,https://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/8/2018/04/AP2892-6237-2_190936722_278987502.jpg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Norfolk-Terrier-2.jpg
000012.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_ff1edee9-15e3-46f5-93ae-505a1a751a87.jpg
000013.jpg,http://www.dogzone.com/images/breeds/norfolk-terrier.jpg
000014.jpg,https://i.pinimg.com/originals/a7/31/4c/a7314c0dff9b0e6b535f20da3c3dd4d3.jpg
000015.jpg,https://www.pets4homes.co.uk/images/breeds/151/large/a6510d865c3f782422deeafbc28caa41.jpeg
000016.jpg,https://www.dogbreedinfo.com/images31/NorfolkTerrierPurebredDogIvy2YearsOld2.jpg
000017.jpg,https://vetstreet-brightspot.s3.amazonaws.com/bb/5db410a7e311e0a0d50050568d634f/file/Norfolk-Terrier-3-645mk062711.jpg
000018.jpg,https://doglime.com/wp-content/uploads/2019/03/Norfolk-Terrier-behavior-information.-1.jpg
000019.jpg,http://cdn.akc.org/STORM.jpg
000020.jpg,https://vetstreet-brightspot.s3.amazonaws.com/99/f12f50a7e311e0a0d50050568d634f/file/Norfolk-Terrier-1-645mk062711.jpg
000021.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-MNOP/norfolkterriers-pd2.jpg
000022.jpg,https://www.warrenphotographic.co.uk/photography/bigs/44269-Norfolk-Terrier-dog-white-background.jpg
000023.jpg,https://vetstreet-brightspot.s3.amazonaws.com/ca/a04230a7e311e0a0d50050568d634f/file/Norfolk-Terrier-4-645mk062711.jpg
000024.jpg,https://www.norfolkterrierclub.co.uk/sites/default/files/inline-images/Blown%20coat.%20Kevin%20before.jpg
000025.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230441/Norfolk-Terrier-On-White-02-400x267.jpg
000026.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-norfolk-terrier.png?itok=S44mry0_
