image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Nordic_Spitz.jpg
000002.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Norrbottenspets-810x489.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/en/7/7b/Norrbottenspets_Karina_2008.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14102353/Norrbottenspets-Care-500x750.jpg
000005.jpg,https://i.pinimg.com/originals/6c/3e/1b/6c3e1b9366271a5901c5c1d1f84c18f1.jpg
000006.jpg,http://caninechronicle.com/wp-content/uploads/2018/11/26-300x223.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230431/Norrbottenspets-On-White-01.jpg
000008.jpg,http://www.dogzone.com/images/breeds/norrbottenspets.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Nordic-Spitz.jpg
000010.jpg,http://www.dogspotters.com/dog-breed-photos/norrbott.jpg
000011.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Norrbottenspets.jpg
000012.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Norrbottenspets-2.jpg
000013.jpg,https://i.ytimg.com/vi/LMSGzDKNO6c/hqdefault.jpg
000014.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Norrbottenspets-dog-breed-800x510.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Norrbottenspets-Puppy.jpg
000016.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Norrbottenspets-running-in-the-yard-680x453.jpg
000017.jpg,https://i.pinimg.com/originals/3b/55/dc/3b55dc21a5a255fc75499f225bdf6598.jpg
000018.jpg,https://www.redcedarkennel.com/uploads/1/1/5/8/115821427/published/dsc-5984_1.jpg?1556816392
000019.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Norrbottenspets-Pictures.jpg
000020.jpg,http://www.onlydogbreeds.com/images/dogsTable/norrbottenspets.jpg
000021.jpg,https://canadiandogs.com/wp-content/uploads/Norrbottenspets-1.jpg
000022.jpg,https://www.redcedarkennel.com/uploads/1/1/5/8/115821427/45365606-10155708328686932-3553978737567465472-n.jpg
000023.jpg,https://www.dogbreedplus.com/dog_breeds/images/norrbottenspets_dog_007.jpg
000024.jpg,https://www.carealotpets.com/images/breeding/dog-breeds/Norrbottenspets.jpg
000025.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14104244/Norrbottenspets-History-02.jpg
000026.jpg,https://www.iams.com/breedselector/images/ee93913aaf2553ecd0a75993dfb5f437.jpg
000027.jpg,https://images.puppyfinder.com/Breed/5/0/e/50e310ef4ea83905_653_image1.jpg
000028.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Norrbottenspets-puppy-680x546.jpg
000029.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12192733/Norrbottenspets-MP.jpg
000030.jpg,https://i.pinimg.com/originals/35/44/e8/3544e8a846cc332d2abcdc72f69fb6e2.jpg
000031.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Norrbottenspets-in-snow.jpg
000032.jpg,https://dogbreeds.wiki/uploads/n/norrbottenspets-photo-9.jpg
000033.jpg,https://images.squarespace-cdn.com/content/v1/562d236de4b08b939a122e0c/1445802237382-ERAYFVY0U2EQGYTM3VPA/ke17ZwdGBToddI8pDm48kB4ILyVRIvkbuwh2DjTIOD57gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0qN_-Z3B7EvygvPOPmeOryU5EuVR5biVMwb0DxKNxBS5wEq3d1t_UkzRT6OcMQ2mTA/_DSC0540.JPG?format=500w
000034.jpg,https://upload.wikimedia.org/wikipedia/en/5/5a/Colour_example_Dark_Mask.jpg
000035.jpg,https://www.pets4you.com/wp-content/uploads/2018/06/norrbottenspets-200x200.jpg
000036.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Norrbottenspets.jpg
000037.jpg,https://www.redcedarkennel.com/uploads/1/1/5/8/115821427/27072921-10155127503586932-6736270042149205696-n.jpg
000038.jpg,https://alchetron.com/cdn/norrbottenspets-b2b2761b-b8ee-45e4-92f5-d44b9b7c167-resize-750.jpeg
000039.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/03/Norrbottenspets-Puppy-1.jpg
000040.jpg,http://elelur.com/data_images/dog-breeds/norrbottenspets/norrbottenspets-05.jpg
000041.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Norrbottenspets-puppies.jpg
000042.jpg,https://i.pinimg.com/236x/51/3f/84/513f84521cca736bb8ad09fac1b4482b--spitz-dogs-puppy-care.jpg
000043.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Norrbottenspets-puppy-sitting-680x450.jpg
000044.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Norrbottenspets-Puppies.jpg
000045.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Norrbottenspets-with-pups.jpg
000046.jpg,https://upload.wikimedia.org/wikipedia/en/a/ab/Norrbottenspets_Appearance.jpg
000047.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Norrbottenspets-dogs-face-680x537.jpg
000048.jpg,https://primitivedogs.com/wp-content/uploads/2015/11/Norrbottenspets-featured-800x324.jpg
000049.jpg,http://dogbreedstandards.com/wp-content/uploads/2012/01/Norrbottenspets.jpg
000050.jpg,https://i.pinimg.com/236x/f9/f5/2a/f9f52a0b46ebd04dc9d68ab2f7412ac5--dog-love-dog-breeds.jpg
