image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/NImale.jpg/220px-NImale.jpg
000002.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2018/10/raina.jpg?zoom=2.625&resize=380%2C422
000003.jpg,https://www.petguide.com/wp-content/uploads/2014/09/northern-inuit-dog.jpg
000004.jpg,https://animalso.com/wp-content/uploads/2018/07/northern-inuit-face.jpg
000005.jpg,https://i.ytimg.com/vi/2P76cZN-p0w/maxresdefault.jpg
000006.jpg,https://www.pets4homes.co.uk/images/articles/4805/large/a-distinctive-and-appealing-hybrid-dog-type-the-northern-inuit-dog-5b157c9cf0798.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Northern-Inuit-Dog-2.jpg
000008.jpg,https://i.ytimg.com/vi/3AIayr1fzYw/maxresdefault.jpg
000009.jpg,https://www.pets4homes.co.uk/images/breeds/195/large/6ef1dbc738178e36faf5280ee7fe4bf2.jpg
000010.jpg,https://www.petguide.com/wp-content/uploads/2014/09/northern-inuit-dog-1.jpg
000011.jpg,https://img.dog-learn.com/dog-breeds/northern-inuit-dog/northern-inuit-dog-sz14.jpg
000012.jpg,https://animalso.com/wp-content/uploads/2018/07/northern-inuit-profile-809x809.jpg
000013.jpg,https://i.pinimg.com/originals/10/f0/c3/10f0c335675d8f8a7284d8295c274805.jpg
000014.jpg,https://i.pinimg.com/originals/14/47/9e/14479ea559dd2655d3b6bc54de1206c0.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Dog-Northern-Inuit.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Northern-Inuit-Dog-Pictures.jpg
000017.jpg,https://www.pets4homes.co.uk/images/breeds/195/large/74fa922921d4b2c25c3d6f7d2c609eb2.jpg
000018.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Northern-Inuit.jpg
000019.jpg,http://www.ahtdnatesting.co.uk/wp-content/uploads/2017/09/NIT-normal-photo-1-smaller.jpg
000020.jpg,http://www.dogwallpapers.net/wallpapers/northern-inuit-dog-on-the-beach-wallpaper.jpg
000021.jpg,https://i.ytimg.com/vi/qh5CasWtGao/maxresdefault.jpg
000022.jpg,https://live.staticflickr.com/1314/653293489_36b45338ff_z.jpg
000023.jpg,http://nisociety.com/wp-content/uploads/2016/01/homepage-main-5.jpg
000024.jpg,https://www.pets4homes.co.uk/images/breeds/195/large/f17c66dce791395dadf227108965fdc7.jpg
000025.jpg,http://nisociety.com/wp-content/uploads/2016/01/homepage-main-4.jpg
000026.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/b6bdd474-33d5-499f-a9b2-aff9326e11c6/d2pvx9n-a3ed6a86-1a26-4338-ab7f-85b14022bad5.jpg/v1/fill/w_900,h_608,q_75,strp/northern_inuit_dog_3_by_genisisone_d2pvx9n-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9NjA4IiwicGF0aCI6IlwvZlwvYjZiZGQ0NzQtMzNkNS00OTlmLWE5YjItYWZmOTMyNmUxMWM2XC9kMnB2eDluLWEzZWQ2YTg2LTFhMjYtNDMzOC1hYjdmLTg1YjE0MDIyYmFkNS5qcGciLCJ3aWR0aCI6Ijw9OTAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.zMQpIUFsQWJYNkivy__HqoxYrcb4sgtGD4janIpJCuQ
000027.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Northern-Inuit-Dogs.jpg
000028.jpg,http://www.mahlek-northerninuits.com/images/dogs/boys/nookie.jpg
000029.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Northern-Inuit-Dog-3.jpg
000030.jpg,https://phho8g6afd-flywheel.netdna-ssl.com/wp-content/uploads/2017/05/Northern-Inuit-Dog-2-1200x703.jpg
000031.jpg,https://i.pinimg.com/236x/81/b2/66/81b2665c0217b5565efb9fbe21c1da49--northern-inuit-dog-tamaskan-dog.jpg
000032.jpg,https://cache.desktopnexus.com/thumbseg/1556/1556395-bigthumbnail.jpg
000033.jpg,https://img.dog-learn.com/dog-breeds/northern-inuit-dog/images/northern-inuit-dog-10.jpg
000034.jpg,https://a.wattpad.com/cover/164807691-288-k798244.jpg
000035.jpg,https://www.honiahaka-northern-inuits.com/Mona%20and%20Troy.jpg
000036.jpg,http://i.imgur.com/K7D3TxI.jpg
000037.jpg,https://usercontent1.hubstatic.com/12451964_f520.jpg
000038.jpg,https://outlander-community.cdn.prismic.io/outlander-community/7658ad57840cbe98bde2dbf7c5f4cc91bd01d25d_1.jpg
000039.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/09/NORTHERN-INUIT-DOG-1.jpg
000040.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/1836.jpg
000041.jpg,http://barkingtails.com/wp-content/uploads/2016/10/1.jpg
000042.jpg,https://www.dogalize.com/wp-content/uploads/2017/10/northern-inuit-dog-200x200.jpg
000043.jpg,http://www.ahtdnatesting.co.uk/wp-content/uploads/2017/09/NIT-photosmaller.jpg
000044.jpg,http://www.notinthedoghouse.com/wp-content/uploads/2014/05/Northen-Inuit-Dog-LU.jpg
000045.jpg,http://nisociety.com/wp-content/uploads/2015/01/rescue-1.jpg
000046.jpg,http://funds.gfmcdn.com/8278809_1452893211.6883.jpg
000047.jpg,https://img.dog-learn.com/dog-breeds/northern-inuit-dog/images/northern-inuit-dog-standing-12.jpg
000048.jpg,https://images.wagwalkingweb.com/media/breed/northern-inuit/hero/Northern-Inuit.jpg
000049.jpg,http://pediaa.com/wp-content/uploads/2017/08/Difference-Between-Northern-Inuit-and-Husky-Comparison-Summary-564x1024.png
000050.jpg,http://www.mahlek-northerninuits.com/images/puppies/IMG_0936.JPG
