image,source
000001.jpg,https://images.wagwalkingweb.com/media/activity_guides/activities-for-old-croatian-sighthounds/hero/Activities-For-Old-Croatian-Sighthounds.jpg
000002.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10185/starohrvatskihrt.jpg
000003.jpg,https://i.pinimg.com/originals/5f/04/db/5f04db3c289d95760939758ddcca2a3f.jpg
000004.jpg,https://i.pinimg.com/originals/3f/bd/51/3fbd517dd97038ca4d82dde6bdf8eb2c.jpg
000005.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Old-Croatian-Sighthound.jpg
000006.jpg,https://i.pinimg.com/originals/55/c8/70/55c870f68925c4b81e5e4cb1de77c10b.jpg
000007.jpg,http://www.dogwallpapers.net/wallpapers/old-croatian-sighthound-dog-photo.jpg
000008.jpg,https://alchetron.com/cdn/old-croatian-sighthound-2201d5c3-3cd0-455c-8164-674268a929a-resize-750.jpeg
000009.jpg,http://www.dogwallpapers.net/wallpapers/cute-old-croatian-sighthound-wallpaper.jpg
000010.jpg,https://st4.depositphotos.com/1033409/26283/v/1600/depositphotos_262831644-stock-illustration-dogs-by-country-of-origin.jpg
000011.jpg,http://www.molosserdogs.com/gallery/albums/userpics/10185/bosanac.jpg
000012.jpg,http://www.dogwallpapers.net/wallpapers/young-old-croatian-sighthound-photo.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/WhippetWhiteSaddled_wb.jpg
000014.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Old-Croatian-Sighthound-dog.jpg
000015.jpg,https://images-na.ssl-images-amazon.com/images/I/61%2BAO8lR1qL._SX425_.jpg
000016.jpg,https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX31570738.jpg
000017.jpg,https://i.pinimg.com/originals/06/14/c7/0614c7ff7ed263e698583db55d74276c.jpg
000018.jpg,https://images-na.ssl-images-amazon.com/images/I/41Cx3iSFSZL._SX331_BO1,204,203,200_.jpg
000019.jpg,https://perfectpets.com.au/uploads/files/getfile/type/breed/id/279/file/Sloughi.jpg
000020.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/7d/0a/78/7d0a78c6d3815d45d6da1af6ca8001bb.jpg
000021.jpg,https://images-na.ssl-images-amazon.com/images/I/61lSqEf9y8L._SX425_.jpg
