image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Spanish_Pointer_from_1915.JPG/220px-Spanish_Pointer_from_1915.JPG
000002.jpg,https://i.pinimg.com/236x/82/5c/f6/825cf652010cfe7a811e7dbb61cf1510--hunting-dogs-shelter-dogs.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2015/03/spanish-pointer.jpg
000004.jpg,https://i.pinimg.com/236x/eb/db/22/ebdb22bdee5bc0b2e4eeb8e8b586dc1c--spanish-victoria.jpg?nii=t
000005.jpg,https://retrieverman.files.wordpress.com/2011/04/spanish-pointer-by-stubbs.jpg
000006.jpg,https://i2.wp.com/www.dogsanddoubles.com/wp-content/uploads/2012/01/Pachones-050703-5929.jpeg
000007.jpg,https://www.dogbreedinfo.com/images26/PerdiguerodeBurgosChicoPurebredDog4YearsOld.jpg
000008.jpg,https://i.pinimg.com/236x/0b/25/71/0b2571b73107ee6b55793a95eaa6827f--spanish-hunting-dogs.jpg
000009.jpg,http://4.bp.blogspot.com/-kaVgvSnW_Yc/TdFcIfjojcI/AAAAAAAAAcU/CJ2EKKF_Cyg/s1600/Burgos-080329-359.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/John_Buckler_-_The_Spanish_Pointer_-_Google_Art_Project.jpg
000011.jpg,https://www.petguide.com/wp-content/uploads/2015/03/The-Spanish-Pointer-is-believed-to-be-the-first-of-the-Pointer-breeds.jpg
000012.jpg,https://3.bp.blogspot.com/-dv6_Mj19lRE/TdFeZw66JmI/AAAAAAAAAl8/sbC5QZGTJfg/w1200-h630-p-k-no-nu/Pachones-080330-9392.jpg
000013.jpg,https://chestofbooks.com/animals/dogs/British-Dogs/images/MR-G-THORPE-BARTRAM-S-POINTER-SPECIAL-Sire-Pax-K-C-S-B.jpg
000014.jpg,https://i1.wp.com/upload.wikimedia.org/wikipedia/commons/1/14/NAFAR_EPER_TXAKURRA_1890.jpg
000015.jpg,https://i.ytimg.com/vi/NDIi99Ct15k/maxresdefault.jpg
000016.jpg,https://c8.alamy.com/comp/MCKD8R/chesapeake-bay-dog-quot-bigelows-rosequot-the-property-of-dr-w-sturgiss-bigelow-al-de-ber-kennels-north-attleboro-mass-landed-on-the-western-shore-of-the-chesapeake-bay-by-mr-george-law-called-quotsailorquot-and-quotcantonquot-and-doubdess-by-subsequent-crosses-with-water-spaniels-they-have-since-that-distant-date-become-characterized-to-their-field-of-usefulness-the-pointer-adrian-c-pickhardt-esq-hthis-most-beautiful-and-useful-breed-of-dogs-is-descended-from-what-was-known-as-1-the-old-spanish-pointer-some-of-which-were-brought-to-england-and-by-careful-br-MCKD8R.jpg
000017.jpg,https://retrieverman.files.wordpress.com/2010/08/wurttemberg-pointer.jpg
000018.jpg,https://i.pinimg.com/originals/a6/a7/39/a6a73991b451258484cb182f281277d2.jpg
000019.jpg,https://c8.alamy.com/comp/ERWXJW/running-old-spanish-pointer-ERWXJW.jpg
000020.jpg,https://previews.agefotostock.com/previewimage/medibigoff/05be7a855ecf4a7c9ad3ced823013643/tfa-ap-09675.jpg
000021.jpg,https://t3.thpservices.com/previewimage/gallil/7fdfd4b3126801872058f8456c343bed/tfa-ap-09680.jpg
000022.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/German-Shorthaired-Pointer-01.jpg?bust=1539030720&width=355
000023.jpg,http://www.dutch-stafford.com/Site_O/Old%20Spanish%20Pointer/Old_Spanish_Pointer.jpg
000024.jpg,https://i.imgur.com/XNiX458l.jpg
000025.jpg,http://sloughi.tripod.com/HelptheBraques/huelladidostand.jpg
000026.jpg,http://dogbreeds.bulldoginformation.com/irish-setter.jpg
000027.jpg,http://englishriverwebsite.com/PointerHistory/Images/spanish_pointer_by_scott.jpg
000028.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210106/Braque-Francais-Pyrenean-On-White-01.jpg
000029.jpg,https://i.imgur.com/GPCms61l.jpg
