image,source
000001.jpg,https://66.media.tumblr.com/e6a806c476745b1436bf80ef65422941/tumblr_inline_om630xAmAW1qbsbxu_1280.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Pachon_navarro.jpeg/220px-Pachon_navarro.jpeg
000003.jpg,https://www.pets4homes.co.uk/images/classifieds/2019/02/25/2220557/large/chato-pachon-navarro-spanish-pointer-aged-6-5c73fbba2c180.jpg
000004.jpg,https://i2.wp.com/www.mascotarios.org/wp-content/gallery/pachonnavarro/pachonnavarro0.jpg
000005.jpg,https://i.pinimg.com/originals/44/bf/3a/44bf3a0e4b332cbe10a4bfd09bb6dddd.jpg
000006.jpg,https://i0.wp.com/www.mascotarios.org/wp-content/gallery/pachonnavarro/pachonnavarro6.jpg
000007.jpg,https://i.pinimg.com/originals/af/3f/b5/af3fb52089d3908d85778e7fa4fdbbd0.jpg
000008.jpg,https://3.bp.blogspot.com/-dv6_Mj19lRE/TdFeZw66JmI/AAAAAAAAAl8/sbC5QZGTJfg/s400/Pachones-080330-9392.jpg
000009.jpg,https://images.wagwalkingweb.com/media/breed/pachon-navarro/hero/Pachon-Navarros.jpg
000010.jpg,https://www.pets4homes.co.uk/images/classifieds/2016/05/28/1287030/large/brittany-setter-pachon-navarro-female-nearly-1-5749aaf87c247.jpg
000011.jpg,https://cdn.shopify.com/s/files/1/1133/5028/files/zubi3_zpsbf0f408a.jpg?17853532985206792498
000012.jpg,https://i.imgur.com/GPCms61l.jpg
000013.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/f/f1/Pachonnavarro7.jpg/revision/latest?cb=20170826134558
000014.jpg,http://www.easypetmd.com/sites/default/files/Pachon%20Navarro%20(2).jpg
000015.jpg,http://www.dogwallpapers.net/wallpapers/pachon-navarro-photo.jpg
000016.jpg,https://i2.wp.com/www.dogsanddoubles.com/wp-content/uploads/2012/01/Pachones-050703-5929.jpeg
000017.jpg,https://live.staticflickr.com/3151/2407000855_8d9fa70727_z.jpg
000018.jpg,http://s6004.pcdn.co/wp-content/uploads/2019/04/Indio1.jpg
000019.jpg,http://s6004.pcdn.co/wp-content/uploads/2019/04/Gaston3-244x244.jpg
000020.jpg,https://retrieverman.files.wordpress.com/2015/01/pachon-navarro.jpg
000021.jpg,http://www.dogwallpapers.net/wallpapers/pachon-navarro-puppy-with-his-owner-wallpaper.jpg
000022.jpg,https://www.pets4homes.co.uk/images/classifieds/2019/04/04/2255687/large/henry-pachon-navarro-spanish-pointer-aged-6-5ca6270406784.jpg
000023.jpg,https://pm1.narvii.com/6485/ddcb0875cc41bd0e5cbc5e19f069917f15d09b96_00.jpg
000024.jpg,http://www.easypetmd.com/sites/default/files/Pachon%20Navarro.jpg
000025.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/NAFAR_EPER_TXAKURRA_1890.jpg
000026.jpg,https://i.pinimg.com/originals/f3/14/10/f31410658d8139d42703eaf267399646.jpg
000027.jpg,https://i0.wp.com/www.mascotarios.org/wp-content/uploads/2011/06/PachonNavarro.jpg
000028.jpg,https://hogarmania.global.ssl.fastly.net/hogarmania/images/images01/2013/06/17/5bf589e3a649820001d3e55b/1239x697.jpg
000029.jpg,http://www.club-caza.com/articulos/images/977_03.jpg
000030.jpg,http://www.club-caza.com/articulos/images/977_02.jpg
000031.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Pachon-Navarro-dog-photos3.jpg
000032.jpg,http://nextpup.com/wp-content/uploads/pachon-navarro-dog-breed.jpg
000033.jpg,http://www.dogwallpapers.net/wallpapers/walking-pachon-navarro-dog-wallpaper.jpg
000034.jpg,https://i.ytimg.com/vi/41IU0G_EseY/maxresdefault.jpg
000035.jpg,https://www.cazavision.com/sites/default/files/images/Perdiguero_Pachon_G.jpg
000036.jpg,https://i.imgur.com/XNiX458l.jpg
000037.jpg,http://www.easypetmd.com/sites/default/files/Pachon%20Navarro%20(1).jpg
000038.jpg,https://img.milanuncios.com/fg/2149/84/214984694_1.jpg
000039.jpg,https://www.trofeocaza.com/wp-content/uploads/2016/08/PachA_n-Navarro-octubre-15-1900x1162_c.jpg
000040.jpg,https://cdn.fotofits.com/responsive/500x500/hoobly/gallery/img/l/pachon-navarro-8494.jpg
000041.jpg,http://www.artnet.com/WebServices/images/ll00168lld42MJFgVeECfDrCWvaHBOcSGBF/spanish-school-madrid-(17/18)-portrait-of-a-pachon-navarro.jpg
