image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/papillon-dog-breed-pictures/1-sidestanding.jpg
000002.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23118_papillon-460x290.jpg
000003.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555321667/shape/mentalfloss/35klj53lkj35.png
000004.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/03/papillon-2.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230042/Papillon-On-White-01.jpg
000006.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/papillon-detail.jpg?bust=1535566235&width=355
000007.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/03/papillon-header.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230057/Papillon-Care-500x749.jpg
000009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/RileyPapillon.JPG/220px-RileyPapillon.JPG
000010.jpg,https://www.pets4homes.co.uk/images/breeds/94/large/858b425022667288d38d0eb3b9daacb1.jpg
000011.jpg,https://cf.ltkcdn.net/dogs/images/std/207318-735x450-Papillon-puppies.jpg
000012.jpg,https://cf-s3.petcoach.co/uploads/breed/199/1521228747-pap4.png
000013.jpg,https://dogsaholic.com/wp-content/uploads/2015/08/Papillon-dogs-810x502.jpg
000014.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/papillon_01_lg.jpg
000015.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/03/Papillon-HP-long.jpg
000016.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Papillon_Ears.jpg/250px-Papillon_Ears.jpg
000017.jpg,http://cdn.akc.org/content/article-body-image/happy_pap.jpg
000018.jpg,https://www.thesprucepets.com/thmb/mKce3kzivRH66ycdNbeL-6KPYXU=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/Papillon-GettyImages-713839323-6985913363dd4791852de6f246e6c15d.jpg
000019.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Papillon-dog-2.jpg
000020.jpg,https://www.dog-breeds-expert.com/images/leah.jpg
000021.jpg,https://cf.ltkcdn.net/dogs/images/std/245178-1600x1067-papillon-looking-up.jpg
000022.jpg,https://doglime.com/wp-content/uploads/2019/02/Papillon-with-her-Puppies.jpg
000023.jpg,https://selectdogbreeds.com/wp-content/uploads/2018/09/Papillon_adult.jpg
000024.jpg,https://i.pinimg.com/originals/87/db/2f/87db2f12c1beec155c61ac6f1e284bc9.jpg
000025.jpg,https://vetstreet-brightspot.s3.amazonaws.com/d2/1c/6c1ba71440c3acab8b6f47b6bbe3/papillon-ap-hzi5ua.jpg
000026.jpg,http://www.pethealthnetwork.com/sites/default/files/content/images/papillon453821181.png
000027.jpg,https://www.askideas.com/media/18/Papillon-Dog-Standing-In-Lawn.jpg
000028.jpg,https://scritch-production.imgix.net/760b6790-4506-11e9-9994-4bf0dab7302b?w=1200&h=910&fit=crop
000029.jpg,https://perfectpets.com.au/uploads/files/getfile/type/breed/id/263/file/826451950534d30483ae468.80108495-breed-263.gif
000030.jpg,https://img.dog-learn.com/dog-breeds/papillon/papillon-sz14.jpg
000031.jpg,http://media.gettyimages.com/photos/papillon-dog-lying-on-the-couch-stretching-his-paws-picture-id944969440?s=170667a&w=1007
000032.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/08/papillon-chihuahua-mix-long.jpg
000033.jpg,https://i.ytimg.com/vi/BvpnUCjHb6U/maxresdefault.jpg
000034.jpg,https://animalsbreeds.com/wp-content/uploads/2014/07/Papillon-dog-6.jpg
000035.jpg,https://www.smalldogplace.com/images/xPapillon-puppies.jpg.pagespeed.ic.UPvFwzgYDO.jpg
000036.jpg,https://c8.alamy.com/comp/KN7R47/papillon-dog-lies-contented-on-his-couch-isolated-on-black-KN7R47.jpg
000037.jpg,https://vetstreet-brightspot.s3.amazonaws.com/ae/c8edb0a3fa11e087a80050568d634f/file/Papillion-5-645mk062111.jpg
000038.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/papillon_05_lg.jpg
000039.jpg,http://cdn.akc.org/content/article-body-image/pap_pup_running.jpg
000040.jpg,https://images-na.ssl-images-amazon.com/images/I/81C7GiIk1qL._SX425_.jpg
000041.jpg,https://i.pinimg.com/originals/d0/e8/fa/d0e8faeb2b5aa741d5216539dd8ed9cd.png
000042.jpg,https://previews.123rf.com/images/cynoclub/cynoclub1704/cynoclub170400125/76697198-puppy-and-adult-papillon-dog-in-studio.jpg
000043.jpg,https://www.russiandog.net/wp-content/uploads/2011/09/papillon-dog_380870-e1427377535355.jpg
000044.jpg,https://www.selectadogbreed.com/media/1064/papillon_adult.jpg
