image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23080_jack-russell-terrier-460x290.jpg
000002.jpg,https://www.pets4homes.co.uk/images/breeds/181/large/d88134b2ecb530d60d4185bf52833809.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12211654/Parson-Russell-Terrier-on-White-05.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224927/Russell-Terrier-On-White-03.jpg
000005.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/parson-russell-terrier-detail.jpg?bust=1535566862&width=355
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230027/Parson-Russell-Terrier-Care.jpg
000007.jpg,https://www.petguide.com/wp-content/uploads/2013/02/parson-russell-terrier1.jpg
000008.jpg,http://www.dogzone.com/images/breeds/parson-russell-terrier.jpg
000009.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/jack-russel-terrier-dog-breed-pictures/2-face.jpg
000010.jpg,https://images.ctfassets.net/w00x6p5qkejz/6Fh11wAqtygYIQoyUwIwkI/a394f97a83cb6bc4335e593996b389c8/Parson_Russell_Terrier3.png
000011.jpg,https://www.purinaproclub.com/sites/g/files/auxxlc346/files/styles/facebook_share/public/About_Awards_Confirmation_Line%20368_Thumb.jpg?itok=YP6_6-fL
000012.jpg,https://cdn.omlet.co.uk/images/cache/577/768/Dog-Parson_Russell_Terrier-A_Parson_Russell_Terrier_sitting_beautiful,_waiting_for_a_command.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/05052881_PRT_braun_rau.jpg
000014.jpg,https://hellobark.com/wp-content/uploads/parson-russell-terrier.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Jack_Russell_Terrier_1.jpg/220px-Jack_Russell_Terrier_1.jpg
000016.jpg,https://www.animalhub.com/wp-content/uploads/2013/01/Parson-Russell-Terrier-Smooth.jpg
000017.jpg,https://vetstreet-brightspot.s3.amazonaws.com/86/f816f0a7e511e0a0d50050568d634f/file/Parson-Russell-Terrier-3-645mk062711.jpg
000018.jpg,https://i.pinimg.com/originals/37/df/d0/37dfd0311a5c2aa97ec342ee68f08836.jpg
000019.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/parson-russell-terrier-card-small.jpg?bust=1535568161
000020.jpg,https://www.pets4homes.co.uk/images/breeds/181/d88134b2ecb530d60d4185bf52833809.jpg
000021.jpg,https://hellobark.com/wp-content/uploads/jack-russell-terrier.jpg
000022.jpg,https://3.bp.blogspot.com/-cUOW7kLHIY0/ViXyoXpXwnI/AAAAAAAAA8I/j3kmWzdYyTY/s1600/Jack-russell-terrier-square.jpg
000023.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230019/Parson-Russell-Terrier-On-White-02-400x267.jpg
000024.jpg,https://vetstreet.brightspotcdn.com/dims4/default/f858016/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F52%2F86a4e0a7e511e0a0d50050568d634f%2Ffile%2FParson-Russell-Terrier-2-645mk062711.jpg
000025.jpg,http://breedfinder.ikc.ie/Content/images/breeds/81_parson_russell_terrier.jpg
000026.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/01/Parson-Russel-Terrier.jpg
000027.jpg,https://www.pets4homes.co.uk/images/articles/2625/large/parson-russell-terrier-health-testing-and-hereditary-health-issues-54e1d7d019230.jpg
000028.jpg,https://cdn.omlet.co.uk/images/cache/816/768/Dog-Parson_Russell_Terrier-A_Parson_Russell_Terrier_sitting_beautifully,_showing_off_it's_wonderful,_wiry_coat.jpg
000029.jpg,https://canadiandogs.com/wp-content/uploads/Parson-Russell-Terrier.jpg
000030.jpg,https://homesteadontherangecom.files.wordpress.com/2017/07/jackrt.jpg?w=225&h=300
000031.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/07/jack-russell-terrier-long.jpg
000032.jpg,https://dogs.pedigreeonline.com/images/breeds/dogs/parson-russell-terrier.jpg
000033.jpg,https://brit-petfood.com/file/nodes/product/parsonrussellterier.jpg/294x294/FIT
000034.jpg,https://i.pinimg.com/originals/66/62/aa/6662aa2b596849c1a82592692466e595.jpg
000035.jpg,https://cdn.omlet.co.uk/images/cache/652/768/Dog-Parson_Russell_Terrier-A_Parson_Russell_Terrier_standing_tall,_showing_off_it's_wonderful_long_legs.jpg
000036.jpg,https://www.prtaa.org/x/cdn/?https://storage.googleapis.com/wzukusers/user-27841130/images/592c7d1fd524ftbJE3Al/Einstein-sitting-pose-cropped-2_d800.png
000037.jpg,https://animalsadda.com/wp-content/uploads/2016/01/Parson-Russell-Terrier1.jpg
000038.jpg,https://thumbs.dreamstime.com/z/parson-russell-terrier-puppy-6-months-old-17125254.jpg
000039.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12221246/Parson-Russell-Terrier-Illo-2.jpg
000040.jpg,https://i.ytimg.com/vi/MbI0QvWKV4c/maxresdefault.jpg
000041.jpg,https://www.parsonrussellterrierclub.co.uk/images/PRTC%20PHOTO1.jpg
000042.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/03/31/nbc_bhds_ter_parsonrussellterrier_180326.jpg
000043.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/parson-russell-terrier_01_lg.jpg
000044.jpg,http://www.littleedenjrt.com/uploads/5/7/5/2/57524809/img-4969-1crop_orig.jpg
000045.jpg,https://img-aws.ehowcdn.com/600x600p/photos.demandstudios.com/getty/article/110/192/86497210.jpg
000046.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Parson-Russell-Terrier-3.jpg
000047.jpg,http://www.dogbreedhealth.com/wp-content/uploads/2011/05/Parson-Jack-Russell.jpg
000048.jpg,https://images-na.ssl-images-amazon.com/images/I/41TyE74L-QL._SX331_BO1,204,203,200_.jpg
000049.jpg,https://breedguide.trupanion.com/images/breed/dog/ParsonRussellTerrier.jpg
000050.jpg,http://static.pedigreedatabase.com/dogbreeds/parson_russell_terrier.jpg
