image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Pastore_della_Lessinia_e_del_Lagorai.jpg/220px-Pastore_della_Lessinia_e_del_Lagorai.jpg
000002.jpg,http://www.ruralpini.it/images/pastore_lagorai/testa%20%28FILEminimizer%29.jpg
000003.jpg,http://www.agraria.org/cani/pastore-della-lessinia1.jpg
000004.jpg,http://www.agraria.org/cani/pastore-della-lessinia4.jpg
000005.jpg,http://www.agraria.org/cani/pastore-della-lessinia.jpg
000006.jpg,https://i.pinimg.com/originals/39/e1/4d/39e14df1b433e58b67eba78db97e2c62.jpg
000007.jpg,http://www.ruralpini.it/images/pastore_lagorai/raduno-2%20%28FILEminimizer%29.jpg
000008.jpg,http://www.agraria.org/cani/pastore-della-lessinia3.jpg
000009.jpg,https://lh3.googleusercontent.com/-SKap_QQ5r00/WBZtfNrIw3I/AAAAAAAADlo/oYE7xTfx5pMIAYjiYYg2kA5SkuZowC75wCKgB/s400/IMGP2.JPG
000010.jpg,https://statobradocinofiliaetradizioni.files.wordpress.com/2017/06/header-1.jpg?w=700
000011.jpg,http://www.rivistadiagraria.org/wp-content/uploads/2017/09/4-1.jpg
000012.jpg,http://www.fattoriaventuri.it/web/wp-content/uploads/2018/09/IMG_20180829_132000-2.jpg
000013.jpg,http://www.ruralpini.it/images/pastore_lagorai/oropa%20%28FILEminimizer%29.jpg
000014.jpg,http://www.fattoriaventuri.it/web/wp-content/uploads/2018/09/IMGP9829.jpg
000015.jpg,http://www.rivistadiagraria.org/wp-content/uploads/2017/09/2-2.jpg
000016.jpg,https://www.k9uominiecani.com/wp-content/uploads/2017/05/45-255x300.png
000017.jpg,https://www.k9uominiecani.com/wp-content/uploads/2017/05/47.png
000018.jpg,https://i.pinimg.com/originals/34/24/6f/34246f9024ff8904fe59b93679ff014a.jpg
000019.jpg,https://www.larena.it/image/policy:1.5116281:1473295765/image.jpg?f=16x9&w=1200&$p$f$w=9b37ea6
000020.jpg,http://www.fattoriaventuri.it/web/wp-content/uploads/2018/09/IMGP8483.jpg
000021.jpg,http://www.pastorelessinialagorai.it/wp-content/uploads/2018/06/IMGP5670-800x400.jpg
000022.jpg,http://www.ruralpini.it/images/pastore_lagorai/oropa_nero%20%28FILEminimizer%29.jpg
000023.jpg,http://www.pastorelessinialagorai.it/wp-content/uploads/2018/07/received_102120663590081161-800x400.jpeg
000024.jpg,http://www.fattoriaventuri.it/web/wp-content/uploads/2018/09/dia_0013.jpg
000025.jpg,http://www.ruralpini.it/images/pastore_lagorai/s-v.jpg
000026.jpg,http://www.pastorelessinialagorai.it/wp-content/uploads/2018/06/20171124_134337-800x400.jpg
000027.jpg,https://statobradocinofiliaetradizioni.files.wordpress.com/2017/06/il-baule-della-felicitc3a0.jpg?w=700
000028.jpg,https://lh3.googleusercontent.com/-hOR3rbKmlbw/WBZuswZlaPI/AAAAAAAADmE/omiYu05Aa-Ih8NL3ZRAm1VB0SwcZRl11QCKgB/s400/IMGP3.JPG
000029.jpg,https://i.pinimg.com/originals/1c/3a/b2/1c3ab276264c183ff081c7b304775fa6.jpg
000030.jpg,http://www.pastorelessinialagorai.it/wp-content/uploads/2018/06/DSC_0286-800x400.jpg
000031.jpg,https://www.canedifamiglia.it/wp-content/uploads/E3CAA632-A682-4B1D-9646-E9FE98EF73C7.jpeg
000032.jpg,http://www.fattoriaventuri.it/web/wp-content/uploads/2018/09/MIA-1.jpg
000033.jpg,http://www.ruralpini.it/images/pastore_lagorai/apuane.jpg
000034.jpg,http://www.fattoriaventuri.it/web/wp-content/uploads/2018/09/IMG-20170810-WA0000.jpg
000035.jpg,http://www.ruralpini.it/images/cusio/berg.jpg
000036.jpg,https://i.ebayimg.com/00/z/bgEAAOSwmZhc8ay1/$_59.JPG
000037.jpg,http://www.pastorelessinialagorai.it/wp-content/uploads/2018/12/602D237C-765C-4FD0-A493-43FF84F33BEA-800x400.jpeg
000038.jpg,http://www.veterinarifiemmefassa.it/wp-content/uploads/2017/02/16473811_986384201499109_4667402781893977162_n.jpg
000039.jpg,http://www.rivistadiagraria.org/wp-content/uploads/2017/09/1-2.jpg
000040.jpg,http://www.fattoriaventuri.it/web/wp-content/uploads/2018/09/40110080_2014068031977709_4146600463963258880_n.jpg
000041.jpg,https://i.ebayimg.com/00/z/mN8AAOSwihBc7jlx/$_59.PNG
000042.jpg,https://i1.wp.com/www.dogsportal.it/wp-content/uploads/2019/06/Screenshot-2019-06-04-07.33.27.png?resize=559%2C440&ssl=1
000043.jpg,http://www.veterinarifiemmefassa.it/wp-content/uploads/2017/02/16473811_986384201499109_4667402781893977162_n-683x350.jpg
000044.jpg,http://www.pastorelessinialagorai.it/wp-content/uploads/2018/07/IMG_20180709_232112-769x1024.jpg
000045.jpg,https://statobradocinofiliaetradizioni.files.wordpress.com/2017/06/1385123_457778487671959_1577522389_n.jpg?w=305&h=457
000046.jpg,http://www.ruralpini.it/images/cusio/ob_2667bd_riflette-3-er.JPG
000047.jpg,https://www.canedifamiglia.com/wp-content/uploads/media/kunena/attachments/44/cucciolo_Pastore_Lessinia.jpg
000048.jpg,http://www.fattoriaventuri.it/web/wp-content/uploads/2018/09/IMGP8483-600x300.jpg
000049.jpg,https://i.pinimg.com/474x/5e/14/d3/5e14d36b0cf5d380f5647883d543a9e2.jpg
000050.jpg,http://www.pastorelessinialagorai.it/wp-content/uploads/2018/05/E6A9E5A8-66E8-4662-9AFC-B3CBECA48812.jpeg
