image,source
000001.jpg,https://www.dogbreedinfo.com/images10/PetitBleudeGascognetacoma.jpg
000002.jpg,http://www.animal-art.org/fileadmin/_migrated/pics/CCF14-1147.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Ma%C5%82y_go%C5%84czy_gasko%C5%84ski_Cita_z_Beckova_Cb5.jpg
000004.jpg,https://media.ooreka.fr/public/image/3-307445-3043-full-13455525.jpg
000005.jpg,https://images.wagwalkingweb.com/media/breed/petit-bleu-de-gascogne/hero/Petit-Bleu-de-Gascogne.jpg
000006.jpg,http://www.animal-art.org/fileadmin/_migrated/pics/CCF14-1169.jpg
000007.jpg,https://www.dogbreedinfo.com/images10/PetitBleudeGascognetacoma2.jpg
000008.jpg,https://c8.alamy.com/comp/X8TW45/little-blue-gascony-hound-dog-standing-on-grass-X8TW45.jpg
000009.jpg,http://edoglovers.com/uploads/petit_bleu_de_gascogne2.jpg
000010.jpg,https://fairvet.com/uploads/dog_breeds/full/Petit-Bleu-de-Gascogne1438974650.jpg
000011.jpg,https://en.browning-blog.eu/wp-content/uploads/2016/09/petit_bleu_de_gascogne.jpg
000012.jpg,http://home.hccnet.nl/pl.de.haas/images/nbibi2.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Ma%C5%82y_go%C5%84czy_gasko%C5%84ski_Cita_z_Beckova_00.jpg/220px-Ma%C5%82y_go%C5%84czy_gasko%C5%84ski_Cita_z_Beckova_00.jpg
000014.jpg,https://media.ooreka.fr/public/image/3-307445-3049-full-13455597.jpg
000015.jpg,https://www.guter-hund.de/wp-content/uploads/2019/03/Petit-Bleu-de-Gascogne.jpg
000016.jpg,https://i.pinimg.com/236x/35/c9/d6/35c9d6e309797134cf0e407b1ba7fd39.jpg
000017.jpg,http://lomets.com/wp-content/uploads/2013/09/Petit-Bleu-de-Gascogne-Dog.jpg
000018.jpg,http://www.animal-art.org/fileadmin/_migrated/pics/44-CCF14-1163.jpg
000019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg/220px-Grand_Bleu_de_Gascogne_in_a_blue_dogcollar.jpg
000020.jpg,https://www.doglib.com/wp-content/uploads/sites/2/bl/bleu-hortaya-borzaya-wikipedia-the-free-encyclopedia-breed.jpg
000021.jpg,https://www.dogbreedinfo.com/images10/PetitBleudeGascognetacomah.jpg
000022.jpg,https://i.ytimg.com/vi/DPqUfsu-phU/maxresdefault.jpg
000023.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2015/05/Griffon-bleu-de-Gascogne.jpg
000024.jpg,http://www.petpaw.com.au/wp-content/uploads/2012/09/Bleu-de-Gascogne-Petit.jpg
000025.jpg,https://media.ooreka.fr/public/image/3-307445-3047-full-13455599.jpg
000026.jpg,https://www.animal3000.com/assets/img/informations/animals_images/chien/vignette/petitbleudegascogne.jpg
000027.jpg,http://www.adopt-a-griffon.eu/en/wp-content/uploads/2016/01/basset-bleu-gascogne.jpg
