image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/pharaoh-hound-dog-breed-pictures/3-sitesmile.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/pharaoh-hound-detail.jpg?bust=1535566283&width=355
000003.jpg,https://vetstreet.brightspotcdn.com/dims4/default/832eae1/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F5f%2Fc5%2F3931e0ae4e64b335655da4af7509%2Fpharaoh-hound-ap-1mqdun.jpg
000004.jpg,https://vetstreet.brightspotcdn.com/dims4/default/e071a2b/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F76%2F15ef50a7f511e0a0d50050568d634f%2Ffile%2FPharaoh-Hound-1-645mk062811.jpg
000005.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Pharaoh-Hound_Mobile.jpg?h=300&la=en&w=375&hash=2FCD293667FBCD8F030FB37E1249EF31
000006.jpg,http://cdn.akc.org/content/hero/pharoah_hound_hero.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12214239/Pharaoh-Hound-On-White-03.jpg
000008.jpg,https://www.petguide.com/wp-content/uploads/2016/01/pharaoh-hound.jpg
000009.jpg,https://cdn.akc.org/Marketplace/Breeds/Pharaoh_Hound_SERP.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Pies_faraona_e34.jpg/220px-Pies_faraona_e34.jpg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Pharaoh-Hound-2.jpg
000012.jpg,http://www.dogzone.com/images/breeds/pharoah-hound.jpg
000013.jpg,https://www.dogster.com/wp-content/uploads/2015/08/shutterstock_239493841.jpg
000014.jpg,https://vetstreet-brightspot.s3.amazonaws.com/aa/e586f0a7f511e0a0d50050568d634f/file/Pharaoh-Hound-2-645mk062811.jpg
000015.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Pharaoh-Hound-pup.jpg
000016.jpg,https://www.caninejournal.com/wp-content/uploads/two-pharaoh-hound-dogs.jpg
000017.jpg,https://www.petful.com/wp-content/uploads/2014/12/Pharaoh-Hound-750x409.jpg
000018.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12214246/Pharaoh-Hound-On-White-01-400x267.jpg
000019.jpg,https://www.pawsplaygrounds.com/wp-content/uploads/2017/01/pharaoh-hound.jpg
000020.jpg,https://thumbs.dreamstime.com/z/pharaoh-hound-background-green-grass-95508859.jpg
