image,source
000001.jpg,https://www.petguide.com/wp-content/uploads/2016/10/picardy-spaniel.jpg
000002.jpg,https://www.dogzone.com/images/breeds/picardy-spaniel-puppy.jpg
000003.jpg,http://3.bp.blogspot.com/-GIRQV1wH-14/TdFcuu-Gy0I/AAAAAAAAAfA/zZZQp37v4mI/s1600/Picard20070403130-Edit.jpg
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Picardy-Spaniel-2.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Epagneul_picard_685.jpg
000006.jpg,http://www.dogzone.com/images/breeds/picardy-spaniel.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Picardy-Spaniel-1.jpg
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/01/Picardy-Spaniel.jpg
000009.jpg,https://cdn.website-editor.net/8e6d90b590ba45b2899659c91e5d9510/dms3rep/multi/tablet/33154355_1775650515791148_3956514488571658240_o.jpg
000010.jpg,https://www.dogbreedplus.com/dog_breeds/images/picardy_spaniel_000.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/01/Picardy-Spaniel-Pictures.jpg
000012.jpg,https://cdn.website-editor.net/8e6d90b590ba45b2899659c91e5d9510/dms3rep/multi/tablet/Daphne.jpg
000013.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/2178.png
000014.jpg,https://static1.squarespace.com/static/5825d852d2b857e533a4b693/t/5957ed859f74560138ea1053/1498934678887/_WP_0417-Edit-2.jpg?format=1500w
000015.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2a9cec2/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fdc%2Fbf%2F345990234a359d932a3e8868300e%2Fblue-picardy-spaniel-ap-1naxvz-645-x-380.jpg
000016.jpg,https://i.ytimg.com/vi/ESNgxhhVid8/hqdefault.jpg
000017.jpg,https://www.pets4homes.co.uk/images/breeds/383/large/42fc3359f15c5d7595eeaf300f7df7ed.jpg
000018.jpg,https://i.pinimg.com/236x/e0/a5/d6/e0a5d69e48f5032087b76fa5e06e9049--training-dogs-hunting-dogs.jpg
000019.jpg,https://i.pinimg.com/originals/e9/92/4c/e9924c5661946b40efce7e704ebfd77d.jpg
000020.jpg,https://cdn.website-editor.net/500a59a5b8da49aeb4806a401a965d56/dms3rep/multi/mobile/Lorena+1.jpg
000021.jpg,https://vetstreet.brightspotcdn.com/dims4/default/c0fe556/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F58%2Fc1%2F658046ee4423ab5f9e5ef667d51f%2Fblue-picardy-spaniel-ap-fv9k9t-645-x-380.jpg
000022.jpg,https://i.ytimg.com/vi/Rc0dvL495a4/hqdefault.jpg
000023.jpg,http://www.dogwallpapers.net/wallpapers/picardy-spaniel-dog-photo.jpg
000024.jpg,https://www.dogbreedinfo.com/images28/BluePicardySpanielBleuPicardEpagneulBleudePicardieAdultDogBlue.jpg
000025.jpg,https://www.pets4homes.co.uk/images/classifieds/2016/06/13/1301292/large/blue-picardy-spaniel-puppy-rare-french-breed-575f6aa3f0a79.JPG
000026.jpg,https://www.mypetzilla.co.uk/files/3114/7922/8946/Picardy-Spaniel.jpg
000027.jpg,http://4.bp.blogspot.com/-LWeR3Fd-464/TdFdGSMB-JI/AAAAAAAAAgg/pyJq5TRsSCA/s1600/Bleu20080413210.jpg
000028.jpg,https://static1.squarespace.com/static/5825d852d2b857e533a4b693/t/5ac6dae0758d461c8c3d62d5/1522981739540/
000029.jpg,https://c8.alamy.com/comp/GDA351/picardy-spaniel-dog-adult-on-grass-GDA351.jpg
000030.jpg,https://animalsadda.com/wp-content/uploads/2017/08/Blue-Picardy-Spaniel-2.jpg
000031.jpg,https://i.pinimg.com/236x/c9/f5/2f/c9f52f01f77eb2f56a616af6b73b22fe--amazing-dogs-beautiful-dogs.jpg?nii=t
000032.jpg,http://www.belpatt.fr/img/belpatt_races/Epagneul-Bleu-Picardie.jpg
000033.jpg,https://cdn.website-editor.net/500a59a5b8da49aeb4806a401a965d56/dms3rep/multi/mobile/Bella+5+%282%29.jpg
000034.jpg,https://i0.wp.com/thechiswickcalendar.co.uk/wp-content/uploads/2019/03/libelles-litter-4-cropped_web.jpg?resize=805%2C527&ssl=1
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Epagneul_bleu_de_picardie_g%C5%82owa_098.jpg/640px-Epagneul_bleu_de_picardie_g%C5%82owa_098.jpg
000036.jpg,https://38vtm736ybavjl8ghz51n2ed-wpengine.netdna-ssl.com/wp-content/uploads/2015/05/Blue-Picardy-Spaniel.jpg
000037.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/2176.png
000038.jpg,https://editorial01.shutterstock.com/wm-preview-1500/4085208a/dbf87e28/various-shutterstock-editorial-4085208a.jpg
000039.jpg,https://alldogsworld.com/wp-content/uploads/2014/08/blue-picardy-spaniel.jpg
000040.jpg,https://bookshow.blurb.com/bookshow/cache/P10841584/md/cover_2.jpeg?access_key=95512031ae925e945043e7af3070d5cc
000041.jpg,https://animalsadda.com/wp-content/uploads/2017/08/Blue-Picardy-Spaniel-6.jpg
000042.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/01/Picardy-Spaniel-Puppies.jpg
000043.jpg,https://previews.agefotostock.com/previewimage/medibigoff/07e51cdc2f32178c273fd035ca97e2a2/juf-149347.jpg
000044.jpg,https://www.petguide.com/wp-content/uploads/2017/01/blue-picardy-spaniel.jpg
000045.jpg,https://www.backyardchickens.com/content/type/61/id/5562709/width/200/height/400
000046.jpg,https://images.wagwalkingweb.com/media/daily_wag/name_guides/%7Bslug%7D/hero/1549532825.52/blue_picardy_spaniel_dog_names.jpg
000047.jpg,https://cdn.website-editor.net/8e6d90b590ba45b2899659c91e5d9510/dms3rep/multi/tablet/Nyra+April+2018+4.jpg
