image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Podenco_Canario_2.jpg/260px-Podenco_Canario_2.jpg
000002.jpg,https://cazadoresconpodencosespana.files.wordpress.com/2018/02/podenco-canario.jpg?w=740
000003.jpg,https://img.milanuncios.com/fg/2494/39/249439860_1.jpg?VersionId=0RgS8ijaDHUT1oPpB0TU72bfYje1bsTh
000004.jpg,https://piensosloboazul.com/wp-content/uploads/2018/08/perros-podenco-canario-650x380.jpg
000005.jpg,https://www.cazavision.com/sites/default/files/inline-images/PodencoCanario_Ficha4.jpg
000006.jpg,http://www.dogzone.com/images/breeds/podenco-canario.jpg
000007.jpg,https://www.petguide.com/wp-content/uploads/2017/08/podenco-canario.jpg
000008.jpg,http://www.caninanacionalaccam.es/wp-content/uploads/2016/07/Podenco-Canario.jpg
000009.jpg,https://i.pinimg.com/originals/d0/12/35/d01235030b7080ff149f62fe349398a7.jpg
000010.jpg,http://primitivedogs.com/wp-content/uploads/2015/11/Podenco-Canario.jpg
000011.jpg,https://vignette.wikia.nocookie.net/dog-lover/images/d/de/Podenco_canario_0026.jpg/revision/latest?cb=20140815151115
000012.jpg,https://www.canariasconfidencial.com/wp-content/uploads/2019/01/Podenco-Canario-3-750x430.jpg
000013.jpg,http://laperdizroja.com/wp-content/uploads/2017/03/podenco-canario.jpg
000014.jpg,https://perros.paradais-sphynx.com/wp-content/uploads/2017/02/podenco-canario.jpg
000015.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Podenco_canario_hembra.jpg
000016.jpg,https://perro.shop/wp-content/uploads/podenco-canario.jpg
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/04/Podenco-Canario.jpg
000018.jpg,http://www.gopetsamerica.com/hounds/podenco-canario.jpg
000019.jpg,https://cazaworld.com/blog/wp-content/uploads/2018/07/Podenco-canario-3.jpg
000020.jpg,https://www.ecured.cu/images/thumb/4/4d/Podenco_canario.jpg/260px-Podenco_canario.jpg
000021.jpg,https://images.ctfassets.net/w00x6p5qkejz/4blfTQeS3uY22cAwWQ2uOW/d67a126b72c0e8b0851640cb2843406a/Podenco_Canario1.png
000022.jpg,https://img.milanuncios.com/fg/2088/52/208852012_3.jpg
000023.jpg,http://doglover.in/wp-content/uploads/2018/06/Podenco-Canario-Dog.jpg
000024.jpg,https://piensosloboazul.com/wp-content/uploads/2018/08/cachorros-podenco-canario.jpg
000025.jpg,https://www.elmundodelperro.net/fotos/55/Razas_Europeas-nov11.jpg
000026.jpg,https://i.pinimg.com/originals/fb/5a/18/fb5a1828d6339687779a83dfb9a40a9c.jpg
000027.jpg,https://www.cazavision.com/sites/default/files/inline-images/PodencoCanario_Ficha7.jpg
000028.jpg,https://live.staticflickr.com/5520/11501225816_1d283aee59_b.jpg
