image,source
000001.jpg,https://www.pets4homes.co.uk/images/breeds/227/large/33afaee10cdac48214dc8ae582e6e782.jpg
000002.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/pointer-dog-breed-pictures/1-point.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232941/German-Shorthaired-Pointer-On-White-07.jpg
000004.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/english-pointer-detail.jpg?bust=1535565670&width=355
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27120159/English-Pointer-pointing-quail.jpg
000006.jpg,https://vetstreet-brightspot.s3.amazonaws.com/35/7b8bc0c82111e09b940050568d6ceb/file/Pointer-1-AP-645km081611.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12211603/Pointer-History-09.jpg
000008.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-MNOP/pointers-bboa.jpg
000009.jpg,https://www.petmd.com/sites/default/files/breedopedia/IMG_1335.JPG
000010.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_22992_pointer-460x290.jpg
000011.jpg,https://vetstreet-brightspot.s3.amazonaws.com/48/bff310c82111e09b940050568d6ceb/file/Pointer-2-AP-645km081611.jpg
000012.jpg,https://www.redstonevet.com/sites/default/files/styles/large/adaptive-image/public/pointer-dog-breed-info.jpg?itok=9CsUFXny
000013.jpg,http://dev.petcentral.chewy.com/wp-content/uploads/pointerdog-1.jpg
000014.jpg,https://www.pets4homes.co.uk/images/articles/3947/large/five-interesting-facts-about-the-pointer-dog-breed-58aaf135bcac1.jpg
000015.jpg,https://doglime.com/wp-content/uploads/2019/04/English-Pointer.jpg
000016.jpg,https://vetstreet-brightspot.s3.amazonaws.com/84/d9ff30c82111e09b940050568d6ceb/file/Pointer-4-AP-645km081611.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/English_pointer.jpg
000018.jpg,http://dev.petcentral.chewy.com/wp-content/uploads/german-shorthaired-pointer-620-403-shutterstock-245924317-1.jpg
000019.jpg,https://i.pinimg.com/originals/eb/ec/f7/ebecf742a0bb2bb5d8e92e599a5617c7.jpg
000020.jpg,https://img.dog-learn.com/dog-breeds/german-shorthaired-pointer/german-shorthaired-pointer-puppy-i8-sz14.jpg
000021.jpg,https://dogsaholic.com/wp-content/uploads/2016/05/Pointer-dog-breed.png
000022.jpg,https://images.wagwalkingweb.com/media/breed/pointer/appearance/pointer.png
000023.jpg,https://1.bp.blogspot.com/-MfqdbDwM8Tc/XPYpxWeI6fI/AAAAAAAAB-o/V9WWqveX6-Q-KqgxFDmws2TUAMj1yVYBwCLcBGAs/s1600/GermanShorthaired.jpg
000024.jpg,https://www.pets4homes.co.uk/images/articles/4981/large/gout-in-the-pointer-dog-breed-5ba206f134889.jpg
000025.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Pointer_angielski_LM.jpg/220px-Pointer_angielski_LM.jpg
000026.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_German-Short-Haired-Pointer_Mobile.jpg?h=300&la=en&w=375&hash=042E5ACD7980C396443C7524962EDECE
000027.jpg,https://vetstreet.brightspotcdn.com/dims4/default/5cddd75/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F75%2F994470a0d211e0a2380050568d634f%2Ffile%2FGerman-Shorthaired-Pointer-5-645mk062411.jpg
000028.jpg,http://resizer.shared.arcpublishing.com/_c_IeDjDvXpXu05gMk7Cs-87HDg=/arc-anglerfish-arc2-prod-bonnier/public/3RANFA3R27BEOXJOID46IF7PNI.jpg
000029.jpg,http://www.petsworld.in/blog/wp-content/uploads/2014/10/pointer-Dog.jpg
000030.jpg,https://www.disktrend.com/wp-content/uploads/2016/10/pointer-hunting.jpg
000031.jpg,https://i.pinimg.com/originals/a2/3e/29/a23e29438c08c60be6b7b8e4c0ec9e0c.jpg
000032.jpg,https://www.thesprucepets.com/thmb/iht5MvzLV2zGikoNkORZDQTtFwQ=/450x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-941329520-4d4983d95d994c7d8c9d6e02db25bffa.jpg
000033.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_22976_german-shorthaired-pointer-460x290.jpg
000034.jpg,https://i2.wp.com/dogtrainingtips.xyz/wp-content/uploads/2018/10/301.jpg?fit=600%2C600&ssl=1
000035.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Pointer-Dog_Mobile.jpg?h=300&la=en&w=375&hash=5D3A737207198D6D4D6B7A3D07E3A7C4
000036.jpg,https://www.thelabradorsite.com/wp-content/uploads/2017/12/labpointer.jpg
000037.jpg,https://usercontent2.hubstatic.com/13909061_f520.jpg
000038.jpg,https://i.ytimg.com/vi/erOefrVFQ_8/hqdefault.jpg
000039.jpg,https://www.dognutrition.com/wp-content/uploads/2019/05/German-Shorthaired-Pointer-Dog-Breed-Puppy.png
000040.jpg,http://www.dogzone.com/images/breeds/english-pointer.jpg
000041.jpg,http://animal-world.com/dogs/Sporting-Dog-Breeds/images/PointerWDS_Ap6D.jpg
000042.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/small-munsterlander-pointer-dog-breed-pictures/face-10.jpg
000043.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/POINTTERI_CLAYPONDS_PENTUJA_2008_1.jpg/220px-POINTTERI_CLAYPONDS_PENTUJA_2008_1.jpg
000044.jpg,https://images.petsbest.com/marketing/blog/German_Shorthaired_Pointer_Blog.jpg
000045.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_5aee3a6d-c2ed-40de-b524-ad0435c27cc6.jpg
000046.jpg,https://www.dogbreedinfo.com/images30/SlovakianRoughHairedPointerRarePurebredDogNaughtyBorisVantWeimeland2YearsOldRareBreed1.jpg
000047.jpg,https://geniusvets.s3.amazonaws.com/gv-dog-breeds/pointer-1.jpg
000048.jpg,https://images-ra.adoptapet.com/seo/1/ff/92_ff.jpg
000049.jpg,https://cdn.britannica.com/10/8110-004-765328A2.jpg
000050.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/german-shorthaired-pointer-dogs-and-puppies/german-shorthaired-pointer-dogs-puppies-1.jpg
