image,source
000001.jpg,https://images.wagwalkingweb.com/media/breed/poitevin/hero/Poitevin1.jpg
000002.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Images-of-Poitevin-Dog.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Poitevin-Dog.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Pictures-of-Poitevin-Dog.jpg
000005.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Photos-of-Poitevin-Dog.jpg
000006.jpg,http://www.dogzone.com/images/breeds/poitevin-hound.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Chien-du-Haut-Poitou.jpg
000008.jpg,https://www.pets4homes.co.uk/images/articles/4187/large/all-about-the-poitevin-scenthound-5942642ae0270.jpg
000009.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/10/10354875_349783468522088_1495110031460033392_n.jpg
000010.jpg,https://c8.alamy.com/comp/GDA2A7/poitevin-dog-male-GDA2A7.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Poitevin-Dogs.png
000012.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Poitevin-Dog-Photos.jpg
000013.jpg,https://c8.alamy.com/comp/X9XT68/poitevin-dog-male-X9XT68.jpg
000014.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/06/Poitevin-Dog-Images.jpg
000015.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Poitevin-dog-size.jpg
000016.jpg,https://c8.alamy.com/comp/GDA2A3/poitevin-dog-male-GDA2A3.jpg
000017.jpg,https://c8.alamy.com/comp/X3RHGJ/poitevin-dog-male-standing-on-grass-X3RHGJ.jpg
000018.jpg,https://c8.alamy.com/comp/X0R0YX/poitevin-dog-male-X0R0YX.jpg
000019.jpg,https://c8.alamy.com/comp/XDPM7R/poitevin-dog-male-standing-on-grass-XDPM7R.jpg
000020.jpg,https://www.petpremium.com/wp-content/uploads/ppbr/breeds/poitevin_profile_350x400.jpg
000021.jpg,https://i.pinimg.com/originals/86/8f/5f/868f5f137fdd89818baeba5e1c538612.jpg
000022.jpg,https://images.puppyfinder.com/Breed/8/5/e/85e186813650def0_677_image1_medium.jpg
000023.jpg,https://c8.alamy.com/comp/GDA256/poitevin-dog-male-standing-on-grass-GDA256.jpg
000024.jpg,https://editorial01.shutterstock.com/wm-preview-1500/4085391a/538bd748/various-shutterstock-editorial-4085391a.jpg
000025.jpg,http://globaldogbreeds.com/poitevin.html/pictures-of-poitevin-dog
000026.jpg,https://media.gettyimages.com/photos/poitevin-dog-side-view-picture-id108008729
000027.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/05/Poitevin-Dog-Pictures-326x245-1.jpg
000028.jpg,https://www.featurepics.com/StockImage/20140717/scenthound-poitevin-dog-stock-image-3135510.jpg
000029.jpg,https://c8.alamy.com/comp/X0NHNM/poitevin-dog-X0NHNM.jpg
000030.jpg,https://i.pinimg.com/originals/93/87/21/938721d0ff82894e51f95e276b56a786.jpg
000031.jpg,https://alchetron.com/cdn/poitevin-dog-63e5fa30-fc73-4e4f-8166-fe861891c87-resize-750.jpeg
000032.jpg,https://previews.agefotostock.com/previewimage/medibigoff/72e2dc1e9997f34f3217a176bc329eae/ys1-1737124.jpg
000033.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Poitevin-dog-food.jpg
000034.jpg,https://www.ukcdogs.com/images/breeds/poitevin.jpg
000035.jpg,https://editorial01.shutterstock.com/wm-preview-1500/4085389a/97c84af4/various-shutterstock-editorial-4085389a.jpg
000036.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Poitevin_Hound_4.jpg
000037.jpg,https://editorial01.shutterstock.com/wm-preview-1500/4085385a/0b71b57c/various-shutterstock-editorial-4085385a.jpg
000038.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8d/Poitevin_Hound_3.jpg
000039.jpg,https://wds2018.com/wp-content/uploads/2017/05/Poitevin.jpg
000040.jpg,https://images-na.ssl-images-amazon.com/images/I/41iukOjbliL._SX331_BO1,204,203,200_.jpg
000041.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/05/Poitevin-Dog-Photos-1.jpg
000042.jpg,http://3.bp.blogspot.com/_LYxGQn08RU4/SN7DsCUqJrI/AAAAAAAABp4/Ng2EQBDr5_E/s400/POITEVIN2.bmp
000043.jpg,https://c8.alamy.com/comp/X21CB3/poitevin-dog-portrait-X21CB3.jpg
000044.jpg,https://editorial01.shutterstock.com/wm-preview-1500/4085390a/d6fd3990/various-shutterstock-editorial-4085390a.jpg
000045.jpg,https://www.pets4homes.co.uk/images/articles/5319/thumbs/meet-the-three-new-dog-breeds-invited-to-compete-at-crufts-2019-5c811ca0635cc.jpeg
000046.jpg,https://www.sciencesource.com/Doc/TR1_WATERMARKED/5/6/7/c/SS2779964.jpg?d63644497173
000047.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/05/Poitevin-Dog-Puppy-1-257x300.jpg
000048.jpg,http://www.celysvet.cz/big-photo/poitevin-dog-standard-1.jpg
000049.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Poitevin_Hound_head_2.jpg
000050.jpg,https://i.ytimg.com/vi/YHT13jPRhoE/maxresdefault.jpg
