image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/PolishScenthound-%22NUTKA_Klusujaca_Sfora_wl_A.Balcerzak.jpg
000002.jpg,http://www.dogzone.com/images/breeds/polish-hunting-dog.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2018/03/polish-hound.jpg
000004.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Polish-Hunting-Dog-2.jpg
000005.jpg,https://www.dogbreedinfo.com/images21/GonczyPolskiUNAHulajDuszagonczypo.jpg
000006.jpg,https://images.wagwalkingweb.com/media/breed/polish-hunting/hero/Polish-Hunting_4HwAjY0.jpg
000007.jpg,https://www.dogbreedinfo.com/images21/GonczyPolskiUNAHulajDuszaIMGP2738.jpg
000008.jpg,https://animalsbreeds.com/wp-content/uploads/2015/04/Polish-Hunting-Dog-3.jpg
000009.jpg,https://i.ytimg.com/vi/FgbeDFGNXf8/hqdefault.jpg
000010.jpg,https://animalsbreeds.com/wp-content/uploads/2015/04/Polish-Hunting-Dog-4.jpg
000011.jpg,https://www.dogbreedinfo.com/images21/GonczyPolskiUNAHulajDuszaIMGP5504.jpg
000012.jpg,https://animalsbreeds.com/wp-content/uploads/2015/04/Polish-Hunting-Dog-6.jpg
000013.jpg,https://animalsbreeds.com/wp-content/uploads/2015/04/Polish-Hunting-Dog-2.jpg
000014.jpg,https://c8.alamy.com/comp/RYX7F1/purebred-polish-hunting-dog-previously-polish-scenthound-lying-on-the-green-meadow-RYX7F1.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/07/Ogar-Polski-Black.jpg
000016.jpg,https://www.dogbreedinfo.com/images21/GonczyPolskiUNAHulajDuszaIMGP8171.jpg
000017.jpg,https://i.pinimg.com/originals/b4/c3/d5/b4c3d5a9bbcde51caec1b3c69fbfe2c3.jpg
000018.jpg,https://i.ytimg.com/vi/iMluK7yxNvE/maxresdefault.jpg
000019.jpg,https://animalsbreeds.com/wp-content/uploads/2015/04/Polish-Hunting-Dog-9.jpg
000020.jpg,https://i.pinimg.com/originals/20/01/ad/2001adb2af13dc44e2fce6d280788f12.jpg
000021.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193539/Slovensky-Kopov-On-White-01.jpg
000022.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/PolishHound-MlChPl-OKSANA-ZOstregoBoru-wl.JoannaZembrzuska_3.JPG/1200px-PolishHound-MlChPl-OKSANA-ZOstregoBoru-wl.JoannaZembrzuska_3.JPG
000023.jpg,https://i.pinimg.com/originals/86/d7/db/86d7dbd43f1d8a7ad19e35f29388bb9e.jpg
000024.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Polish-Hunting-Dog.jpg
000025.jpg,https://www.dogbreedinfo.com/images21/GonczyPolskiUNAHulajDuszaIMGP9746.jpg
000026.jpg,https://brit-petfood.com/file/nodes/product/polsky%20ogar.JPG
000027.jpg,https://www.dogbreedinfo.com/images21/GonczyPolskiUNAHulajDuszaIMGP0415.jpg
000028.jpg,https://t4.ftcdn.net/jpg/00/94/58/05/240_F_94580597_bVtYwS32yahpQwgaJ2R7P5th6L8Lc6t4.jpg
000029.jpg,http://www.dogwallpapers.net/wallpapers/cute-polish-hunting-dog-photo.jpeg
000030.jpg,https://banner2.kisspng.com/20180405/xkq/kisspng-black-and-tan-coonhound-polish-hunting-dog-bloodho-3d-dog-5ac6cc6f0f3417.1482336915229779030623.jpg
000031.jpg,https://alchetron.com/cdn/polish-hunting-dog-841441bf-2857-442f-813b-84b1e5255a6-resize-750.jpeg
000032.jpg,https://www.dogbreedinfo.com/images21/GonczyPolskiUNAHulajDuszaIMGP4114.jpg
000033.jpg,https://i.ytimg.com/vi/yJ4WFnrt8CY/hqdefault.jpg
000034.jpg,https://thumbnail.imgbin.com/6/23/21/imgbin-dog-breed-black-and-tan-coonhound-transylvanian-hound-polish-hunting-dog-smaland-hound-lead-videos-F7k7AbMBAB6MBwkAJ6aPR7wN0_t.jpg
000035.jpg,https://banner2.kisspng.com/20180720/gzx/kisspng-rottweiler-black-and-tan-coonhound-austrian-black-german-shepherd-dog-5b51d06b56b8a2.0646845515320884273552.jpg
000036.jpg,https://animalsbreeds.com/wp-content/uploads/2015/04/Polish-Hunting-Dog-7.jpg
000037.jpg,https://get.pxhere.com/photo/white-dog-mammal-hound-dogs-vertebrate-lying-attention-dog-breed-vizsla-dachshund-rhodesian-ridgeback-bavarian-mountain-welding-dog-hunting-dogs-irish-setter-dog-like-mammal-carnivoran-polish-hunting-dog-basset-art-sien-normand-tosa-broholmer-redbone-coonhound-bavarian-mountain-hound-finnish-hound-coonhound-segugio-italiano-black-and-tan-coonhound-wirehaired-vizsla-english-coonhound-polish-hound-hanover-hound-642935.jpg
000038.jpg,https://66.media.tumblr.com/4e318717656fbd4e11b77ba640ffab6b/tumblr_n6tmkc27jM1tzeqovo2_1280.jpg
