image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/polish-lowland-sheepdog-detail.jpg?bust=1535566308&width=355
000002.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23194_polish-lowland-sheepdog-460x290.jpg
000003.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-MNOP/polishlowlandsheepdogsf3.jpg
000004.jpg,http://cdn.akc.org/content/hero/pons.jpeg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225700/Polish-Lowland-Sheepdog-On-White-01.jpg
000006.jpg,https://vetstreet-brightspot.s3.amazonaws.com/0b/68ec60ccfe11e0ad9e12313817c323/file/Polish-Lowland-Sheepdog-1-645mk082211.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225705/Polish-Lowland-Sheepdog-MP.jpg
000008.jpg,https://nimages.champdogs.net/breeds/polish-lowland-sheepdog.jpg
000009.jpg,http://www.dogzone.com/images/breeds/polish-lowland-sheepdog.jpg
000010.jpg,https://www.dogbreedinfo.com/images26/PolishLowlandSheepdogPONPurebredDogKya3YearsOld6.jpg
000011.jpg,https://images.wagwalkingweb.com/media/breed/polish-lowland-sheepdog/appearance/polish-lowland-sheepdog.png
000012.jpg,https://www.pets4homes.co.uk/images/articles/2631/large/polish-lowland-sheepdog-hereditary-health-and-health-testing-54e457f0979ea.jpg
000013.jpg,https://www.pets4homes.co.uk/images/breeds/396/large/8ec29ec3df19ecd734c9b59a7587a24c.jpg
000014.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/polish-lowland-sheepdog-dog-breed-pictures/snowface-9.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Polish-Lowland-Sheepdogs.jpg
000016.jpg,https://www.petmd.com/sites/default/files/breedopedia/IMG_0554.JPG
000017.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Lowland-Polish-Sheepdog.jpg
000018.jpg,http://knowledgebase.lookseek.com/images/animals/dogs/Polish-Lowland-Sheepdog.jpg
000019.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/11/Polish-Lowland-Sheepdog-Images.jpg
000020.jpg,https://vetstreet.brightspotcdn.com/dims4/default/2883e66/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fe4%2F619ef0ccfd11e0ad9e12313817c323%2Ffile%2FPolish-Lowland-Sheepdog-3-645mk082211.jpg
