image,source
000001.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13093148/Portuguese-Podengo-MP1.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/portuguese-podengo-detail.jpg?bust=1535566371&width=355
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190023/Portuguese-Podengo-on-White-02.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13093231/Portuguese-Podengo-Care-500x750.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/21133457/PPP-on-white.jpg
000006.jpg,https://www.pets4homes.co.uk/images/breeds/239/large/00623a32c49ffca677fee43abe32a0d0.jpg
000007.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/03/portuguese-podengo-2.jpg
000008.jpg,https://vetstreet.brightspotcdn.com/dims4/default/9d7792f/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F31%2F40e950a8a611e0a0d50050568d634f%2Ffile%2FPortuguese-Podengo-2-645mk070111.jpg
000009.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/03/portuguese-podengo-1.jpg
000010.jpg,https://vetstreet-brightspot.s3.amazonaws.com/31/09/8174430e435d8b75fc5f5f838b43/portuguese-podengo-medium-AP-1SMFYP-645sm11514.jpg
000011.jpg,https://www.smalldogplace.com/images/Podengo-grass.jpg
000012.jpg,https://www.petful.com/wp-content/uploads/2014/01/Portuguese-Podengo-Pequeno-smooth.jpg
000013.jpg,https://i1.wp.com/dogloversshow.com.au/directory/wp-content/uploads/sites/4/2017/10/podengo.jpg?fit=420%2C350&ssl=1
000014.jpg,https://images.ctfassets.net/w00x6p5qkejz/6IarJW9s2sSGga2weC60Go/11657c6316fde309e8b49e2b8fd6d14b/Portuguese_Podengo_Pequenos3.png
000015.jpg,https://dgicdplf3pvka.cloudfront.net/1045031/portuguese-podengo-puppy-picture-2d5e68f6-3324-4fcf-a643-72926f53ccbe.jpg
000016.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Portuguese-Podengo-2.jpg
000017.jpg,https://i.ytimg.com/vi/xs28A9SmGcQ/maxresdefault.jpg
000018.jpg,https://portuguesepodengomedio.weebly.com/uploads/9/0/3/0/9030960/5843153_orig.jpg?447
000019.jpg,http://www.dogspotters.com/dog-breed-photos/portpode.jpg
000020.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/Evitarocks.jpg
000021.jpg,https://www.dogbreedinfo.com/images29/PortuguesePodengoPequenoVascodeViamontePurebredDog11YearsOldRareBreedDog.jpg
000022.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/portuguese-podengo-card-small.jpg?bust=1535567574
000023.jpg,https://www.pets4homes.co.uk/images/breeds/239/large/519d899fd3a1daa94b586b0a7ede6d65.jpg
000024.jpg,https://www.smalldogplace.com/images/Podengos-head.jpg
000025.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/104902_orig.png
000026.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13093324/Portuguese-Podengo-History-011.jpg
000027.jpg,https://i.pinimg.com/originals/ab/d2/15/abd2152e1701bcc2700ff369293c24b2.jpg
000028.jpg,https://i1.wp.com/www.allaboutdogs.net/wp-content/uploads/2016/06/Portuguese-Podengo.jpg?resize=740%2C414&ssl=1
000029.jpg,https://static2.viovet.co.uk/petphotos/109816_d39ffff57579858847d461045a586419.jpg
000030.jpg,https://www.showsightmagazine.com/files/news/5c8676ede8c3e8.83062586.jpg
000031.jpg,https://primitivedogs.com/wp-content/uploads/2016/04/Interesting-Portuguese-Podengo-featured-800x324.jpg
000032.jpg,http://www.dogzone.com/images/breeds/portuguese-podengo.jpg
000033.jpg,https://images.ctfassets.net/w00x6p5qkejz/3zq0bIZrBYIU4CWqcWuWeW/67ce9ec64568e5349c6b87ece17e354f/Portuguese_Podengo_Medio4.png
000034.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Podengo_Portugues_Grande_de_pelo_cerdoso.JPG
000035.jpg,https://doglime.com/wp-content/uploads/2019/03/Portuguese-Podengo-Pequeno.jpg
000036.jpg,https://www.omlet.co.uk/images/cache/512/768/Dog-Portuguese_Podengo-A_healthy_adult_Portuguese_Podengo_sitting_neatly.jpg
000037.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/1961.png
000038.jpg,https://i.pinimg.com/originals/21/08/c9/2108c9b0039520089e1a493365731854.jpg
000039.jpg,http://www.dogspotters.com/dog-breed-photos/porpodpe.jpg
000040.jpg,https://www.vetarena.org/gallery/image-845.l.jpg
000041.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/02/02151421/ppp_header_.jpg
000042.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/03/portuguese-podengo-header.jpg
000043.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/HOUND_Portuguese-Podengo-Pequeno.jpg?itok=OlASzcz_
000044.jpg,https://res.cloudinary.com/fwkc-production/image/upload/c_fit,dpr_3.0,f_auto,g_center,h_430,q_auto,w_768/v1/fwkc/import/830
000045.jpg,https://timenewsfeed.files.wordpress.com/2013/01/128105377.jpg?w=720&h=480&crop=1
000046.jpg,https://vetstreet-brightspot.s3.amazonaws.com/7e/4e/f1b5543f424084cb49f374935362/portuguese-podengo-pequeno-ap-1sr7vz-645.jpg
000047.jpg,https://vetstreet.brightspotcdn.com/dims4/default/1e5928e/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F4c%2F29cc00a8a611e0a0d50050568d634f%2Ffile%2FPortuguese-Podengo-5-645mk070111.jpg
000048.jpg,https://www.petguide.com/wp-content/uploads/2014/04/portuguese-podengo-pequeno.jpg
000049.jpg,https://animals.net/wp-content/uploads/2018/10/Podengo-3-650x425.jpg
000050.jpg,https://i0.wp.com/www.starmountainkennel.com/wp-content/uploads/2014/11/patch-portuguese-podengo-pequeno.jpg?fit=900%2C822&ssl=1
