image,source
000001.jpg,http://www.dogzone.com/images/breeds/Pudelpointer.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12193807/Pudelpointer-On-White-01.jpg
000003.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Pudelpointer-2.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Images-of-Pudelpointer.jpg
000005.jpg,http://3.bp.blogspot.com/-i-US72sc1pg/VdZ6VwkVgVI/AAAAAAAABGo/HDJbXQLrOsA/s1600/Calendar%2BGirl.JPG
000006.jpg,https://i.pinimg.com/originals/63/06/bc/6306bc12db3b5ee41a146077cc0b7e9b.jpg
000007.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Pudelpointer-1.jpg
000008.jpg,https://i.ytimg.com/vi/JPqiv2QXy_E/hqdefault.jpg
000009.jpg,https://animalso.com/wp-content/uploads/2018/07/PudelpointerPuppy.png
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/02/Pudelpointer-Dog.jpg
000011.jpg,http://dreamworkgundogs.com/wp-content/uploads/2016/12/Slider_09-1000x450.jpg
000012.jpg,https://i1.wp.com/puppytoob.com/wp-content/uploads/2018/06/Pudelpointer-2.jpg?resize=750%2C500
000013.jpg,https://www.pets4homes.co.uk/images/articles/3394/large/the-handsome-german-pudelpointer-567becdb7420e.jpg
000014.jpg,http://www.pudelpointers.net/FAQ/images/General-Breed-Question/boze%20standing%202.jpg
000015.jpg,https://i0.wp.com/puppytoob.com/wp-content/uploads/2018/06/Pudelpointer-3.jpg?resize=752%2C502
000016.jpg,https://capgd.com/wp-content/uploads/2018/12/pudel_breeding.jpg
000017.jpg,http://www.highlifepudelpointers.com/images/big_1449509550.jpg
000018.jpg,https://i.pinimg.com/originals/cf/f9/21/cff92151699ba2aaeb4c638b4fefb637.jpg
000019.jpg,http://www.cabincreekgundogs.com/wp-content/uploads/2018/07/Pups2.png
000020.jpg,https://monstahfeed.com/wp-content/uploads/2017/06/imgonline-com-ua-FrameBlurred-CI04oZqJ0F47rOh.jpg
000021.jpg,https://researchbreeder.com/images/Puppies/Pudelpointer_Puppies.jpg
000022.jpg,https://i.pinimg.com/originals/a2/fc/b9/a2fcb9ad5b65e4d83c821775b841864f.jpg
000023.jpg,http://3.bp.blogspot.com/-vl8H6ojKAY0/TdvhAaBQCRI/AAAAAAAAAtM/mwSeRmxPqOU/s1600/Pudelpointer_20100828174547.jpg
000024.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/05/Pudelpointer-Pictures.jpg
000025.jpg,http://www.esqimg.com/images/photo2.jpg
000026.jpg,http://www.talltimberpudelpointers.com/wp-content/uploads/Screen-Shot-2017-02-05-at-10.59.49-AM-251x300.png
000027.jpg,https://i.pinimg.com/originals/6d/02/78/6d02784bcbba694d27a1a5e379340fa5.jpg
000028.jpg,http://www.dogwallpapers.net/wallpapers/pudelpointer-dogs-wallpaper.jpg
000029.jpg,https://www.k9rl.com/wp-content/uploads/2016/02/Pudelpointer-puppies.jpg
000030.jpg,https://www.gundogbreeders.com/images/pedigrees/4081.jpg
000031.jpg,https://www.dogbreedinfo.com/images16/PudelpointerFlaxAbout3Months3.JPG
000032.jpg,http://i.imgur.com/gTjC2Gq.jpg?1
000033.jpg,https://againstthewindvizslas.com/wp-content/uploads/2019/03/Pudelpointer_Puppy-1024x837.jpg
000034.jpg,https://pbs.twimg.com/media/D_W84AYX4AEz_1B.jpg
000035.jpg,https://i1.wp.com/projectupland.com/wp-content/uploads/2018/03/Flusher.jpg?resize=369%2C240&ssl=1
000036.jpg,http://www.cabincreekgundogs.com/wp-content/uploads/2018/04/CaptainChukar.jpg
000037.jpg,https://i.ytimg.com/vi/732fZidU8m0/hqdefault.jpg
000038.jpg,https://doggiedesigner.com/wp-content/uploads/2018/03/45.2.jpg
000039.jpg,http://www.pudelpointers.net/FAQ/images/General-Breed-Question/salt%20deer%202.jpg
000040.jpg,https://i.pinimg.com/originals/4f/60/ab/4f60ab22484ca7fc2df290f489f56320.jpg
000041.jpg,https://t4.ftcdn.net/jpg/01/93/30/35/500_F_193303535_lwZE8MGcRuIrHtXqeSk2QLrdkH2K4Azg.jpg
000042.jpg,http://www.sabinemiddelhaufeshundundnatur.net/immagini/hunderassen/pudelpointer/Ulf%20vom%20Geweberwald%20kl.jpg
000043.jpg,http://www.talltimberpudelpointers.com/wp-content/uploads/Kona-300x281.png
000044.jpg,https://www.k9rl.com/wp-content/uploads/2016/02/Black-Pudelpointer.jpg
000045.jpg,https://lh3.googleusercontent.com/iC_CzdAsxz1hHq_XxFKiB2rEQMtsfzn090B8lGrWkNMYO_sRc9HpcjsEdJfCFzFKSopfBzPMSk9ZwOr_IjN6gjtQm_ylkz_4vLZ_tBnw=s1600
000046.jpg,https://static.wixstatic.com/media/bc8843_fa2444cd15ef4782bc42f9f51e0cb98b~mv2_d_3264_2448_s_4_2.jpg
000047.jpg,https://images-na.ssl-images-amazon.com/images/I/51B05WCvWAL.jpg
000048.jpg,https://i.imgur.com/G64a81v.jpg
000049.jpg,http://www.davidhancockondogs.com/archives/archive_729_789/images/751/751B%20Pudelpointer%20at%20work.jpg
000050.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/a/ac/Pudelpointer.jpg/revision/latest?cb=20170730112707
