image,source
000001.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225358/Pug-On-White-01.jpg
000002.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23124_pug-460x290.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Pug_-_1_year_Old.jpg
000004.jpg,https://petfiester.com/wp-content/uploads/2018/10/p3.jpg
000005.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/10/miniature-pug-long.jpg
000006.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/pug-detail.jpg?bust=1535566394&width=355
000007.jpg,https://vetstreet.brightspotcdn.com/dims4/default/354d0cf/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fdc%2Fc4%2F8ccd3a28438d81b2f2f5d8031a05%2Fpug-ap-r82p3q-645.jpg
000008.jpg,https://secure.img2-fg.wfcdn.com/im/53299221/compr-r85/4307/43074449/hanging-pug-puppy-statue.jpg
000009.jpg,https://miro.medium.com/max/4000/1*pofor4p-ig072eaChITOYQ.jpeg
000010.jpg,https://images-na.ssl-images-amazon.com/images/I/71gRnoHe%2BTL._UL1500_.jpg
000011.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225427/Pug-Care.jpg
000012.jpg,https://timedotcom.files.wordpress.com/2018/07/gettyimages-758378481.jpg
000013.jpg,https://i.ytimg.com/vi/wRx3Uvcktm8/maxresdefault.jpg
000014.jpg,https://ichef.bbci.co.uk/news/660/cpsprodpb/CAB3/production/_105419815_fatpug2.jpg
000015.jpg,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/02/01/09/adorable-pug-1.png?w968h681
000016.jpg,https://media.healthday.com/Images/icimages/pug25.jpg
000017.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/07/black-pug-RJ-long.jpg
000018.jpg,https://www.calendars.com/img/p/orig/202000006227.jpg
000019.jpg,https://www.petplan.co.uk/images/breed-info/pug/common-health-conditions-carousel-m7a7729-cutout.jpg
000020.jpg,https://www.petguide.com/wp-content/uploads/2013/02/pug1.jpg
000021.jpg,https://www.prestigeanimalhospital.com/sites/default/files/styles/large/adaptive-image/public/pug-dog-breed-info.jpg?itok=3zc-opZZ
000022.jpg,https://www.rover.com/blog/wp-content/uploads/2017/06/pug-puppy-960x540.jpg
000023.jpg,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F37%2F2017%2F04%2F15215816%2F102997427.jpg&w=400&c=sc&poi=face&q=85
000024.jpg,https://timedotcom.files.wordpress.com/2014/10/184656162.jpg
000025.jpg,https://www.claires.com/dw/image/v2/BBTK_PRD/on/demandware.static/-/Sites-master-catalog/default/dwa9166518/images/hi-res/11096_1.jpg?sw=734&sh=734&sm=fit
000026.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225402/Pug-MP.jpg
000027.jpg,https://www.cbc.ca/cbcdocspov/content/images/episodes/pugs_tips.jpg
000028.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/06/best-food-for-pug-puppies-header.jpg
000029.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/pug-700x700.jpg
000030.jpg,https://vetstreet-brightspot.s3.amazonaws.com/42/c5/d38729f543e4a3c592e90e8fbb48/pug-ap-kwdhxs-335.jpg
000031.jpg,https://i.etsystatic.com/6071694/r/il/567ffb/736350076/il_794xN.736350076_jx1l.jpg
000032.jpg,https://cdn.omlet.co.uk/images/cache/565/768/Dog-Pug-A_beautiful_adult_bitch_Pug_awaiting_a_command_from_her_owner.jpg
000033.jpg,http://www.petplan.com.au/blog/wp-content/uploads/2018/02/pug.jpg
000034.jpg,https://66.media.tumblr.com/ffdca360e6780952ceb1ad5368e55fa6/tumblr_inline_pnr6kvo7MB1shl8uw_1280.png
000035.jpg,https://www.pets4homes.co.uk/images/breeds/13/large/3918021b2f92bd036598a095fb7e45de.jpg
000036.jpg,https://cdn.newsapi.com.au/image/v1/3d396e132101578ff62c7c0c58db7cff
000037.jpg,https://www.rover.com/blog/wp-content/uploads/2018/12/pugface-960x540.jpg
000038.jpg,https://images-na.ssl-images-amazon.com/images/I/71amZ54JSXL.jpg
000039.jpg,https://previews.123rf.com/images/captaintim/captaintim1711/captaintim171100014/89018585-small-pug-dog-with-a-sad-face.jpg
000040.jpg,https://www.calendars.com/img/p/orig/202000006226.jpg
000041.jpg,https://cdn.pixabay.com/photo/2016/02/19/11/53/pug-1210025_960_720.jpg
000042.jpg,https://www.newdoggy.com/wp-content/uploads/2019/07/aiden-male-pug-puppy-for-sale02-600x600.jpg
000043.jpg,https://www.claires.com/dw/image/v2/BBTK_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7ed9b1c3/images/hi-res/11094_1.jpg?sw=734&sh=734&sm=fit
000044.jpg,https://www.dhresource.com/0x0s/f2-albu-g7-M01-8F-FD-rBVaSVqveuWANwByAAB0EoGWkWA686.jpg/french-bulldog-clothes-winter-pug-clothing.jpg
000045.jpg,https://imgix.ranker.com/user_node_img/50026/1000504467/original/baby-with-his-toy-photo-u1?w=650&q=50&fm=pjpg&fit=crop&crop=faces
000046.jpg,http://need2knowbooks.co.uk/wp-content/uploads/2019/02/pugs.jpg
000047.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Fawn_pug_2.5year-old.JPG
000048.jpg,https://www.newdoggy.com/wp-content/uploads/2019/07/abe-male-pug-puppy-for-sale03-600x600.jpg
000049.jpg,https://cdn.britannica.com/s:300x300/69/8169-004-40D63963.jpg
000050.jpg,https://cdn.vox-cdn.com/thumbor/t-wvjlOVfHUNXoiIqx6fmMZj_SY=/0x0:1920x1280/1200x800/filters:focal(807x487:1113x793)/cdn.vox-cdn.com/uploads/chorus_image/image/54978559/old_man_2090377_1920.0.jpg
