image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/puli-detail.jpg?bust=1535566406&width=355
000002.jpg,https://i.ytimg.com/vi/AeZxzvz9q5c/hqdefault.jpg
000003.jpg,https://cdn1-www.dogtime.com/assets/uploads/gallery/puli-dog-breed-pictures/mulit-1.jpg
000004.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/08/puli-long.jpg
000005.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/08/puli-tall.jpg
000006.jpg,https://www.pets4homes.co.uk/images/articles/2345/large/how-a-puli-puppys-corded-coat-develops-and-grows-5c472a3d10cd0.jpeg
000007.jpg,https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23196_puli-460x290.jpg
000008.jpg,https://vetstreet.brightspotcdn.com/dims4/default/d9ce14d/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F5d%2F0add00a8a811e0a0d50050568d634f%2Ffile%2Fpuli-1-645mk070411.jpg
000009.jpg,https://doglime.com/wp-content/uploads/2019/04/Puli.jpg
000010.jpg,https://usercontent1.hubstatic.com/6915968.jpg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Puli-2.jpg
000012.jpg,https://www.pets4homes.co.uk/images/breeds/95/large/b8b05c03c9a3cf9abcddc614f105ab39.jpg
000013.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225328/Puli-On-White-01.jpg
000014.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-MNOP/pulisf4.jpg
000015.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Hungarian-Puli_Mobile.jpg?h=300&la=en&w=375&hash=ED16CB6B268B2FB85291424032C93427
000016.jpg,https://www.certapet.com/wp-content/uploads/2018/12/dog-with-dreads-times-3.jpg
000017.jpg,https://dogsaholic.com/wp-content/uploads/2016/06/Puli-dog-breed.jpg
000018.jpg,https://vignette.wikia.nocookie.net/dogs-cats/images/8/88/Puli.jpg/revision/latest?cb=20120316184830
000019.jpg,https://www.europuppy.com/wp-content/uploads/puli1.jpg
000020.jpg,https://vetstreet-brightspot.s3.amazonaws.com/95/7a2eb0a7fa11e0a0d50050568d634f/file/Puli-2-645mk062811.jpg
000021.jpg,https://i.pinimg.com/originals/0d/eb/7c/0deb7cc02c8eca78bd14b427faf1d1bc.jpg
000022.jpg,https://images.wagwalkingweb.com/media/breed/puli/appearance/puli.png
000023.jpg,https://www.petbarn.com.au/petspot/app/uploads/2016/08/88.-Puli.jpg
000024.jpg,https://cdn.images.express.co.uk/img/dynamic/128/590x/Dog-mop-564889.jpg
000025.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12221153/Puli-Illo-2.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Ziggy_the_Puli_%28cropped%29.jpg/270px-Ziggy_the_Puli_%28cropped%29.jpg
000027.jpg,https://images-ra.adoptapet.com/seo/1/ff/1189_ff.jpg
000028.jpg,https://www.dogbreedinfo.com/images27/PuliHungarianPurebredDogGroomedCordsNaopleon8YearsOld3.jpg
000029.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/puli_01_lg.jpg
000030.jpg,https://www.pets4homes.co.uk/images/articles/4806/large/telling-the-difference-between-the-komondor-and-the-hungarian-puli-dog-breeds-5b162624709ea.jpg
000031.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_herding_puli_181119.jpg
000032.jpg,https://i.ytimg.com/vi/W8hsXAZ0zmk/hqdefault.jpg
000033.jpg,https://riverdalepress.com/uploads/original/20181212-135919-GS-Puli-1.jpg
000034.jpg,https://thumbs.dreamstime.com/z/face-black-puli-dog-thick-curls-puppy-78749873.jpg
000035.jpg,https://i1.wp.com/welovebudapest.com/en/wp-content/uploads/sites/2/2015/01/74cb128fdb932694970e8c586941c023.png?resize=1920%2C1080&ssl=1
000036.jpg,https://www.selectadogbreed.com/media/1790/puli_adult.jpg
000037.jpg,https://twistedsifter.files.wordpress.com/2016/07/not-sure-if-dog-or-mop-hungarian-puli-mark-zuckerberg-dog.jpg
000038.jpg,https://www.vetiq.com/wp-content/uploads/iStock-494570284-1.jpg
000039.jpg,https://www.petsworld.in/blog/wp-content/uploads/2015/07/white-puli-dog-photo.jpg
000040.jpg,https://i.barkpost.com/wp-content/uploads/2016/05/beast-photo-feat.jpg?q=70&fit=crop&crop=entropy&w=808&h=500
000041.jpg,http://mymodernmet.com/wp/wp-content/uploads/2017/10/dog-halloween-costume-mop-2.jpg
000042.jpg,https://prestigepuli.com/wp-content/uploads/2018/06/Gem-Shadow-Box-3-300x236.png
000043.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Puli_kan.jpg
000044.jpg,https://www.k9rl.com/wp-content/uploads/2016/08/Puli-dog-breed-image-825x510.jpg
000045.jpg,https://dogell.com/uploads/photos/puli/big_hungarian-black-puli-dog-show-167.jpg
000046.jpg,https://dailynewshungary.com/wp-content/uploads/2018/12/K%C3%A9pkiv%C3%A1g%C3%A1s.png
000047.jpg,https://www.omlet.co.uk/images/originals/puli-chiens-mon-puli--d2ee3384_e2076041.jpg
000048.jpg,https://www.selectadogbreed.com/media/1792/puli_puppy.jpg
000049.jpg,https://i.pinimg.com/originals/85/1e/07/851e079916c7f1c81612d636a349cc34.jpg
000050.jpg,https://images.fineartamerica.com/images-medium-large-5/puli-dog-dr-management.jpg
