image,source
000001.jpg,http://cdn.akc.org/content/hero/pumi_bod_header_.jpg
000002.jpg,http://cdn.akc.org/content/article-body-image/purmi-1.jpg
000003.jpg,https://vetstreet.brightspotcdn.com/dims4/default/7472345/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F19%2F67%2Fef8f687b456e9c027cc97f33e528%2Fpumi-ap-n8rfv5-645.jpg
000004.jpg,https://vetstreet.brightspotcdn.com/dims4/default/3b18074/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F09%2F30%2F10ab8a7143f4a2a999f277424202%2Fpumi-ap-0trgh8-645.jpg
000005.jpg,https://i.pinimg.com/originals/33/97/5d/33975dc47883efc88ef7ec3ad8bee588.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12215821/Pumi-Illo-2.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225316/Pumi-Care-500x750.jpg
000008.jpg,https://www.petguide.com/wp-content/uploads/2013/06/pumi.jpg
000009.jpg,https://www.dogbreedplus.com/dog_breeds/images/Pumi-Dog.jpg
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225252/Pumi-On-White-01.jpg
000011.jpg,https://www.dogbreedinfo.com/images22/PumiBoriKacsorSzepeBori.jpg
000012.jpg,https://www.simplemost.com/wp-content/uploads/2016/06/532.png
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/6/67/Pumi_2.jpg
000014.jpg,http://s13322.pcdn.co/wp-content/uploads/2014/03/The-Pumi.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Pumi-Dog.jpg
000016.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Pumi-3.jpg
000017.jpg,https://www.pets4homes.co.uk/images/breeds/403/large/6901e902e43da1ec9ee12ff5f46e7e4d.jpg
000018.jpg,https://us.virbac.com/files/live/sites/virbac-usa/files/predefined-files/image/blog/pumi.jpg
000019.jpg,http://www.dogzone.com/images/breeds/pumi-dog.jpg
000020.jpg,https://www.dogster.com/wp-content/uploads/2017/11/Pumi-600x400.jpg
000021.jpg,https://www.petmd.com/sites/default/files/petmd-pumi-breed.jpg
000022.jpg,https://barkpost.com/wp-content/uploads/2016/06/pumi-3.jpg
000023.jpg,http://cdn.akc.org/content/hero/pumi8.jpg
000024.jpg,https://i.pinimg.com/236x/8e/df/90/8edf9051554f7b58476f950724d4876a--pumi-dog-hungarian-dog.jpg
000025.jpg,https://i.pinimg.com/originals/a1/5e/40/a15e40aeaf9a31c837bc5efe88e9cb8e.jpg
000026.jpg,https://vetstreet-brightspot.s3.amazonaws.com/27/ec/2a1cc3e747c2b3474626ccb7a22c/pumi-ap-0e8dmv-645.jpg
000027.jpg,https://www.kiss917.com/wp-content/uploads/sites/4/2016/06/pumi_kulhava3.jpg
000028.jpg,https://www.pets4homes.co.uk/images/breeds/403/large/91025d24bf2b17ec38a2f032c7599b21.jpg
000029.jpg,https://i.pinimg.com/originals/01/f5/14/01f514c27efc83178ded436842d94550.jpg
000030.jpg,https://i.ytimg.com/vi/wulhgv_nmQg/maxresdefault.jpg
000031.jpg,https://www.sheknows.com/wp-content/uploads/2018/08/sav3ixvqlopmovnirawz.png
000032.jpg,https://i.pinimg.com/236x/17/82/dc/1782dc1efbde6947fc6ff687bdaa3f6c--pumi-dog-hungarian-dog.jpg
000033.jpg,http://cdn.akc.org/content/article-body-image/group_of_pumik.jpg
000034.jpg,https://cdn.omlet.co.uk/images/cache/616/768/Dog-Hungarian_Pumi-A_Hungarian__Pumi_with_a_big_fluffy_coat.jpg
000035.jpg,https://mediad.publicbroadcasting.net/p/shared/npr/styles/x_large/nprshared/201805/483128173.jpg
000036.jpg,https://i.ytimg.com/vi/A_4f9wJ2DcM/maxresdefault.jpg
000037.jpg,http://cdn.akc.org/content/article-body-image/pumi_running_.jpg
000038.jpg,http://www.boneandyarn.com/wp-content/uploads/2016/10/FB-Aurora-Lovison-5.jpg
000039.jpg,https://cdn.newsapi.com.au/image/v1/16a39cb976bf331d84b35fc7d8afaf90?width=1024
000040.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/12/Pumi-Puppy.jpg
000041.jpg,https://www.holidays4dogs.co.uk/wp-content/uploads/2017/07/Pumi.jpg
000042.jpg,https://img.dog-learn.com/dog-breeds/pumi/pumi-i2-sz6.jpg
000043.jpg,https://i.ytimg.com/vi/_5BV3eADg1g/hqdefault.jpg
000044.jpg,https://doggiedesigner.com/wp-content/uploads/2018/05/117.2.jpg
000045.jpg,https://www.europuppy.com/wp-content/uploads/shutterstock_254710540.jpg
000046.jpg,https://canadiandogs.com/wp-content/uploads/Pumi.jpg
000047.jpg,https://mediad.publicbroadcasting.net/p/shared/npr/styles/x_large/nprshared/201805/483126813.jpg
000048.jpg,https://cdn.omlet.co.uk/images/cache/679/768/Dog-Hungarian_Pumi-A_Hungarian__Pumi_with_fluffy_ears_waiting_for_a_command.jpg
000049.jpg,http://cdn.akc.org/content/hero/pumi10.jpg
000050.jpg,https://dog-supplements.com/wp-content/uploads/2017/09/Pumi-Dog-Breed-F.jpg
