image,source
000001.jpg,http://www.dogzone.com/images/breeds/pungsan-dog.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/4/47/Poongsandogs.JPG
000003.jpg,https://cdn.japantimes.2xx.jp/wp-content/uploads/2018/09/f-koreadog-a-20181001-870x653.jpg
000004.jpg,https://i.ytimg.com/vi/jjagYOFWtN8/hqdefault.jpg
000005.jpg,https://images.wagwalkingweb.com/media/breed/pungsan/hero/Pungsan1.jpg
000006.jpg,http://www.easypetmd.com/sites/default/files/Pungsan.jpg
000007.jpg,https://vignette.wikia.nocookie.net/dog-breed4080/images/8/83/Pungsan-Dog-1-1030x772.jpg/revision/latest?cb=20170904203830
000008.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Pictures-of-Pungsan-Dog.jpg
000009.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Images-of-Pungsan-Dog.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Pungsan-Dog-Images.jpg
000011.jpg,https://www.straitstimes.com/sites/default/files/styles/article_pictrure_780x520_/public/articles/2018/09/30/yq-c2-30092018.jpg?itok=LqjVlxAq&timestamp=1538304910
000012.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2018/08/9250135.jpg
000013.jpg,https://i.pinimg.com/originals/83/5d/06/835d060580c0e10c8811b837a1079390.jpg
000014.jpg,https://i.ytimg.com/vi/Jo4_V4-jE8U/hqdefault.jpg
000015.jpg,https://i.pinimg.com/originals/db/f5/83/dbf5834f9e785c25ebd82a03fff8aa5b.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Korean-Phungsan.jpg
000017.jpg,https://exploredprk.com/wp-content/uploads/2016/09/2015-06-23-1.jpg
000018.jpg,https://matookerepublic.com/wp-content/uploads/DoazlVdWkAAxYMZ.jpg
000019.jpg,https://i.pinimg.com/originals/66/0e/93/660e93b31786836c805677e5ea80dbee.jpg
000020.jpg,https://www.dogbreedinfo.com/images24/PungsanDogKoreanPoongsanKingPuppy5MonthsOld2.jpg
000021.jpg,http://res.heraldm.com/content/image/2018/09/30/20180930000245_0.jpg
000022.jpg,https://www.dogbreedinfo.com/images24/PungsanDogKoreanPoongsanKingWith60poundMixedBreedDog8Months.jpg
000023.jpg,https://s3-us-west-2.amazonaws.com/usedphotosna/74086735_614.jpg
000024.jpg,http://www.yooshinkennels.com/uploads/1/2/8/3/12834465/8247550.jpg?308
000025.jpg,https://www.dogbreedinfo.com/images24/PungsanDogKoreanPoongsanKingPuppy13WeeksOldwith60PoundMixedBreedDog1.jpg
000026.jpg,http://dogbreedstandards.com/wp-content/uploads/2013/04/Pungsan.jpg
000027.jpg,https://ichef.bbci.co.uk/news/660/cpsprodpb/D582/production/_104485645_southkoreadogs.png
000028.jpg,https://cdnph.upi.com/svc/sv/i/3791542008293/2018/1/15420084106751/North-Korean-Pungsan-dog-gives-birth-to-puppies-in-Seoul.jpg
000029.jpg,https://dogsofsf.com/wp-content/uploads/2017/08/IMG_1463-600x603.jpg
000030.jpg,https://i.pinimg.com/originals/2a/ef/64/2aef646c7e543bfe1d15c01b3a1e161e.jpg
000031.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Pungsan-Dog.jpg
000032.jpg,https://www.petpaw.com.au/wp-content/uploads/2014/10/Pungsan-Dog-2-1030x772.jpg
000033.jpg,https://banner2.kisspng.com/20180602/hlq/kisspng-pungsan-dog-canadian-eskimo-dog-canaan-dog-korean-cut-dog-5b13075873aee8.5014404915279737204739.jpg
000034.jpg,https://i.ytimg.com/vi/HZE_p9cQSks/maxresdefault.jpg
000035.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/12/Pungsan-Dog-Pictures.jpg
000036.jpg,https://dogbreeds10.com/wp-content/uploads/2019/01/Korean-Poongsan.jpg
000037.jpg,https://live.staticflickr.com/7308/14128467703_9a0e107fe2_b.jpg
000038.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/10/Pungsan-Dog-vs-Jindo.jpg
000039.jpg,https://dogbreeds10.com/wp-content/uploads/2019/01/White-Pungsan-Dog.jpg
000040.jpg,https://www.dogbreedinfo.com/images24/PungsanDogKoreanPoongsanKingPuppy6WeeksOld1.jpg
000041.jpg,https://media.mercola.com/ImageServer/Public/2018/August/FB/native-dogs-russia-china-korea-1-fb.jpg
000042.jpg,http://img.koreatimes.co.kr/upload/newsV2/images/201811/cb7f83e5dd414352af2fb68d92f3563f.jpg/dims/resize/980/optimize
000043.jpg,https://i.pinimg.com/originals/94/12/9b/94129b5025557433c1c5f53c20a315ad.jpg
000044.jpg,http://www.yooshinkennels.com/uploads/1/2/8/3/12834465/9507349_orig.jpg
000045.jpg,http://koreabizwire.com/wp/wp-content/uploads/2018/01/%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%83%E1%85%A9%E1%86%BA%E1%84%80%E1%85%A2-%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%92%E1%85%A1%E1%86%B8.png
000046.jpg,https://dogbreeds10.com/wp-content/uploads/2019/01/Poongsan-Dog.jpg
000047.jpg,https://i.ytimg.com/vi/rWrC2UpY2CM/hqdefault.jpg
000048.jpg,http://www.dogwallpapers.net/wallpapers/running-pungsan-dog-wallpaper.jpg
000049.jpg,https://banner2.kisspng.com/20180430/eke/kisspng-dog-breed-samoyed-dog-pungsan-dog-kishu-greenland-5ae751d8e26a41.9249407815251092089274.jpg
000050.jpg,http://farm8.staticflickr.com/7001/6838563707_e12862257e_z.jpg
