image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Rafeiro_male.jpg
000002.jpg,https://i0.wp.com/omeuanimal.com/wp-content/uploads/2018/03/Rafeiro-do-Alentejo.jpg?fit=610%2C457&ssl=1
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194226/Rafeiro-do-Alentejo-on-White-01.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194145/Rafeiro-do-Alentejo-MP-1.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12190300/Rafeiro-do-Alentejo-Care-500x750.jpg
000006.jpg,https://i1.wp.com/omeuanimal.com/wp-content/uploads/2018/02/rafeiro-do-alentejo-1.png?resize=696%2C346&ssl=1
000007.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[346].jpg
000008.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[347].jpg
000009.jpg,https://images.vidaativa.pt/articles/84897-rafeiro-do-alentejo-02_1526919356.jpg
000010.jpg,http://lupusalimentos.com.br/system/wp-content/uploads/2010/05/rafeiro_do_alentejo.jpg
000011.jpg,https://static.wixstatic.com/media/c4bfd1_ab54b939ceb043c3a44dcf69104a6c6b~mv2.jpg/v1/fill/w_630,h_504,al_c,q_80,usm_0.66_1.00_0.01/c4bfd1_ab54b939ceb043c3a44dcf69104a6c6b~mv2.jpg
000012.jpg,https://www.caonosso.pt/uploads/racas_galeria/image[344].jpg
000013.jpg,http://www.saudeanimal.com.br/wp-content/uploads/2016/10/rafeiro_puppy.jpg
000014.jpg,http://poochinfo.com/wp-content/uploads/2019/06/Rafeiro-do-Alentejo-puppies.jpg
000015.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/06/Pictures-of-Rafeiro-do-Alentejo.jpg
000016.jpg,https://i1.wp.com/omeuanimal.com/wp-content/uploads/2016/05/ca%CC%83o-rafeiro-do-alentejo-1.png?resize=300%2C231&ssl=1
000017.jpg,https://i.ytimg.com/vi/nl2xOB8G1A0/hqdefault.jpg
000018.jpg,https://regiao-sul.pt/wp-content/uploads/2018/08/rafeiro-alentejo.jpg
000019.jpg,https://www.worldlifeexpectancy.com/images/a/d/d/b/rafeiro_do_alentejo/rafeiro_do_alentejo_1.jpg
000020.jpg,https://apollo-ireland.akamaized.net/v1/files/75rj0igl7jex1-PT/image;s=644x461
000021.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Rafeiro-do-Alentejo-3.jpg
000022.jpg,https://animalsbreeds.com/wp-content/uploads/2016/01/Rafeiro-do-Alentejo-3.jpg
000023.jpg,http://cabaredogoucha.pt/wp-content/uploads/2016/09/poejo1-1024x683.jpg
000024.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Rafeiro-do-Alentejo-2.jpg
000025.jpg,http://www.bib.ge/dogs/big/23443.jpg
000026.jpg,https://dgicdplf3pvka.cloudfront.net/images/dogbreeds/1100361.jpg
000027.jpg,https://www.doglink.pt/sites/default/files/styles/style_600x450/public/ra-leao_600_450.jpg?itok=2JZN-WDT
000028.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Rafeiro-do-Alentejo-1.jpg
000029.jpg,https://i.ytimg.com/vi/RjYHnYcPwKI/hqdefault.jpg
000030.jpg,https://www.doglink.pt/sites/default/files/styles/crop_600x450_anuncio/public/banze_0.jpg?itok=zsSIyCoD
000031.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194154/Rafeiro-do-Alentejo-History-01-500x500.jpg
000032.jpg,http://www.acra.org.pt/1/images/280_0_4819157_162284.jpg
000033.jpg,https://animalsbreeds.com/wp-content/uploads/2016/01/Rafeiro-do-Alentejo-2.jpg
000034.jpg,http://revistacaesecia.sapo.pt/wp-content/uploads/2018/07/36554252_1867014863357444_921772291790995456_n.jpg
000035.jpg,https://images.wagwalkingweb.com/media/breed/rafeiro-do-alentejo/hero/Rafeiro-Do-Alentejo.jpg
000036.jpg,http://www.bib.ge/dogs/big/23444.jpg
000037.jpg,http://www.dogwallpapers.net/wallpapers/cute-rafeiro-do-alentejo-photo.jpg
000038.jpg,https://i1.wp.com/www.vortexmag.net/wp-content/uploads/2015/11/rafeiroalentejano-1.jpg?fit=1024%2C737&ssl=1
