image,source
000001.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225148/Rat-Terrier-On-White-01.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225204/Rat-Terrier-History-03.jpg
000003.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23226_rat-terrier-dog-breed.jpg
000004.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/rat-terrier-dog-breed-pictures/face-2.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225151/Rat-Terrier-MP-e1515002227862.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12210721/Rat-Terrier-Care-500x750.jpg
000007.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/rat-terrier-detail.jpg?bust=1535566429&width=355
000008.jpg,https://img.dog-learn.com/dog-breeds/rat-terrier/rat-terrier-i6-sz14.jpg
000009.jpg,https://www.dogmal.com/wp-content/uploads/2018/07/Rat-Terrier-dog-reviews.jpg
000010.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Rat-Terrier-2.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/AmRatTerr2_wb.jpg/220px-AmRatTerr2_wb.jpg
000012.jpg,https://www.rover.com/blog/wp-content/uploads/2018/10/rat-terrier-893355_1920-960x540.jpg
000013.jpg,https://kbimages1-a.akamaihd.net/70cedd45-b8ab-43b7-9abe-0a90dc03b159/1200/1200/False/rat-terrier-1.jpg
000014.jpg,https://www.petguide.com/wp-content/uploads/2013/05/rat-terrier1.jpg
000015.jpg,https://gfp-2a3tnpzj.stackpathdns.com/wp-content/uploads/2016/11/Rat-Terrier-e1534277644819.jpg
000016.jpg,https://dogsbestlife.com/wp-content/uploads/2012/01/rat-terrier.jpg
000017.jpg,https://moderndogmagazine.com/sites/default/files/images/uploads/RatTerrier2_front_0.jpg
000018.jpg,https://vetstreet-brightspot.s3.amazonaws.com/57/dcd050a3fc11e087a80050568d634f/file/rat-terrier-4-062411.jpg
000019.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12221101/Rat-Terrier-Illo-2.jpg
000020.jpg,https://i.pinimg.com/originals/e5/f0/47/e5f047325f84467b41bbafd836659913.jpg
000021.jpg,http://www.newrattitude.org/images/adopt.jpg
000022.jpg,https://ckcusa.com/media/144641/rat-terrier.jpg?preset=ckcBreedImage375
000023.jpg,http://www.dogspotters.com/dog-breed-photos/rat_terr.jpg
000024.jpg,https://d2l6t8rnjafg4n.cloudfront.net/u/248474/4d8dc85038472216c1239d44c3a599f7c1c1ac35/original/rtca-picwebsite.jpg/!!/b%3AW1sic2NhbGUiLDEyOV0sWyJleHRyYWN0Iix7ImxlZnQiOjQsInRvcCI6MSwid2lkdGgiOjQ0MSwiaGVpZ2h0IjozNjB9XV0%3D.jpg
000025.jpg,https://da1pg8jrtiaij.cloudfront.net/pet_prints/Rat-Terrier-Wall-Calendar-Pet-Prints-MegaCalendars-9781785803604-Front.jpg
000026.jpg,https://s3.amazonaws.com/filestore.rescuegroups.org/1023/pictures/animals/9292/9292813/30420436_500x574.jpg
000027.jpg,https://i.pinimg.com/originals/da/ce/59/dace59e3d8b33066cb1562965e6c1160.jpg
000028.jpg,https://www.pedigree.com/images/default-source/breed-images/large4a2a078ea3f66930bcd1ff00004ce6f7.jpg?sfvrsn=18dc6e49_0
000029.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-RS/ratterriersf3.jpg
000030.jpg,https://www.101dogbreeds.com/wp-content/uploads/2014/09/Rat-Terrier-Dog.jpg
000031.jpg,https://www.dogster.com/wp-content/uploads/2016/06/rat_terrier.png
000032.jpg,https://www.petlandsarasota.com/wp-content/uploads/2017/04/rat-terrier-300x300.jpg
000033.jpg,https://images-na.ssl-images-amazon.com/images/I/41WBP3WEQ8L._SX425_.jpg
000034.jpg,https://dogs.pedigreeonline.com/images/breeds/dogs/rat-terrier.jpg
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Rat_terrier.jpg/200px-Rat_terrier.jpg
000036.jpg,https://images-na.ssl-images-amazon.com/images/I/51Io0x7BVjL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_PIAmznPrime%2CBottomLeft%2C0%2C-5_PIStarRatingTHREEANDHALF%2CBottomLeft%2C360%2C-6_SR600%2C315_ZA(9%20Reviews)%2C445%2C291%2C400%2C400%2Carial%2C12%2C4%2C0%2C0%2C5_SCLZZZZZZZ_.jpg
000037.jpg,https://images.wagwalkingweb.com/media/breed/rat-terrier/appearance/rat-terrier.png
000038.jpg,http://clearbrookratterriers.homestead.com/publishImages/RatTerrier~~element332.jpg
000039.jpg,https://www.petinsurancequotes.com/app/uploads/2018/10/rat-terrier-pet-insurance.jpg
000040.jpg,https://vetstreet.brightspotcdn.com/dims4/default/fb636c3/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F74%2F4c2bf0a3fc11e087a80050568d634f%2Ffile%2Frat-terrier-5-062411.jpg
000041.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Blue_rat_terrier_lounging.jpg/220px-Blue_rat_terrier_lounging.jpg
000042.jpg,https://kbimages1-a.akamaihd.net/3a3f78d4-661c-452e-96eb-a8bb69cebac6/1200/1200/False/rat-terriers-for-beginners.jpg
000043.jpg,https://cdn.pixabay.com/photo/2016/08/10/22/06/dog-1584383_960_720.jpg
000044.jpg,https://render.fineartamerica.com/images/rendered/default/metal-print/6.250/8.000/break/images/artworkimages/medium/2/rat-terrier-chihuahua-dog-sticking-evan-kafka.jpg
000045.jpg,https://images-na.ssl-images-amazon.com/images/I/51aO3IKKRcL._SX425_.jpg
000046.jpg,https://giftworksplus.com/pub/media/catalog/product/cache/e80c72afb2b6f2de3406fde28ed5da10/d/b/dba0121-miniature-rat-terrier.jpg
000047.jpg,https://i0.wp.com/scng-dash.digitalfirstmedia.com/wp-content/uploads/2019/03/OCR-L-ADOPTFLACA-0303.jpeg?fit=620%2C9999px&ssl=1
000048.jpg,http://3.bp.blogspot.com/-idCqZUTj_xc/UKprMllnH9I/AAAAAAAAAoE/TMwF0jak7Bo/s1600/Rat-Terrier.jpg
000049.jpg,https://sep.yimg.com/ca/I/animalden_2581_373219768.jpg
000050.jpg,http://gemsrats.com/Stormxxrtwb.jpg
