image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Bodeguero_young.jpg/220px-Bodeguero_young.jpg
000002.jpg,http://www.dogzone.com/images/breeds/ratoner-bodeguero-andaluz.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Ratonero_andaluz.jpg/300px-Ratonero_andaluz.jpg
000004.jpg,https://misanimales.com/wp-content/uploads/2015/04/Bodeguero-1-1.jpg
000005.jpg,https://www.trofeocaza.com/wp-content/uploads/2016/06/perros-razas-ratonero-bodeguero-andaluz-01.jpg
000006.jpg,http://wikifaunia.com/wp-content/uploads/2016/05/bodegueroandaluz1-300x292.jpg
000007.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Ratonero_bodeguero_andaluz_en_carrera.jpg
000008.jpg,https://soyunperro.com/wp-content/uploads/2017/06/BB01.jpg
000009.jpg,https://t1.uc.ltmcdn.com/images/0/8/7/img_43780_apa_279161_600.jpg
000010.jpg,http://www.mundoanimalia.com/images/ejemplares/54/ea/41/93819e80e5e3693840fa1f2c327b51b5/010120171764__7412.jpg
000011.jpg,https://i.pinimg.com/236x/84/7e/3f/847e3f5fec14f83ffdb5755cee303d72--rat-terriers-spanish.jpg
000012.jpg,https://i3.wp.com/www.mascotarios.org/wp-content/gallery/ratonerobodegueroandaluz/ratonerobodegueroandaluz0.jpg
000013.jpg,https://img.milanuncios.com/fg/2451/59/245159089_8.jpg?VersionId=GfxuUvb3a9rdGoPH7lOcrhA0.y8TN0uQ
000014.jpg,http://static.pedigreedatabase.com/dogbreeds/bodeguero_andaluz.jpg
000015.jpg,http://4.bp.blogspot.com/-UOOwks7YbpQ/Vgl7jiintsI/AAAAAAAABAE/gtmoimZnPgg/s1600/ratonero-bodeguero-andaluz.jpg
000016.jpg,https://piensosloboazul.com/wp-content/uploads/2018/07/Perro-Ratonero-Bodeguero-Andaluz.jpg
000017.jpg,https://elmira.es/wp-content/uploads/2017/11/ratonero-bodeguero.jpg
000018.jpg,https://www.mascotarios.org/wp-content/uploads/2011/06/RatoneroBodegueroAndaluz.jpg
000019.jpg,https://perrosdetrabajo.files.wordpress.com/2017/03/17523371_1477325632341149_6850449469695498521_n.jpg
000020.jpg,http://perrosmedianos.com/wp-content/uploads/2017/03/perro-2.jpg
000021.jpg,https://soyunperro.com/wp-content/uploads/2019/06/cachorros.jpg
000022.jpg,https://c8.alamy.com/comp/KKE9AE/terrier-rat-rat-terrier-ratonero-bodeguero-andaluz-KKE9AE.jpg
000023.jpg,https://hogarmania.global.ssl.fastly.net/hogarmania/images/images01/2013/06/17/5bf58a1723430100010f4865/1239x697.jpg
000024.jpg,http://www.dogwallpapers.net/wallpapers/cute-ratonero-bodeguero-andaluz-wallpaper.jpg
000025.jpg,https://www.bodegueroandaluz.net/wp-content/uploads/2018/04/bodeguero-ratonero-andaluz.jpg
000026.jpg,http://www.ayuntamientodegines.es/images/imagenes/cartel-para2018-bodeguero-andaluz.jpg
000027.jpg,https://soyunperro.com/wp-content/uploads/2022/06/Bodeguero02.jpg
000028.jpg,https://perros.paradais-sphynx.com/wp-content/uploads/2017/01/bodeguero-ratonero-andaluz.jpg
000029.jpg,https://previews.123rf.com/images/antarts/antarts1605/antarts160500144/57953737-vector-illustrated-portrait-of-ratonero-bodeguero-andaluz-dog-cute-face-of-domestic-dog-on-blue-back.jpg
000030.jpg,https://img.bekiamascotas.com/articulos/portada/37000/37867-h3.jpg
000031.jpg,https://www.petdarling.com/articulos/wp-content/uploads/2017/12/Ratonero-bodeguero-andaluz.jpg
000032.jpg,https://previews.123rf.com/images/antarts/antarts1605/antarts160500143/57953736-illustrated-portrait-of-ratonero-bodeguero-andaluz-dog-cute-face-of-domestic-dog-on-blue-background-.jpg
000033.jpg,https://image.jimcdn.com/app/cms/image/transf/none/path/scc4975d26ee1665c/image/if5e1745e203c2e80/version/1391491717/image.png
000034.jpg,https://piensosloboazul.com/wp-content/uploads/2018/07/cachorro-ratonero-bodeguero-andaluz.jpg
000035.jpg,https://c8.alamy.com/comp/ERWYJ8/ratonero-bodeguero-andaluz-ERWYJ8.jpg
000036.jpg,https://www.dogbreedinfo.com/images30/PerroRatoneroAndaluzRatoneroBodegueroAndaluzRareBreed%20Foster8YearsOld1.jpg
000037.jpg,https://www.perrosamigos.com/Uploads/perrosamigos.com/ImagenesGrandes/ratonero-bodeguero-andaluz-8-1.jpg
000038.jpg,https://img.milanuncios.com/fg/1536/73/153673304_6.jpg?VersionId=hIe7sw.Pn8zXaVGh5uR96Xhud1Cdu5lP
000039.jpg,https://www.mascotasyperros.com/wp-content/uploads/2015/11/perro-ratonero-bodeguero-andaluz.jpg
000040.jpg,https://get.pxhere.com/photo/grass-puppy-dog-pet-small-mammal-outdoors-pulp-vertebrate-dog-breed-terrier-parson-russell-terrier-havko-jack-russell-terrier-dog-like-mammal-carnivoran-russell-terrier-danish-swedish-farmdog-small-terrier-toy-fox-terrier-brazilian-terrier-miniature-fox-terrier-ratonero-bodeguero-andaluz-smooth-fox-terrier-fox-terrier-488311.jpg
000041.jpg,https://c8.alamy.com/comp/XD09T5/ratonero-bodeguero-andaluz-two-adult-dogs-playing-in-the-sand-spain-XD09T5.jpg
000042.jpg,http://www.ciudadrodrigo.net/wp-content/uploads/2017/03/Manuel-Martinez-con-su-perra-de-raza-Ratonero-bodeguero-andaluz-1-660x375.jpg
000043.jpg,https://www.dogzone.com/images/breeds/ratoner-bodeguero-andaluz-800.jpg
000044.jpg,http://4.bp.blogspot.com/-vlr5BCxHu50/TqpzY63x8AI/AAAAAAAABLY/lM0JxgjuKG0/s1600/H%25C3%25B8st+Sjasmin+2.JPG
000045.jpg,https://www.club-caza.com/articulos/images/986_01.jpg
000046.jpg,https://piensosloboazul.com/wp-content/uploads/2018/07/raza-Ratonero-bodeguero-andaluz.jpg
000047.jpg,http://vamosdecabeza.com/wp-content/uploads/2017/03/bodeguero_ratonero_andaluz-e1490975215729-810x620.jpg
000048.jpg,https://www.club-caza.com/articulos/images/986_04.jpg
000049.jpg,https://www.iperu.org/wp-content/uploads/2015/12/perro-ratonero-bodeguero-andaluz.jpg
000050.jpg,https://www.dogalize.com/wp-content/uploads/2017/03/perro2.jpg
