image,source
000001.jpg,https://i.ytimg.com/vi/pY-RwcStEx0/hqdefault.jpg
000002.jpg,https://i.pinimg.com/originals/ce/be/e4/cebee4b18e242868753acbc7e4fad75a.jpg
000003.jpg,https://i.pinimg.com/originals/7c/6c/48/7c6c48a71acfbae6939a07d9828cbb4f.jpg
000004.jpg,http://ach.ro/site/images/corb/corb.jpg
000005.jpg,https://i.ytimg.com/vi/PaANjhheYa8/hqdefault.jpg
000006.jpg,https://i.pinimg.com/236x/0d/70/13/0d701365d0f041db39e4d36079f196a8--big-dogs-cute-dogs.jpg
000007.jpg,http://s6004.pcdn.co/wp-content/uploads/2018/10/agnHXm5.png
000008.jpg,http://www.dogbreedstandards.com/wp-content/uploads/2015/01/Romanian-Raven-Shepherd.jpg
000009.jpg,https://animalsfocus.com/wp-content/uploads/2018/12/CiobanescCorb16-678x381.jpg
000010.jpg,https://thumbs.dreamstime.com/z/raven-shepherd-dog-one-four-breeds-shepherds-romanian-52106709.jpg
000011.jpg,https://s1.dmcdn.net/q5kwQ/x1080-Eft.jpg
000012.jpg,http://media.infodogs.co.uk/photos/dogs/corb-shepherd_213.jpg
000013.jpg,https://i.pinimg.com/236x/ef/1f/ef/ef1fef24fa850f54e9155a1d96ba308c--argent-shelter-dogs.jpg
000014.jpg,http://ach.ro/site/images/corb-3.jpg
000015.jpg,https://i.imgur.com/4ro2BIJl.png
000016.jpg,https://i.pinimg.com/originals/96/cd/84/96cd840e30b5dcc55354221c8361a0b7.jpg
000017.jpg,https://alchetron.com/cdn/romanian-raven-shepherd-dog-a9041b42-d0e8-433d-b2f4-9995020dcbc-resize-750.jpeg
000018.jpg,https://i.ytimg.com/vi/_Rh32fLMNlg/hqdefault.jpg
000019.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Carpatin.jpg
000020.jpg,https://t4.ftcdn.net/jpg/02/62/96/71/240_F_262967130_ZDxZfT6Z2U3jrzZDPkIvihoM1HoejNe8.jpg
000021.jpg,https://i.imgur.com/fIlnmg1.jpg
000022.jpg,https://i.pinimg.com/originals/d3/48/f3/d348f3ad36143bca59fad11d20859f0f.jpg
000023.jpg,https://i.imgur.com/Tyh2Un1.jpg
000024.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/19cb5894-0b29-4653-abc7-2e7884cb5c73/da9jkri-dc0bc1e0-7b00-41ec-b9b4-534689395d52.png/v1/fill/w_1173,h_681,strp/romanian_raven_shepherd_imports___open_by_forgottenamnesty_da9jkri-pre.png?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9OTI5IiwicGF0aCI6IlwvZlwvMTljYjU4OTQtMGIyOS00NjUzLWFiYzctMmU3ODg0Y2I1YzczXC9kYTlqa3JpLWRjMGJjMWUwLTdiMDAtNDFlYy1iOWI0LTUzNDY4OTM5NWQ1Mi5wbmciLCJ3aWR0aCI6Ijw9MTYwMCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.iOF6GHXuvd01ka9P3OYegkgTMC6o9TW5tmJXAjPqRXU
000025.jpg,https://adelebrandblog.files.wordpress.com/2018/01/snapshot_5.png?w=1100
000026.jpg,https://images-na.ssl-images-amazon.com/images/I/51QaXeDEwfL._UX385_.jpg
000027.jpg,https://i.ytimg.com/vi/91wLa2tXbaM/hqdefault.jpg
000028.jpg,https://2puppies.com/api/media/cache/resolve/froala_photo/41c8061dd0b4e9608a19270fe5f9634ee71dfaf6.png
000029.jpg,https://d1k5w7mbrh6vq5.cloudfront.net/images/cache/bf/b3/3b/bfb33b4df416b5f5e982a5923c7f3055.jpg
000030.jpg,http://s6004.pcdn.co/wp-content/uploads/2019/06/Bobby2-244x244.jpeg
000031.jpg,http://ach.ro/site/images/carpatin-home.jpg
000032.jpg,https://images-na.ssl-images-amazon.com/images/I/51o35N-qj1L._SX425_.jpg
000033.jpg,http://philamirror.info/wp-content/uploads/2019/02/romania-dogs-stamps.jpg
000034.jpg,https://thumbs.dreamstime.com/z/romanian-shepherd-dog-carpathian-sunlight-73721330.jpg
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Mioritic.jpg/220px-Mioritic.jpg
000036.jpg,https://ih0.redbubble.net/image.558661761.4850/scarfflat%2C210x230-pad%2C210x230%2Cf8f8f8.lite-1.jpg
000037.jpg,https://2puppies.com/api/media/cache/resolve/froala_photo/e9f8870a38740466c4595bfd9d5e41d53ed74fef.png
000038.jpg,https://ih0.redbubble.net/image.558661697.4850/mug%2Cstandard%2C210x230%2Ccenter-pad%2C210x230%2Cf8f8f8.lite-1.jpg
000039.jpg,https://godsmountain.files.wordpress.com/2014/08/dsc05143.jpg?w=225
000040.jpg,https://s-media-cache-ak0.pinimg.com/736x/34/35/2a/34352a053b39b47ea980e7705beb9622.jpg
000041.jpg,http://media.infodogs.co.uk/photos/dogs/appenzell-mountain-dog_48.jpg
000042.jpg,https://2puppies.com/api/media/cache/article_photo/5c4d08547e04f701642922.jpg
000043.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/54323063-d28d-440f-9b86-fecff7afe315/d8cmpgp-85efa982-5a5c-4580-b868-2619725bec38.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzU0MzIzMDYzLWQyOGQtNDQwZi05Yjg2LWZlY2ZmN2FmZTMxNVwvZDhjbXBncC04NWVmYTk4Mi01YTVjLTQ1ODAtYjg2OC0yNjE5NzI1YmVjMzguanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.g409cpcR4zw8gZj4KP1qckyLfeto7NxMYctU_KBeTJM
000044.jpg,http://i.imgur.com/IW7ZcVI.jpg
000045.jpg,https://st4.depositphotos.com/1033409/26282/v/450/depositphotos_262829696-stock-illustration-top-dog-breeds-hunting-shepherd.jpg
000046.jpg,https://s1.dmcdn.net/LGDoF/x1080-KSV.jpg
000047.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Owczarek_kraski_654.jpg/320px-Owczarek_kraski_654.jpg
000048.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Akbash_Dog_male_2016.jpg/320px-Akbash_Dog_male_2016.jpg
000049.jpg,https://d2gg9evh47fn9z.cloudfront.net/800px_COLOURBOX31572310.jpg
000050.jpg,https://images-na.ssl-images-amazon.com/images/I/51oUDlJFBAL._SX466_.jpg
