image,source
000001.jpg,https://gdb.rferl.org/CB22D164-59CD-4701-8AA7-38AF136CFF40_w1080_h608.png
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Map_of_federal_subjects_of_Russia_%282014%29.svg/590px-Map_of_federal_subjects_of_Russia_%282014%29.svg.png
000003.jpg,https://ichef.bbci.co.uk/images/ic/720x405/p06s6wvh.jpg
000004.jpg,https://www.history.com/.image/ar_16:9%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cg_faces:center%2Cq_auto:good%2Cw_768/MTYyNzYyODMyNTM2OTM4MDcy/topic-russia-gettyimages-605536834-feature.jpg
000005.jpg,https://study-eu.s3.amazonaws.com/uploads/image/path/169/wide_fullhd_Red_square_Moscow_cityscape__8309148721_.jpg
000006.jpg,http://euromaidanpress.com/wp-content/uploads/2018/08/Belarus-Ukraine-Russia-1.png
000007.jpg,https://www.topdeck.travel/sites/default/files/styles/hero_image_mobile/public/2018-10/HERO%201440x710-Europe-Russia.jpg?itok=aZnMW6Vq
000008.jpg,https://cdn.britannica.com/42/3842-004-C238EDD3.jpg
000009.jpg,https://www.worldatlas.com/r/w728-h425-c728x425/upload/1f/b7/ae/shutterstock-210580762.jpg
000010.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/1_Saint_Basils_Cathedral.jpg/220px-1_Saint_Basils_Cathedral.jpg
000011.jpg,http://smartraveller.gov.au/Maps/Russia.png
000012.jpg,https://cdn.britannica.com/s:500x350,q:1/43/3843-004-3F38AB8C.jpg
000013.jpg,https://www.evergreentours.com.au/-/media/emerald/global/river-cruising/russia/destinations/ew-russia-moscow12.jpg?mw=1024&hash=EE9279CD6F0AF7DB4E87A973825E01ECC539AC9A
000014.jpg,https://www.vikingrivercruises.com/images/cc_Moscow_StBasils_OnionDomes_AlamyRM_478x345_tcm21-9381.jpg?w=359&h=259
000015.jpg,https://cdni.rbth.com/rbthmedia/images/2019.04/article/5cbd7a5985600a62bb242f10.jpg
000016.jpg,https://images.livemint.com/img/2019/07/15/600x338/4f07c4be-a716-11e9-b16d-bd945e55a214_1563215892562_1563216020817.jpg
000017.jpg,https://stmedia.stimg.co/1563030110_10002462+4russia071419.jpg?auto=compress&crop=faces&dpr=2.63&ixjsv=2.2.3&q=38&w=420
000018.jpg,https://mk0pagerolwgibgwnjg6.kinstacdn.com/wp-content/uploads/Russia-increases-VAT-rates.jpg
000019.jpg,https://cdn.images.express.co.uk/img/dynamic/78/590x/secondary/Russia-Power-plant-fire-1957351.jpg?r=1562889436240
000020.jpg,https://dynaimage.cdn.cnn.com/cnn/q_auto,w_412,c_fill,g_auto,h_232,ar_16:9/http%3A%2F%2Fcdn.cnn.com%2Fcnnnext%2Fdam%2Fassets%2F190709143855-china-russia-satellite-restricted.jpg
000021.jpg,https://www.euractiv.com/wp-content/uploads/sites/2/2019/07/Funeral-Russian-sailors-800x450.jpg
000022.jpg,https://monitor.icef.com/wp-content/uploads/2018/07/report-russia-preparing-for-new-recruitment-drive-in-western-markets.png
000023.jpg,https://www.thenational.ae/image/policy:1.884359:1562679996/Wo-10-JUL-chemical-blue-lagoon-in-Russia-1.jpg?f=16x9&w=1200&$p$f$w=6b4a0c2
000024.jpg,https://www.akdmc.com/media/2822/russia.jpg
000025.jpg,https://cdn.scenicglobal.com/webfile/IRRC-Russia.jpg?width=1024
000026.jpg,https://missioneurasia.org/wp-content/uploads/2018/02/Russia_Moscow.jpg
000027.jpg,https://timedotcom.files.wordpress.com/2019/07/moscow-elections-opposition-candidates.jpg
000028.jpg,https://images.firstpost.com/wp-content/uploads/2019/07/NSF-2019-07-13-13-36-58-548.jpg
000029.jpg,https://geology.com/world/russia-map.gif
000030.jpg,https://www.railfreight.com/wp-content/uploads/2019/07/Map-Russia-480x274.png
000031.jpg,https://www.latimes.com/resizer/pOF9vGOFi2P_RaG6pGCXhI6EK7s=/800x0/www.trbimg.com/img-5d2a3cc8/turbine/la-1563049157-dx1mmwfwrd-snap-image
000032.jpg,https://ichef.bbci.co.uk/news/1024/branded_news/66E4/production/_106604362_dba99163-99bb-43bc-963a-61c836c36fdd.gif
000033.jpg,https://cdni.rbth.com/rbthmedia/images/2019.07/original/5d25f46715e9f908f06daa1b.jpg
000034.jpg,https://www.nationsonline.org/maps/Map-of-European-Russia.jpg
000035.jpg,https://media.pri.org/s3fs-public/styles/story_main/public/images/2019/06/2019-06-04-russia02-01-4-lede.jpg?itok=wypYpXHJ
000036.jpg,https://cdn.britannica.com/s:500x350,q:1/41/183741-004-90627610.jpg
000037.jpg,https://media.boingboing.net/wp-content/uploads/2018/09/moscow_red_square_to_russia_historically_capital_architecture_east-491866.jpgd_.jpeg
000038.jpg,https://www.aljazeera.com/mritems/Images/2019/7/2/b304ba5e98984da79b4ff88f5b518c65_18.jpg
000039.jpg,https://i0.wp.com/media.globalnews.ca/videostatic/711/415/Russian_rocket_848x480_1570561091544.jpg?w=372&quality=70&strip=all
000040.jpg,https://media.voltron.voanews.com/Drupal/01live-166/styles/sourced/s3/2019-07/RTS2LSP4.jpg%20Russia%20Putin%2011JUL19.jpg?itok=wfJoLn5u
000041.jpg,https://images.axios.com/6oXrbYUgo2qLe_2SatRdtQMgLs8=/0x438:4256x2832/1920x1080/2018/11/27/1543277170615.jpg
000042.jpg,https://www.ciee.org/sites/default/files/content/program/main-image/st-p-berg-russia-area-studies.jpg
000043.jpg,https://img.jakpost.net/c/2018/07/02/2018_07_02_48615_1530521363._large.jpg
000044.jpg,https://lonelyplanetwp.imgix.net/2018/12/Tula-kremlin-Russia-db3e637d2439.jpg?crop=entropy&fit=crop&h=421&sharp=10&vib=20&w=748
000045.jpg,http://d39raawggeifpx.cloudfront.net/styles/16_9_desktop/s3/articleimages/0719_Russia_RE__One_Tower_in_msocow_city,_tallest_building_in_Europe__Cropped.jpg
000046.jpg,http://annamap.com/russia/russia-map.jpg
000047.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Map_of_federal_subjects_of_Russia_%282014%29_with_numbered_oblasts.png/360px-Map_of_federal_subjects_of_Russia_%282014%29_with_numbered_oblasts.png
000048.jpg,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=85209&type=Press&width=920&height=588&stretch=uniformtofill
000049.jpg,https://cdn.theculturetrip.com/wp-content/uploads/2019/04/eur_russia_moscow.jpg
000050.jpg,https://aleteiaen.files.wordpress.com/2019/03/web3-russia-jesus-statue-plans-vyatsky-center.jpg?quality=100&strip=all&w=620&h=310&crop=1
