image,source
000001.jpg,http://bonabell.ru/images/cms/data/st_sh.jpg
000002.jpg,http://bonabell.ru/images/cms/data/golov.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B0_%D0%A0%D0%BE%D1%81%D1%81_%D0%94%D0%BE%D0%BD_%D0%9F%D0%B5%D0%B4%D1%80%D0%BE%28%D1%81%D1%82%D0%BE%D0%B9%D0%BA%D0%B0%29.jpg
000004.jpg,https://i.pinimg.com/originals/5d/7d/84/5d7d84b0518b5a78db38b10886916c48.jpg
000005.jpg,https://www.russiansalondog.com/wp-content/uploads/2018/01/Russian-Salon-Dog-Standard.jpg
000006.jpg,http://bonabell.ru/images/cms/data/0-511_dlja_saita.jpg
000007.jpg,https://pbs.twimg.com/media/CkrF5T3WsAAFlPu.jpg
000008.jpg,https://media.gettyimages.com/photos/russian-salon-dogs-at-the-russia-2018-international-dog-show-at-the-picture-id1056776370
000009.jpg,https://www.russiansalondog.com/wp-content/uploads/2018/01/Russian-Salon-Dog-6.jpg
000010.jpg,http://www.salondog.narod.ru/0-550.jpg
000011.jpg,http://eng.sobaka.lv/img/K1301/Small/213-0428-1102-K-Salo.jpg
000012.jpg,https://www.biewerworld.com/wp-content/uploads/2018/09/RSD-11.jpg
000013.jpg,https://www.russiansalondog.com/wp-content/uploads/2018/02/Russian-Salon-Dog-Banner-3-1024x401.jpg
000014.jpg,https://i.pinimg.com/originals/a5/84/de/a584dea7df90f2ced9afe529162fb659.jpg
000015.jpg,https://st3.depositphotos.com/11124126/18004/v/600/depositphotos_180047924-stock-video-two-women-washed-the-big.jpg
000016.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03115758/Russian-Toy.8.jpg
000017.jpg,https://c8.alamy.com/comp/KTNYWG/st-petersburg-russia-december-28-2017-a-russian-toy-terrier-dog-deen-KTNYWG.jpg
000018.jpg,http://eng.sobaka.lv/img/K1001/Small/210-0311-2581-K-Salo.jpg
000019.jpg,https://media.gettyimages.com/photos/spitzdogs-haircut-in-the-groom-room-dog-beauty-salon-sergei-picture-id509005798
000020.jpg,https://thumbs.dreamstime.com/z/two-women-washed-big-black-russian-shepherd-dog-bathroom-beauty-salon-animals-pour-shampoo-two-women-washed-107612373.jpg
000021.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03115902/Russian-Toy-puppy.jpg
000022.jpg,https://media.istockphoto.com/vectors/icon-for-dog-hair-salon-dog-beauty-salon-pet-grooming-salon-vector-vector-id669101678
000023.jpg,https://i.ebayimg.com/thumbs/images/g/ByAAAOSwCuBcY~iY/s-l225.jpg
000024.jpg,https://p.motionelements.com/stock-video/animals/me11123050-dog-pet-grooming-salon-russia-4k-a0033.jpg
000025.jpg,http://sputnikimages.com/images/0000/5457/57/000054575708_RIAN-ID-3212444.jpg
000026.jpg,https://p.motionelements.com/stock-video/animals/me11123051-dog-pet-grooming-salon-russia-4k-a0121.jpg
000027.jpg,http://thehairofthedog.org/images/logo2.png
000028.jpg,https://c8.alamy.com/comp/RC4XAA/morning-still-life-museum-state-russian-museum-st-petersburg-author-petrov-vodkin-kuzma-sergeyevich-RC4XAA.jpg
000029.jpg,https://st3.depositphotos.com/11124126/18006/v/600/depositphotos_180062994-stock-video-close-up-of-a-groomers.jpg
000030.jpg,http://eng.sobaka.lv/img/K1301/Small/213-0428-1104-K-Salo_213-0428-1099.jpg
000031.jpg,https://d2v9y0dukr6mq2.cloudfront.net/video/thumbnail/HS7E74B4giwvxdpsa/videoblocks-haircut-in-the-grooming-salon-west-highland-white-terrier-dog-grooming-and-trimming-of-the-coat_hharu7a3x_thumbnail-full01.png
000032.jpg,https://i2.wp.com/lovezoomies.com/wp-content/uploads/2018/03/Value-liberty-1.png
000033.jpg,http://theupscaletail.com/wp-content/uploads/2014/09/Bruno-Black-Russian-Terrier-breed-approp.-patternshapely.had-522-of-undercoat-laden-hair.jpg
000034.jpg,https://data1.ibtimes.co.in/cache-img-0-450/en/full/537290/1411118853_green-dragon-cat-bumblebee-dog-pets-different-looks-russia.jpg
000035.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Owczarek_kaukaski_65.jpg
000036.jpg,https://www.russiansalondog.com/wp-content/uploads/photo-gallery/imported_from_media_libray//Russian-Salon-Dog-8607.jpg
000037.jpg,https://ssl.c.photoshelter.com/img-get/I0000V5TVmu1eCmU/s/900/russia-moscow-winter-dogs-RU110592.jpg
000038.jpg,https://media.istockphoto.com/photos/dog-in-pet-grooming-salon-picture-id913721630
000039.jpg,https://pbs.twimg.com/profile_images/435402070649102337/ae0xf2c7_400x400.jpeg
000040.jpg,https://ssmscdn.yp.ca/image/resize/5b757790-06cc-4acc-a329-025207b01f81/ypui-d-mp-pic-tb/salon-de-toilettage-tommy-2.jpg
000041.jpg,https://www.russiandog.net/wp-content/uploads/2018/11/caucasian-shepherd-attack-1200x796.jpg
000042.jpg,http://es.happybowwow.org/12_-_25d1_2581_25d0_25b0_25d0_25bb_25d0_25be_25d0_25bd_25d0_25bd_25d0_25b0_25d1_258f-_25d1_2581_25d0_25_04d1d5b792.jpg
000043.jpg,https://avatars.mds.yandex.net/get-zen_doc/1898210/pub_5d0b5cbb4b447200af835732_5d0b79c9c7705100af91d8a7/scale_600
000044.jpg,http://www.littlemonsterscy.com/documents/get_cropped/11023/846/368/0
000045.jpg,https://cdn1.i-scmp.com/sites/default/files/styles/og_image_scmp_live/public/images/methode/2018/06/25/15367962-785d-11e8-8ce4-b59b2fedb43f_image_hires_221409.jpg?itok=UQwgFYGD&v=1529936064
000046.jpg,https://ssl.c.photoshelter.com/img-get/I0000lKJyWngDwWY/s/900/russia-moscow-winter-dogs-RU110616.jpg
