image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Russian_Yellow_Retriever_from_1915.jpg
000002.jpg,https://retrieverman.files.wordpress.com/2010/05/russianretrievers.jpg
000003.jpg,https://retrieverman.files.wordpress.com/2010/05/st-huberts-peter.jpg
000004.jpg,http://www.dogbreedstandards.com/wp-content/uploads/2013/04/Russian-Tracker.jpeg
000005.jpg,https://www.animalssale.com/uploads/breed/breeds-2/russiantracker.jpg
000006.jpg,https://thehydrant.files.wordpress.com/2014/09/06.jpg
000007.jpg,https://retrieverman.files.wordpress.com/2013/05/038.jpg
000008.jpg,https://i.ytimg.com/vi/o1kdCiYXXKE/hqdefault.jpg
000009.jpg,https://66.media.tumblr.com/4b5fad465526641ed4b9f99ee0335181/tumblr_inline_o4jo04nzro1qzful2_1280.jpg
000010.jpg,https://img.buzzfeed.com/buzzfeed-static/static/2018-07/25/15/asset/buzzfeed-prod-web-06/sub-buzz-29988-1532546321-1.jpg?crop=1500%3A1062%3B0%2C0&downsize=400:*&output-format=auto&output-quality=auto
000011.jpg,https://retrieverman.files.wordpress.com/2010/05/masons-flat-coat.jpg
000012.jpg,https://i.pinimg.com/474x/7e/9f/08/7e9f081e0412a20c2db7c892f1a816e4.jpg
000013.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ru/russian-russian-borzoi-dog-breed.jpg
000014.jpg,http://www.europetnet.org/images/dogbreeds/extinct.jpg
000015.jpg,https://pics.me.me/thumb_dogs-of-the-dog-native-to-russia-russian-tracker-the-35409957.png
000016.jpg,https://images-na.ssl-images-amazon.com/images/I/51H9YWS%2BiXL._SX425_.jpg
000017.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Russian-Tracker-dog-size.jpg
000018.jpg,https://cdni.rbth.com/rbthmedia/images/web/en-rbth/images/2015-05/top/shutterstock_3456921_top.jpg
000019.jpg,https://images-na.ssl-images-amazon.com/images/I/51VyHyxYPhL._SX425_.jpg
000020.jpg,http://barbiesbabygoldens.com/images/dscf9874_380x333.jpg
000021.jpg,https://rukminim1.flixcart.com/image/832/832/jj4ln680/book/4/4/1/russian-toy-terrier-tricks-training-russian-toy-terrier-tricks-original-imaf6rdyn7dexvuc.jpeg?q=70
000022.jpg,https://uploads.knightlab.com/storymapjs/6a72fd72afa6642d436b398b26cea425/russian-nordic-baltic-provocations-2016-2018/_images/Banner%20clipped%202.png
000023.jpg,https://nationalpurebreddogday.com/wp-content/uploads/2017/09/1-stick-with-me-pat-saunders-white--400x400.jpg
000024.jpg,https://www.doglib.com/wp-content/uploads/sites/2/ru/russian-borzoi-russian-wolfhound-puppies-breed.jpg
000025.jpg,https://prodimage.images-bn.com/pimages/9781722182731_p0_v1_s550x406.jpg
000026.jpg,https://i5.walmartimages.com/asr/a26e2353-04d4-4514-bc28-da4709aaca36_1.b0cf449bb1a92d276b88975f226f1365.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000027.jpg,https://www.yourprops.com/movieprops/default/yp4fa8eb3abbf6d4.09082468/Indiana-Jones-And-The-Kingdom-Of-The-Crystal-Skull-Russian-Tracker-Beacon-1.jpg
000028.jpg,https://www.mccaininstitute.org/wp-content/uploads/2016/10/image-resizer.jpg
000029.jpg,https://sc02.alicdn.com/kf/HTB1wCabRXXXXXaRapXXq6xXFXXXd/Realtime-positioning-and-tracking-gps-tracker-tl007.jpg_350x350.jpg
000030.jpg,https://pics.me.me/dogs-of-the-dog-native-to-russia-russian-tracker-the-35409957.png
000031.jpg,https://rukminim1.flixcart.com/image/832/832/jj4ln680/book/5/0/7/russian-toy-terrier-tricks-training-russian-toy-terrier-tricks-original-imaf6r8rhcxcfyct.jpeg?q=70
000032.jpg,https://www.americansecurityproject.org/wp-content/uploads/2017/02/RAF-Typhoon-Intercept-TU-95-29-Jan-2015.jpg
000033.jpg,https://www.sciencemag.org/sites/default/files/styles/article_main_large/public/images/SI%20tracking.jpg?itok=Cy_81sx1
000034.jpg,https://eu.greekreporter.com/files/russian-viewers.jpg
000035.jpg,https://images-na.ssl-images-amazon.com/images/I/51AlaNbQyjL._SX450_.jpg
000036.jpg,http://www.techort.com/wp-content/uploads/2018/11/uncertified-gps-tracker-from-china-is-it-legal-in-russia-habrahabr.jpeg
000037.jpg,https://i5.walmartimages.com/asr/eb1545ea-26de-41c8-b42f-6bed0b1acbd6_1.825cd58e428c0cb5c62e94e92aef5387.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000038.jpg,https://ke.jumia.is/kb8WgXzLSU3-JAaMJrWFa7qVqgo=/fit-in/500x500/filters:fill(white):sharpen(1,0,false):quality(100)/product/12/274261/1.jpg?4131
000039.jpg,https://www.americansecurityproject.org/wp-content/uploads/2017/01/New-Legend.jpg
000040.jpg,https://cdn-images-1.medium.com/max/2400/1*p1x4_w0HifCzcGuubF4qoQ.jpeg
000041.jpg,https://c1.neweggimages.com/NeweggImage/ProductImage/AGXK_1_201808081359456529.jpg
000042.jpg,https://ichef.bbci.co.uk/images/ic/640x360/p034rg89.jpg
000043.jpg,https://citizenlab.ca/wp-content/uploads/2018/01/fir-tracker-2.png
000044.jpg,https://d3fa68hw0m2vcc.cloudfront.net/4eb/195196560.jpeg
000045.jpg,https://www.btcnn.com/wp-content/uploads/2018/06/bitcoin-atm-4-696x316.jpeg
000046.jpg,https://ae01.alicdn.com/kf/HTB1a9FtdBgXBuNjt_hNq6yEiFXab/FREE-RUSSIAN-SHIP-Original-Car-Vehicle-Motorcycle-GSM-GPS-Tracker-Locator-GT06N-Real-Time-Tracking-Alarm.jpg_640x640.jpg
000047.jpg,http://rapsinews.com/images/26533/90/265339049.jpg
000048.jpg,https://www.technologyforyou.org/wp-content/uploads/2019/03/piratebay.jpg
