image,source
000001.jpg,https://i.pinimg.com/originals/f6/e6/60/f6e660af3524db31d4cef17a362c3391.jpg
000002.jpg,https://images.wagwalkingweb.com/media/breed/%7Bslug%7D/hero/1533890605.21/Saint-Usuge-Spaniel.jpg
000003.jpg,http://www.clemencey.com/images/epagneul.jpg
000004.jpg,http://www.clemencey.com/images/Vaipper4.jpg
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/2/27/EpagneuldeSaintUsuge.jpg
000006.jpg,http://www.clemencey.com/images/Maia.jpg
000007.jpg,https://www.doglib.com/wp-content/uploads/sites/2/sa/saint-usuge-breed-of-week-picardy-spaniel.jpg
000008.jpg,https://www.doglib.com/wp-content/uploads/sites/2/sa/saint-usuge-welsh-springer-spaniel-puppies-id-breed.jpg
000009.jpg,https://upload.dogzer.net/image_global/4-443-dog-saint-usuge-spaniel/_light-292631-epagneul-de-saint-usuge.jpg
000010.jpg,https://i.pinimg.com/originals/c5/21/fb/c521fb6a74fad2cf4694dcfd202c6bf5.jpg
000011.jpg,http://4.bp.blogspot.com/-pte56wE-CGI/TdFblMOpwRI/AAAAAAAAAZ8/7Gk8vguuSk8/s1600/Saint+Usuge-242.jpg
000012.jpg,https://alchetron.com/cdn/saint-usuge-spaniel-2699d554-c930-419c-9208-5497d8ac207-resize-750.jpeg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Saint_Usuge_Spaniel.jpg
000014.jpg,https://upload-2.dogzer.net/image_global/4-443-dog-saint-usuge-spaniel/_light-292630-epagneul-de-saint-usuge.jpg
000015.jpg,http://www.clemencey.com/images/Vaipper3.jpg
000016.jpg,https://www.kimballstock.com/pix/PUP/04/PUP_04_KH0005_01_P.JPG
000017.jpg,https://pointingspaniels.files.wordpress.com/2012/11/67234_1608380005005_4776564_n.jpg
000018.jpg,https://i.pinimg.com/originals/2f/4e/c6/2f4ec63b543a28f4328be4ce2e5e1416.jpg
000019.jpg,https://www.kimballstock.com/pix/DOG/09/DOG-09-JE0001-01P.JPG
000020.jpg,http://2.bp.blogspot.com/-Uz_RRycNgeQ/TdFcqGTeAHI/AAAAAAAAAes/OZymUZIt58Q/s1600/Ponto-031018-1225.jpg
000021.jpg,https://i.pinimg.com/originals/8f/0d/91/8f0d91ac6b37bbe1060e4dd000c9e8b3.jpg
000022.jpg,http://www.animal-photography.com/AP-0YP1EO-LR-wm.jpg
000023.jpg,https://upload-2.dogzer.us/image_global/4-443-dog-saint-usuge-spaniel/_light-292629-epagneul-de-saint-usuge.jpg
000024.jpg,https://images.wagwalkingweb.com/media/activity_guides/hero/1530689396.82/Saint-Usuge-Spaniel.jpg
000025.jpg,http://www.animal-photography.com/AP-1K41WX-LR-wm.jpg
000026.jpg,https://pointingspaniels.files.wordpress.com/2012/11/59999_1588933718860_4856601_n-1.jpg
000027.jpg,https://bigdogbreeds.info/wp-content/uploads/2018/10/Saint-Usuge-Spaniel-dog-food.jpg
000028.jpg,https://i.ytimg.com/vi/wqTQJBipEdo/hqdefault.jpg
000029.jpg,https://images-na.ssl-images-amazon.com/images/I/51o-bDRNgUL._SX342_.jpg
000030.jpg,https://images-na.ssl-images-amazon.com/images/I/51qHew7xDdL._SX466_.jpg
000031.jpg,http://www.europetnet.org/images/dummy-dog.jpg
000032.jpg,https://images-na.ssl-images-amazon.com/images/I/6139vGNy5hL._UX679_.jpg
000033.jpg,http://hotsigns.net/thumbnail.asp?file=assets/images/saint%20usuge%20spaniel.png&maxx=300&maxy=0
000034.jpg,http://royaldoggie.com/wp-content/uploads/2014/09/saint-usuge-spaniel-dog-face-photo1.jpg
000035.jpg,https://images.prod.meredith.com/product/014d45838dc0cab73f3d83361e39dac9/1501824477541/l/saint-usuge-spaniel-dog-themed-etched-all-purpose-16oz-libbey-can-glass
000036.jpg,https://www.puppieshk.com/images/anuncios/020220161454457507_1.jpg
000037.jpg,https://www.animalssale.com/uploads/breed/breeds-2/saintusugespaniel.jpg
000038.jpg,https://pixfeeds.com/images/dogs/1280-481366344-english-cocker-spaniel-in-the-garden.jpg
000039.jpg,https://images-na.ssl-images-amazon.com/images/I/71HKniWqG2L.SS400.jpg
000040.jpg,https://scontent-msp1-1.cdninstagram.com/vp/3ca37d55ce1e6f240eaa27e37dd92661/5D9212C5/t51.2885-19/s320x320/21910748_1729335520705771_4335173657383927808_n.jpg?_nc_ht=scontent-msp1-1.cdninstagram.com
000041.jpg,https://i.ytimg.com/vi/cqVrOSCSpsQ/maxresdefault.jpg
000042.jpg,https://i.ebayimg.com/images/g/ZSkAAOSw57xabr8K/s-l300.png
000043.jpg,https://www.kimballstock.com/pix/PUP/11/PUP_11_KH0003_01_P.JPG
000044.jpg,http://royaldoggie.com/wp-content/uploads/2014/09/epagneul-de-saint-usuge1.jpg
000045.jpg,https://images-na.ssl-images-amazon.com/images/I/61LorG5GpHL._SY355_.jpg
000046.jpg,https://i5.walmartimages.com/asr/9314fa59-39b5-4796-9a96-445bf8dcc84a_1.1886e125d62cf15d5e2150f14fcb79cf.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
000047.jpg,http://www.sabinemiddelhaufeshundundnatur.net/immagini/hunderassen/usuge/Image_6web.jpg
000048.jpg,https://i.pinimg.com/originals/c2/90/d4/c290d4906f58f24e028dbd58b4f59634.jpg
000049.jpg,http://i.ytimg.com/vi/4xrp2pb8_zg/0.jpg
000050.jpg,https://pointingspaniels.files.wordpress.com/2012/11/asdfdsa.jpg?w=760
