image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Sakhalin_Husky_Jiro.JPG
000002.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/05/Karafuto-Ken.jpg
000003.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/05/Sakhalin-Husky.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/05/Sakhalin-Husky-Images.jpg
000005.jpg,https://banner2.kisspng.com/20180421/xee/kisspng-siberian-husky-sakhalin-husky-seppala-siberian-sle-siberian-husky-5adb2d23af2016.2147118115243133797173.jpg
000006.jpg,http://siberiantimes.com/upload/information_system_52/3/6/6/item_3668/information_items_3668.jpg
000007.jpg,http://blogimg.goo.ne.jp/user_image/00/be/fe03b6565cd7510ba8a6153dff72d3fa.jpg
000008.jpg,https://banner2.kisspng.com/20180330/pgq/kisspng-siberian-husky-pit-bull-alaskan-malamute-sakhalin-husky-5abef90d2ef186.8776156215224650371923.jpg
000009.jpg,http://3.bp.blogspot.com/-HHGbsGW1zP4/TbZLtAD-UMI/AAAAAAAAAQY/NIwahuDX6JA/s1600/Sakhalin%2BHusky%2BDog%2BBreed%2BPhotos%2B02.jpg
000010.jpg,https://get.pxhere.com/photo/malamute-dog-dog-like-mammal-dog-breed-sakhalin-husky-siberian-husky-dog-breed-group-alaskan-malamute-sled-dog-greenland-dog-canadian-eskimo-dog-snout-companion-dog-carnivoran-northern-inuit-dog-miniature-siberian-husky-spitz-tamaskan-dog-alaskan-klee-kai-saarloos-wolfdog-seppala-siberian-sleddog-1450975.jpg
000011.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/05/Sakhalin-Husky-Puppies.jpg
000012.jpg,http://www.dogbreedstandards.com/wp-content/uploads/2013/04/Sakhalin-Husky.jpg
000013.jpg,http://www.dogwallpapers.net/wallpapers/cute-sakhalin-husky-dog-photo.jpg
000014.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Huskiesatrest.jpg
000015.jpg,https://get.pxhere.com/photo/malamute-dog-dog-like-mammal-dog-breed-sakhalin-husky-mammal-dog-breed-group-vertebrate-siberian-husky-alaskan-malamute-tamaskan-dog-greenland-dog-miniature-siberian-husky-east-siberian-laika-alaskan-klee-kai-carnivoran-northern-inuit-dog-canadian-eskimo-dog-utonagan-snout-sled-dog-seppala-siberian-sleddog-west-siberian-laika-native-american-indian-dog-saarloos-wolfdog-companion-dog-spitz-j-mthund-icelandic-sheepdog-shikoku-akita-1450977.jpg
000016.jpg,http://siberiantimes.com/PICTURES/OTHERS/Sakhalin-laika-Karafuto/inside_in_blaze.jpg
000017.jpg,http://siberiantimes.com/PICTURES/OTHERS/Sakhalin-laika-Karafuto/inside_close.jpg
000018.jpg,https://www.doglib.com/wp-content/uploads/sites/2/sa/sakhalin-sakhalin-husky-puppies-breed.jpg
000019.jpg,http://en.happybowwow.org/12_-_25d1_2585_25d0_25b0_25d1_2581_25d0_25ba_25d0_25b8-_25d0_25ba_25d1_2580_25d0_25b0_25d1_2581_25d0_25b0_25d0_25b2_25d0_25b5_25d1_2586-e1514556984726.jpg
000020.jpg,http://www.digitaljournal.com/img/6/8/7/0/1/4/i/1/3/1/p-large/Jiro.jpg
000021.jpg,https://i.pinimg.com/originals/e2/83/5a/e2835a18d6cb80962bf8b75310da8aa5.jpg
000022.jpg,http://www.dogbreedsnow.com/dogbreed/sakhalin_husky/sakhalin_husky_3.jpg
000023.jpg,https://www.101dogbreeds.com/wp-content/uploads/2018/05/Sakhalin-Husky-Pictures.jpg
000024.jpg,https://www.doglib.com/wp-content/uploads/sites/2/sa/sakhalin-sakhalin-husky-breed.jpg
000025.jpg,https://www.ubackground.com/_ph/78/2/107906747.jpg
000026.jpg,https://c8.alamy.com/comp/T4NEB1/fox-in-snow-area-T4NEB1.jpg
000027.jpg,https://www.dogbreedsnow.com/dogbreed/sakhalin_husky/sakhalin_husky_4.jpg
000028.jpg,https://get.pxhere.com/photo/dog-angry-teeth-danger-breed-animal-white-mammal-guard-husky-siberian-winter-snow-dog-like-mammal-siberian-husky-sakhalin-husky-dog-breed-sled-dog-dog-breed-group-snout-seppala-siberian-sleddog-east-siberian-laika-alaskan-malamute-alaskan-klee-kai-canadian-eskimo-dog-miniature-siberian-husky-greenland-dog-carnivoran-northern-inuit-dog-fur-j-mthund-west-siberian-laika-lapponian-herder-1418292.jpg
000029.jpg,https://stuklopechat.com/images/dom-i-semya/sahalinskie-haski-opisanie-i-osobennosti-porodi.jpg
000030.jpg,https://live.staticflickr.com/7334/11347797734_ebc82b5212_b.jpg
000031.jpg,https://cdn.rbth.com/all/2017/03/01/Snow%20dogs/awesome_siberian_husky_in_the_mountains.jpg
000032.jpg,https://cdn.imgbin.com/8/7/19/imgbin-sakhalin-husky-akita-shikoku-dog-canaan-dog-puppy-white-dog-heLtCM93Q8Tse0cWpMbCtATM7.jpg
000033.jpg,https://as2.ftcdn.net/jpg/02/20/39/15/500_F_220391566_sb0eyH25lyOIeKjTrWiIwiNog9DXygth.jpg
000034.jpg,https://vetstreet.brightspotcdn.com/dims4/default/81a2e35/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fa9%2Ff54ad0a80611e0a0d50050568d634f%2Ffile%2FSiberian-Husky-4-645mk062811.jpg
000035.jpg,https://www.arcticrescue.org.au/sites/default/files/styles/image_and_text_bean/public/images/beans/foster_banner_02.jpg?itok=_yf7DVjV
000036.jpg,https://2.bp.blogspot.com/_wGnxzIG_DmI/S3YJhQw8n9I/AAAAAAAAB5A/Xu92xOVwvbY/s320/%E5%8D%97%E6%A5%B5%EF%BC%9A%E7%8A%AC%E3%81%9E%E3%82%8A%EF%BC%93.jpg
000037.jpg,https://i.ebayimg.com/images/g/9qsAAOSw5xpbZgrL/s-l300.jpg
000038.jpg,https://banner2.kisspng.com/20180529/wxq/kisspng-siberian-husky-sakhalin-husky-alaskan-malamute-ima-siberian-husky-5b0d4e6dcf4a66.2187593215275987018491.jpg
000039.jpg,https://www.northernwolf.co.uk/wp-content/uploads/seppala-siberian-300x245.jpg
000040.jpg,https://banner2.kisspng.com/20180212/hje/kisspng-sakhalin-husky-samoyed-dog-canadian-eskimo-dog-gre-home-snow-wolf-5a81b637405919.5114510215184502312636.jpg
000041.jpg,https://banner2.kisspng.com/20180804/tor/kisspng-miniature-siberian-husky-canadian-eskimo-dog-sakha-weimaraner-weimador-siberian-husky-puppies-for-ado-5b6666b0a865d0.9934964715334376166898.jpg
000042.jpg,https://library.kissclipart.com/20180926/wwe/kissclipart-happy-husky-gif-clipart-siberian-husky-puppy-sakha-f6a45d84e5445a36.png
000043.jpg,https://i.ytimg.com/vi/hY9o7MBiuTU/hqdefault.jpg
000044.jpg,https://i.ytimg.com/vi/-Q_5DRlgmf8/maxresdefault.jpg
000045.jpg,https://cdni.rbth.com/rbthmedia/images/all/2017/03/01/Snow%20dogs/siberian_husky_walking_on_ice_fox_grom.jpg
000046.jpg,http://www.digitaljournal.com/img/6/8/7/0/1/4/i/1/3/1/p-large/DSC03756.JPG
000047.jpg,https://cdn.imgbin.com/10/4/1/imgbin-shiba-inu-siberian-husky-dog-breed-sakhalin-husky-shikoku-dog-others-tK9N7RpkBJf74p3PsNxzPZ4n5.jpg
