image,source
000001.jpg,https://qmackie.files.wordpress.com/2019/01/screen-shot-2019-01-03-at-12.02.48-pm.png?w=500
000002.jpg,https://i.ytimg.com/vi/ivZBTFkfCvg/hqdefault.jpg
000003.jpg,https://i.pinimg.com/originals/39/f4/80/39f4801cbd506d00edf66d6899be1633.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/PaulKane_-_A_Woman_Weaving_a_Blanket_%28ROM2005_5163%29.jpg
000005.jpg,https://qmackie.files.wordpress.com/2019/01/screen-shot-2019-01-03-at-12.01.27-pm.png?w=500
000006.jpg,https://postmediavancouversun2.files.wordpress.com/2017/06/girls-with-dog-jpg.jpg?quality=65&strip=all&w=371
000007.jpg,http://static.cdnbridge.com/resources/18/160536/picture/47/85184071.jpg
000008.jpg,https://tce-live2.s3.amazonaws.com/media/new_article_images/Salish-wooly-dog.jpg
000009.jpg,https://cdn8.littlethings.com/app/uploads/2014/09/header.jpg
000010.jpg,https://postmediavancouversun2.files.wordpress.com/2017/06/dsc6648-f-jpg.jpg?quality=65&strip=all&w=371
000011.jpg,https://i.pinimg.com/originals/59/07/f4/5907f442b8443f46c48bf57bb695f36b.jpg
000012.jpg,https://alchetron.com/cdn/salish-wool-dog-8765df63-a40f-48cf-b42a-ed557ba0597-resize-750.png
000013.jpg,https://1.bp.blogspot.com/-zwdS5NMVK38/V5JugBWFv-I/AAAAAAAADGI/5juFJ7LUaJI04q8Ug37rzti8G9ZgDoQ0QCLcB/s1600/salish-wool-dog-and-tribe.jpg
000014.jpg,https://i.ytimg.com/vi/veEGS56s1cY/maxresdefault.jpg
000015.jpg,https://www.sciencemag.org/sites/default/files/styles/article_main_large/public/images/sn-dogwool.jpg?itok=E4T7bOEu
000016.jpg,https://www.rover.com/blog/wp-content/uploads/2015/04/hare-indian-dog-960x540.jpg
000017.jpg,https://vignette.wikia.nocookie.net/dinosaurs/images/4/4f/UOVYi1A4l3V-a1VF2b4Avjcthj32R8dYANk8CLnqpDU.jpg/revision/latest?cb=20170606080315
000018.jpg,http://searchvancouverisland.com/res/pub/media/images/Billy%20Yacklum%20Snuneymuxw%20First%20Nation.jpg
000019.jpg,https://cdn.guff.com/site_1/media/26000/25252/items/89f41385c0c17d891b7fbbb1.jpg
000020.jpg,https://assets.atlasobscura.com/article_images/64241/image.jpg
000021.jpg,http://searchvancouverisland.com/res/pub/media/images/bird_front.jpg
000022.jpg,https://s19256.pcdn.co/wp-content/uploads/salish2-1.jpg
000023.jpg,https://cedarhilllonghouse.ca/wp-content/uploads/2019/04/Salish-Wool-Dogs.jpg
000024.jpg,https://cdn9.littlethings.com/app/uploads/2014/09/st-john-water-dog.png
000025.jpg,https://www.fetchpetcare.com/wp-content/uploads/2015/11/Dog-Breeds-Dogo-Argentino-200x200.jpg
000026.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Kai-front.jpg/220px-Kai-front.jpg
000027.jpg,http://nancymargueriteanderson.com/wp-content/uploads/2013/11/Jan.-28-2009-042-e1385230886854.jpg
000028.jpg,http://searchvancouverisland.com/res/pub/media/images/cecil%20merritt%20prisoner%20in%20cow%20sweater.jpg
000029.jpg,https://www.nwnewsnetwork.org/sites/northwestnews/files/styles/medium/public/201211/112712DP_WoollyDogs2.jpg
000030.jpg,https://www.cheatsheet.com/wp-content/uploads/2018/06/Thylacinus.jpg
