image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23044_saluki-460x290.jpg
000002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/JIDU_WIKEMEDIA.jpg/220px-JIDU_WIKEMEDIA.jpg
000003.jpg,https://www.pets4homes.co.uk/images/breeds/65/large/11213fbc65b198b5c76b770e5942dd7b.jpg
000004.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/saluki-card-small.jpg?bust=1535567823
000005.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d1/Saluki_in_India.jpg
000006.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/saluki-dog-breed-pictures/1-3qstand.jpg
000007.jpg,https://vetstreet.brightspotcdn.com/dims4/default/c3ea8f0/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fbd%2F1f%2F207375204c4aa5417627112f7727%2Fsaluki-ap-0vamig-645-x-380.jpg
000008.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14185322/AKC-121716-139.jpg
000009.jpg,https://vetstreet-brightspot.s3.amazonaws.com/2a/2d/85dcf36d48d7858573ec676069ab/Saluki-AP-5WET3B-645sm101513.jpg
000010.jpg,https://www.k9web.com/wp-content/uploads/2019/01/saluki-dog.jpg
000011.jpg,https://vetstreet.brightspotcdn.com/dims4/default/3701901/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F38%2Facd450a7fd11e0a0d50050568d634f%2Ffile%2FSaluki-3-645mk-62811.jpg
000012.jpg,https://animals.net/wp-content/uploads/2018/10/Saluki-5-650x425.jpg
000013.jpg,https://cdn.omlet.co.uk/images/cache/1024/682/Dog-Saluki-Two_healthy_adult_Salukis_each_with_a_beautiful,_slender_physique.jpg
000014.jpg,http://www.pethealthnetwork.com/sites/default/files/styles/large/public/the-saluki136563805.png?itok=RF7QPUvR
000015.jpg,https://i.pinimg.com/originals/77/7a/69/777a69df71a0e775cae878020afd4796.jpg
000016.jpg,https://www.pets4homes.co.uk/images/articles/2677/large/saluki-dog-hereditary-health-and-average-longevity-54f97d0c5fd5f.jpg
000017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/IMGP0988_Vasilissa060423.jpg/220px-IMGP0988_Vasilissa060423.jpg
000018.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Saluki_Mobile.jpg?h=300&la=en&w=375&hash=C4BC8D2CA41CAF09429B661D854EB3B6
000019.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224808/Saluki-MP.jpg
000020.jpg,https://i2.wp.com/www.arabamerica.com/wp-content/uploads/2015/12/saluki.gif?resize=350%2C352&ssl=1
000021.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/06/Saluki-The-Beautiful-Breed-with-Lighting-Speed-HP-long.jpg
000022.jpg,https://azure.wgp-cdn.co.uk/app-yourdog/posts/saluki.jpg
000023.jpg,https://i.pinimg.com/originals/ce/2f/f1/ce2ff17d331fb192986cb23e5e899700.jpg
000024.jpg,https://animals.net/wp-content/uploads/2018/10/Saluki-2-650x425.jpg
000025.jpg,https://www.dogster.com/wp-content/uploads/2016/08/Saluki_600.jpg
000026.jpg,https://www.selectadogbreed.com/media/1800/saluki_adult.jpg
000027.jpg,https://vetstreet.brightspotcdn.com/dims4/default/4ce29cd/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fb0%2Fb77750a81811e0a0d50050568d634f%2Ffile%2FSaluki-645mk070411.jpg
000028.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08144047/Saluki.profile-400x267.jpg
000029.jpg,http://salukiclub.org/uploads/3/5/4/5/35450804/9246007_orig.jpg
000030.jpg,https://www.dogster.com/wp-content/uploads/2016/08/Saluki_225.jpg
000031.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224817/Saluki-History-02.jpg
000032.jpg,https://brit-petfood.com/file/nodes/product/saluki_perskychrt.jpg/294x294/FIT
000033.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224820/Saluki-History-01.jpg
000034.jpg,http://www.salukiclubvic.com.au/uploads/1/0/4/0/10408471/3453254_orig.png
000035.jpg,https://cdn.royalcanin-weshare-online.io/ViIgyWUBaxEApS7LJgVW/v1/bd100h-saluki-adult-in-black-and-white
000036.jpg,https://cdn.britannica.com/s:300x300/20/8120-004-4751A58A.jpg
000037.jpg,https://vetstreet-brightspot.s3.amazonaws.com/27/7a3600a7fd11e0a0d50050568d634f/file/Saluki-2-645mk-62811.jpg
000038.jpg,https://www.thenational.ae/image/policy:1.647403:1506087281/image/jpeg.jpg?f=16x9&w=1200&$p$f$w=dfa40e8
000039.jpg,https://www.petful.com/wp-content/uploads/2013/04/saluki-1-750x508.jpg
000040.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/saluki-detail.jpg?bust=1535566487&width=355
