image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/samoyed-dogs-and-puppies/samoyed-dogs-puppies-1.jpg
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/samoyed-detail.jpg?bust=1535566500&width=355
000003.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Samoyed_Mobile.jpg?h=300&la=en&w=375&hash=EE6529E6036EFD00F71DA4045ED88F0D
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224733/Samoyed-MP.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212924/Samoyed-slide-5.jpg
000006.jpg,https://vetstreet.brightspotcdn.com/dims4/default/0c9d110/2147483647/crop/0x0%2B0%2B0/resize/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F24%2Fd78ff0a80311e0a0d50050568d634f%2Ffile%2FSamoyed-2-645mk062811.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224750/Samoyed-Care.jpg
000008.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Samoyed-sweetjedysamoyeds.jpg/220px-Samoyed-sweetjedysamoyeds.jpg
000009.jpg,https://cmkt-image-prd.global.ssl.fastly.net/0.1.0/ps/2584132/910/1111/m2/fpnw/wm1/r8jkwzxzsxx4thtx6sisvpdqd3wynyniwlyio9kriwggxg4qyxkiwm9cm5uurogf-.jpg?1492969002&s=80a9a49d7b8c60af991de07a02713378
000010.jpg,https://images.wagwalkingweb.com/media/daily_wag/name_guides/samoyed-dog-names/hero/samoyed-dog-names.jpg
000011.jpg,https://images-eu.ssl-images-amazon.com/images/I/51lUiJgkkbL._SY445_QL70_.jpg
000012.jpg,https://azure.wgp-cdn.co.uk/app-yourdog/posts/samoyed.jpg
000013.jpg,https://images-na.ssl-images-amazon.com/images/I/51o6wgUUKVL._SX425_.jpg
000014.jpg,https://www.pets4homes.co.uk/images/breeds/101/large/271c1166abbbae6de503cb95214dc869.jpg
