image,source
000001.jpg,https://i.ytimg.com/vi/etiUGtIOzWk/hqdefault.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12225700/Polish-Lowland-Sheepdog-On-White-01-400x267.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224720/Schapendoes-On-White-01.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Schapendoes.jpg
000005.jpg,http://www.dogwallpapers.net/wallpapers/lovely-schapendoes-dog-wallpaper.jpg
000006.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Schapendoes-2.jpg
000007.jpg,https://vetstreet.brightspotcdn.com/dims4/default/620aa8b/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2F3a%2Fa6%2F94add057464797596c308e20d44e%2Fschapendoes-ap-4lomvz-645-x-380.jpg
000008.jpg,http://static.pedigreedatabase.com/dogbreeds/schapendoes.jpg
000009.jpg,https://animalsbreeds.com/wp-content/uploads/2016/01/Schapendoes-8.jpg
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03125310/Schapendoes-puppy.jpg
000011.jpg,http://schapendoesclub.ca/wp-content/uploads/2014/07/layered-MM-picture.jpg
000012.jpg,https://i.pinimg.com/originals/84/00/9e/84009e7f6acc88bcfad4a62a38cce6c3.jpg
000013.jpg,https://wds2018.com/wp-content/uploads/2017/05/Schapendoes.jpg
000014.jpg,https://www.hoefflaeckens-coco.nl/images/home-Van-Hoefflaeckens-Coco7.jpg
000015.jpg,http://www.dogzone.com/images/breeds/schapendoes.jpg
000016.jpg,https://images.ctfassets.net/w00x6p5qkejz/31K02uuZOgsyyC062YsUGW/72bc7e23183d1c12ae69c72d037e4e19/Schapendoes_B_W_Small_File.png
000017.jpg,https://www.pets4homes.co.uk/images/articles/1001/large/the-schapendoes-the-lovely-dutch-sheepdog-520904411a3e5.jpg
000018.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/04/Schapendoes-Pup.jpg
000019.jpg,http://bib.ge/dogs/big/23471.jpg
000020.jpg,https://s3-eu-west-1.amazonaws.com/storage.hundpoolen.com/files/e114dcac-e423-4648-a4a8-1e0a7e51ab40/366b89d1-b722-4b13-9a25-169a3f3e54953.jpg
000021.jpg,https://upload.wikimedia.org/wikipedia/commons/7/75/Nederlandse-schapendoes-01.jpg
000022.jpg,http://www.schapannro.com/images/prose/group1.jpg
000023.jpg,https://vetstreet.brightspotcdn.com/dims4/default/4e06b7c/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fe8%2Fc2%2F0b8ac71f4f82be8388ee6904c040%2Fschapendoes-ap-qnhrsw-645-x-380.jpg
000024.jpg,https://thumbs.dreamstime.com/z/schapendoes-dutch-sheepdog-tongue-hanging-vertical-portrait-beautiful-white-grey-female-out-staring-124186188.jpg
000025.jpg,http://www.schapannro.com/images/prose/working1.jpg
000026.jpg,https://www.schapendoes.nl/cms/wp-content/gallery/slideshow-voorpagina/cooper.jpg
000027.jpg,https://thumbs.dreamstime.com/z/vertical-portrait-beautiful-white-grey-female-schapendoes-dutch-sheepdog-tongue-hanging-out-staring-away-124186685.jpg
000028.jpg,https://c8.alamy.com/comp/D2522K/dog-schapendoes-dutch-sheepdog-adult-standard-profile-D2522K.jpg
000029.jpg,http://www.ghedoes.com/layout/ghettopresentation.jpg
000030.jpg,https://www.dogbreedinfo.com/images26/SchapendoesDutchSheepdogNederlandsePurebredDogMenlo10YearsOld1.jpg
000031.jpg,http://schapendoesclub.ca/wp-content/uploads/2014/08/schapendoes-dog-with-the-owner-photo-1024x811.jpg
000032.jpg,https://c8.alamy.com/comp/EF5DBK/niederlaendischer-schapendoes-sitzt-im-garten-EF5DBK.jpg
000033.jpg,https://previews.123rf.com/images/diyanski/diyanski1705/diyanski170500177/77683292-schapendoes-dutch-sheepdog.jpg
000034.jpg,https://www.licg.nl/media/1303/schapendoes740x433.jpg
000035.jpg,https://images-na.ssl-images-amazon.com/images/I/516XeDDpCZL._SX331_BO1,204,203,200_.jpg
000036.jpg,https://manoirkanisha.com/wp-content/uploads/2017/05/dog-boarding-xolo-schapendoes-rosalie-27-04-17-manoir-kanisha-1187GG-300x246.jpg
000037.jpg,https://i.pinimg.com/originals/dd/b3/31/ddb3311287ebc8dfa28a238453284269.jpg
000038.jpg,https://www.k9rl.com/wp-content/uploads/2016/05/Dutch-Sheepdog-Schapendoes.jpg
000039.jpg,https://image.jimcdn.com/app/cms/image/transf/dimension=430x10000:format=jpg/path/s5a64cffd41a10471/image/id0daa7d2fcae2c69/version/1500289060/image.jpg
000040.jpg,http://4leggers.com/wp-content/uploads/2016/11/f-Schapendoes-4LEGGERS.jpg
000041.jpg,https://previews.agefotostock.com/previewimage/medibigoff/314629791b7a415d3b55a7ed6308679d/zon-21189.jpg
000042.jpg,https://doglime.com/wp-content/uploads/2019/05/Schapendoes-playing-snow.jpg
000043.jpg,https://www.k9rl.com/wp-content/uploads/2016/05/Schapendoes-dutch-sheepdog-breed-image-825x356.jpg
000044.jpg,https://doggiedesigner.com/wp-content/uploads/2018/04/130.2.jpg
000045.jpg,https://images.wagwalkingweb.com/media/breed/schapendoes/hero/Schapendoes.jpg
000046.jpg,https://comps.canstockphoto.com/schapendoes-dutch-sheepdog-stock-photograph_csp9754599.jpg
000047.jpg,https://pbs.twimg.com/media/DpZm02cXUAA6Bem.jpg
000048.jpg,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/8d838396-2d94-41bc-87f2-799052656eb0/d33569c-bf562fdd-56c3-49c9-b92a-26ab71c845ef.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzhkODM4Mzk2LTJkOTQtNDFiYy04N2YyLTc5OTA1MjY1NmViMFwvZDMzNTY5Yy1iZjU2MmZkZC01NmMzLTQ5YzktYjkyYS0yNmFiNzFjODQ1ZWYuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.wigRw-5ioiXtNRvMZSWwHsI9vDHxDdnXNno2aSec3tA
000049.jpg,http://www.charlottaswiek.de/attachments/Image/IMG_5733-Kopie-533x800_1.jpg
000050.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/03/Dutch-Schapendoes-224x300.jpg
