image,source
000001.jpg,http://www.dogzone.com/images/breeds/scotch-collie.jpg
000002.jpg,https://i.pinimg.com/originals/9f/60/8b/9f608b06b1c5611cff0f79580ef0a5d6.jpg
000003.jpg,https://www.petguide.com/wp-content/uploads/2018/07/scotch-collie.jpg
000004.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/09/Scotch-Collie-Images.jpg
000005.jpg,https://www.dogzone.com/images/breeds/scotch-collie-800.jpg
000006.jpg,https://i.pinimg.com/originals/0f/3a/af/0f3aaf8a54fb239300edf1d90e0e7478.jpg
000007.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/09/Old-Time-Scotch-Collie.jpg
000008.jpg,https://www.scotchcollie.org/wp-content/uploads/frontpage-3.jpg
000009.jpg,https://static1.squarespace.com/static/5ae4cc1555b02c357fc9a998/t/5af44b2f0e2e728fc7df9000/1525968123813/Willow+2+wm.jpg
000010.jpg,https://www.scotchcollie.org/wp-content/uploads/slide3.jpg
000011.jpg,https://www.petpaw.com.au/wp-content/uploads/2015/05/Scotch-Collie-is-sitting.jpg
000012.jpg,https://20paws.com/wp-content/uploads/2017/04/Misha-650x452.jpg
000013.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234244/Collie-On-White-01.jpg
000014.jpg,https://www.oldtimefarmshepherd.org/wp-content/uploads/2010/05/rainier.jpg
000015.jpg,https://www.oldtimefarmshepherd.org/wp-content/uploads/2010/05/gabby.jpg
000016.jpg,https://www.dogzone.com/images/breeds/scotch-collie-puppy.jpg
000017.jpg,https://www.dogbreedinfo.com/images25/FarmCollieScotchCollieCodieRoughDog.jpg
000018.jpg,https://static1.squarespace.com/static/5ae4cc1555b02c357fc9a998/t/5c0838a1575d1f45d704f7b0/1544042671885/Newt+and+Willow+portrait+small.jpg?format=1500w
000019.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/1Dog-rough-collie-portrait.jpg/220px-1Dog-rough-collie-portrait.jpg
000020.jpg,https://i.ytimg.com/vi/YBNC98alH54/maxresdefault.jpg
000021.jpg,https://img.dog-learn.com/dog-breeds/scotch-collie/images/scotch-collie-u3.jpg
000022.jpg,https://www.bluegrassbelties.com/uploads/2/6/4/0/26407791/803908.jpg?401
000023.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/09/Scottish-Collie.jpg
000024.jpg,https://www.petguide.com/wp-content/uploads/2018/07/scotch-collie-2.jpg
000025.jpg,http://hickoryhillwv.com/wp-content/gallery/angus/AT53122.jpg
000026.jpg,https://www.scotchcollie.org/wp-content/uploads/frontpage-1.jpg
000027.jpg,https://i.pinimg.com/originals/e2/78/6c/e2786c64b024a46ee614a4e31e98e3ea.jpg
000028.jpg,http://hickoryhillwv.com/wp-content/uploads/2018/10/AT52516-2-1024x683.jpg
000029.jpg,https://www.europetnet.com/images/dogbreeds/scotchcollie.jpg
000030.jpg,https://www.dogbreedplus.com/dog_breeds/images/scotch-collie.jpg
000031.jpg,https://i.ytimg.com/vi/XdkuC37HTfo/maxresdefault.jpg
000032.jpg,https://www.bluegrassbelties.com/uploads/2/6/4/0/26407791/210467_orig.jpg
000033.jpg,https://images.wagwalkingweb.com/media/breed/collie/hero/collie.jpg
000034.jpg,https://www.101dogbreeds.com/wp-content/uploads/2016/09/Scotch-Collie.jpg
000035.jpg,https://homesteadontherangecom.files.wordpress.com/2017/05/collie3.jpg?w=300&h=214
000036.jpg,https://www.pets4homes.co.uk/images/classifieds/2018/03/08/1860442/large/very-rare-old-scotch-collie-type-pups-one-left-5af08d99af195.jpg
000037.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Rough_Scotch_Collie_2.jpg
000038.jpg,https://previews.123rf.com/images/zuzule/zuzule1401/zuzule140100099/25483589-group-of-scotch-collie-puppies-running-together-in-the-garden.jpg
000039.jpg,http://media.infodogs.co.uk/photos/dogs/scotch-collie_13.jpg
000040.jpg,https://thumbs.dreamstime.com/z/gorgeous-scottisch-scotch-rough-collie-looking-scottish-landrace-breed-dog-which-originated-highland-126744962.jpg
000041.jpg,https://www.scotchcollie.org/wp-content/uploads/big_5764cf506a682.jpeg
000042.jpg,https://st3.depositphotos.com/5191333/12834/i/950/depositphotos_128340244-stock-photo-dog-scotch-collie-running.jpg
000043.jpg,https://gallery.yopriceville.com/var/albums/Free-Clipart-Pictures/Animals-PNG/Painted_Scotch_Collie_Dog_PNG_Picture_Clipart.png?m=1434276923
000044.jpg,https://banner2.kisspng.com/20180302/due/kisspng-border-collie-pomeranian-scotch-collie-rough-colli-cute-side-of-the-dog-is-sitting-smiling-face-5a9992e9d56155.598719711520014057874.jpg
000045.jpg,https://www.certapet.com/wp-content/uploads/2018/08/rough-collie-dog-lassie-breed-in-field.jpg
000046.jpg,https://www.colliehealth.org/wp-content/uploads/2017/08/misty.jpg
000047.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/collie-card-small.jpg?bust=1535568927
000048.jpg,https://peaceledge.weebly.com/uploads/1/0/9/1/109129267/img-4474_orig.jpeg
000049.jpg,https://i.etsystatic.com/14588974/r/il/3c6103/1553251308/il_794xN.1553251308_1hwe.jpg
000050.jpg,https://images.wagwalkingweb.com/media/daily_wag/name_guides/rough-collie-dog-names/hero/rough-collie-dog-names.jpg
