image,source
000001.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23082_scottish-terrier-460x290.jpg
000002.jpg,https://cdn2-www.dogtime.com/assets/uploads/gallery/scottish-terrier-dog-breed-pictures/1-sidestand.jpg
000003.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/scottish-terrier-detail.jpg?bust=1535566533&width=355
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Scottish_Terrier_Photo_of_Face.jpg/220px-Scottish_Terrier_Photo_of_Face.jpg
000005.jpg,https://i.pinimg.com/736x/d7/52/c9/d752c964a441165b7546f7673911e03d.jpg
000006.jpg,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/scottish-terrier-1551091527.jpg?crop=0.671xw:1.00xh;0.166xw,0&resize=480:*
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224538/Scottish-Terrier-On-White-02.jpg
000008.jpg,https://mcwilliamsscots.files.wordpress.com/2018/01/scottish-terrier.jpg?w=700
000009.jpg,https://www.petguide.com/wp-content/uploads/2013/02/scottish-terrier.jpg
000010.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Scottish-Terrier_Mobile.jpg?h=300&la=en&w=375&hash=08712483045FBC0AA8E2CF87AA9BC04F
000011.jpg,https://t1.ea.ltmcdn.com/en/razas/7/3/5/img_537_scottish-terrier_0_600.jpg
000012.jpg,https://www.petful.com/wp-content/uploads/2014/11/scottish-terrier-1-750x410.jpg
000013.jpg,http://www.belpatt.fr/img/belpatt_races/Scottish-Terrier.jpg
000014.jpg,https://www.purina.com/sites/g/files/auxxlc196/files/styles/kraken_generic_max_width_240/public/TERRIER_Scottish-Terrier.jpg?itok=qAE_n4w8
000015.jpg,https://www.calendarclub.co.uk/-/media/productimages/24/08/240854_main.jpg
000016.jpg,https://images-na.ssl-images-amazon.com/images/I/51UBbI8pT4L._SL500_AC_SS350_.jpg
000017.jpg,https://www.dogsnsw.org.au/media/img/BrowseAllBreed/Scottish-Terrier.jpg
000018.jpg,https://vetstreet-brightspot.s3.amazonaws.com/be/3ecd70a80311e0a0d50050568d634f/file/Scottish-Terrier-4-645mk062811.jpg
000019.jpg,http://2.bp.blogspot.com/-pSxX_K7io6M/TkkDwfogF9I/AAAAAAAAAgE/zrw8LKWscyc/s1600/scottish_terrier_black2.jpg
000020.jpg,https://bowwowinsurance.com.au/wp-content/uploads/2018/10/scottish-terrier-black-isolated-700x700.jpg
000021.jpg,https://vetstreet.brightspotcdn.com/dims4/default/ac86d29/2147483647/thumbnail/645x380/quality/90/?url=https%3A%2F%2Fvetstreet-brightspot.s3.amazonaws.com%2Fdf%2F9c%2Fa4b9302e4419808935436a8929d7%2Fscottish-terrier-ap-bryabr.jpg
000022.jpg,https://www.ufaw.org.uk/images/animal-welfare/scottishterrier-main-photo.jpg
000023.jpg,https://cdn3.vectorstock.com/i/1000x1000/80/62/scottish-terrier-silhouette-vector-98062.jpg
000024.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/08/scottish-terrier-long.jpg
000025.jpg,https://www.pets4homes.co.uk/images/breeds/183/large/fdcc80cd0b502c77cc663cb338cf03e5.jpg
000026.jpg,https://i.ytimg.com/vi/Z3F8UztN6NY/maxresdefault.jpg
000027.jpg,https://s3-eu-west-1.amazonaws.com/w3.cdn.gpd/gb.pedigree.56/large_ec9fcbb9-ac6e-4110-8735-d428fe921357.jpg
000028.jpg,https://animals.net/wp-content/uploads/2018/08/Scottish-Terrier-5-650x425.jpg
000029.jpg,https://s3.envato.com/files/264129153/190327-113.jpg
000030.jpg,http://static.ddmcdn.com/en-us/apl/breedselector/images/breed-selector/dogs/breeds/scottish-terrier_01_lg.jpg
000031.jpg,https://www.pets4homes.co.uk/images/breeds/183/large/015cfae789d12679648a4ff5ed39a716.jpg
000032.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Scottish-Terrier-1.jpg
000033.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_terrier_scottishterrier_181119.jpg
000034.jpg,https://www.selectadogbreed.com/media/1810/scottishterrier_adult.jpg
000035.jpg,https://images-na.ssl-images-amazon.com/images/I/81BwJFWul4L.jpg
000036.jpg,https://www.stca.biz/images/stories/FrontPage_Images/Header01.jpeg
000037.jpg,https://www.showsightmagazine.com/files/news/5b50901a71aaa8.79814978.jpg
000038.jpg,https://fscomps.fotosearch.com/compc/CSP/CSP274/the-scottish-terrier-stock-image__k2748952.jpg
000039.jpg,https://cdn1.tedsby.com/tb/large/storage/2/6/1/26141/stuffed-dog-scottish-terrier-by-svetlana-mariss.jpg
000040.jpg,https://cdn.royalcanin-weshare-online.io/TvowjGYBIYfdNSoCCwkX/v1/bd103h-scottish-terrier-adult-in-black-and-white
000041.jpg,https://previews.123rf.com/images/cole123rf/cole123rf1403/cole123rf140300140/26724378-scottish-terrier-puppy-in-playful-pose-isolated-on-white.jpg
000042.jpg,https://fscomps.fotosearch.com/compc/CSP/CSP473/scottish-terrier-stock-image__k4735242.jpg
000043.jpg,https://mcwilliamsscots.files.wordpress.com/2019/01/scotties.jpg?w=680
000044.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555339430/shape/mentalfloss/istock_000021973717_small.jpg
000045.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/scottish-terrier-card-small.jpg?bust=1535567946
000046.jpg,https://img-aws.ehowcdn.com/600x600p/photos.demandstudios.com/getty/article/97/185/87786691.jpg
000047.jpg,https://archive.content.aah.net.au/files/images/scottish-terrier-black.jpg
000048.jpg,http://ak6.picdn.net/shutterstock/videos/3929360/thumb/1.jpg
000049.jpg,https://seabags.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/s/b/sb_s002405.jpg
000050.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08153122/Scottish-Terrier-puppies.jpg
