image,source
000001.jpg,http://www.dogzone.com/images/breeds/segugio-italiano.jpg
000002.jpg,http://www.enci.it/media/3125/03.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/08/07114637/Segugio-Italiano-slideshow-08.jpg
000004.jpg,https://www.razzedicani.net/wp-content/uploads/2016/05/Segugio-italiano-a-pelo-raso-e1463000215664.jpg
000005.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/08/07104543/Segugio-Italiano-MP.jpg
000006.jpg,https://www.petguide.com/wp-content/uploads/2018/06/segugio-italiano.jpg
000007.jpg,https://www.cacciapassione.com/wp-content/uploads/2016/12/Art.-n.4-Segugio-italiano-ben-costruito.jpg
000008.jpg,http://mysocialpet.it/files/thumb/c306c4b8e127a36/x950.pagespeed.ic.QSsX7tYgMD.jpg
000009.jpg,https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_600/https://www.ideegreen.it/wp-content/uploads/2015/12/segugio-italiano6.jpg
000010.jpg,https://www.cacciapassione.com/ImageResizer/resizer.php?file=https://www.cacciapassione.com/wp-content/uploads/awpcp/images/img-20161023-wa0003-813754e9.jpg&width=700&height=662.99559471366&action=resize
000011.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183048594-stock-photo-segugio-italiano-dog.jpg
000012.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/08/19170330/Segugio-Italiano-care1.jpg
000013.jpg,http://www.allevamento-margian.it/wp-content/uploads/2012/09/Segugio.png
000014.jpg,https://www.dogalize.com/wp-content/uploads/2017/12/Segugio-italiano-carattere-e-prezzo.jpg
000015.jpg,https://www.dogsoul.eu/wp-content/uploads/2017/03/SegugioItaliano.jpg
000016.jpg,http://www.aclonlus.org/wp-content/uploads/2017/10/DSC03385.jpg
000017.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183048610-stock-photo-segugio-italiano-puppies-dog.jpg
000018.jpg,https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_600/https://www.ideegreen.it/wp-content/uploads/2015/12/segugio-italiano2.jpg
000019.jpg,http://www.amiciconlacoda.com/uploads/4/2/5/8/4258892/6294708.jpg?558
000020.jpg,https://bepuppyblog-4fef.kxcdn.com/wp-content/uploads/2017/10/Segugio-Italiano-a-pelo-forte-696x485.jpg
000021.jpg,http://cdn.tipresentoilcane.com/wp-content/uploads/2013/01/06050444/fondobianco.jpg
000022.jpg,https://www.amoreaquattrozampe.it/wp-content/uploads/2017/02/segugio-italiano2.jpg
000023.jpg,https://amicidicasa.it/wp-content/uploads/2016/02/segugio-it_2raso.jpg
000024.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Segugioitalianopelorasofulvo.JPG
000025.jpg,https://www.amicicani.com/pubblica/cani/big/amicicani_1513593858.jpg
000026.jpg,http://www.breedog.it/wp-content/uploads/2015/12/segugio-001.jpg
000027.jpg,https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_615/https://www.ideegreen.it/wp-content/uploads/2016/08/segugio-italiano-a-pelo-raso-4.jpg
000028.jpg,http://www.breedog.it/wp-content/uploads/2015/12/segugio-002.jpg
000029.jpg,http://www.dogwallpapers.net/wallpapers/segugio-italiano-dog-wallpaper.jpg
000030.jpg,http://www.amoreaquattrozampe.it/wp-content/uploads/2017/02/segugio-italiano-1-400x348.jpg
000031.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183048438-stock-photo-segugio-italiano-dog.jpg
