image,source
000001.jpg,http://www.enci.it/media/1058/segugio-maremmano-5-66.jpg?height=260&width=360&mode=crop
000002.jpg,https://t2.ea.ltmcdn.com/it/razas/4/1/6/img_614_segugio-maremmano_0_600.jpg
000003.jpg,http://www.enci.it/media/3196/leo_4515.jpg
000004.jpg,https://www.cacciapassione.com/images/stories/cani-caccia-cacciatori/segugio%20maremmano.jpg
000005.jpg,http://segugiomaremmano.org/wordpress/wp-content/uploads/2014/03/sultano1-e1504127126343-800x600.jpg
000006.jpg,https://www.ideegreen.it/wp-content/uploads/2016/02/segugio-maremmano4.jpg
000007.jpg,http://eng.agraria.org/dog/segugiomaremmano1.jpg
000008.jpg,http://www.enci.it/media/3197/segugio-maremmano-4-18.jpg
000009.jpg,https://bepuppyblog-4fef.kxcdn.com/wp-content/uploads/2017/09/segugio-maremmano-696x455.jpg
000010.jpg,http://segugiomaremmano.org/wordpress/wp-content/themes/agriturismo/images/banner-vespa.jpg
000011.jpg,https://www.dogalize.com/wp-content/uploads/2018/08/Segugio-maremmano.jpg
000012.jpg,https://www.tuttozampe.com/wp-content/uploads/2013/09/Segugio-Maremmano.jpg
000013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Segugio_Maremmano.jpg/220px-Segugio_Maremmano.jpg
000014.jpg,http://www.agraria.org/cani/segugiomaremmano.jpg
000015.jpg,https://www.greenstyle.it/YmPEUUHH3Z6lZqyX178m85uw-vg=/650x340/smart/app/uploads/2014/01/Segugio-Maremmano-6.jpg
000016.jpg,https://www.cani.com/sites/default/files/imagecache/column_width/foto14.jpg
000017.jpg,https://www.cechunting.it/wp-content/uploads/2018/03/segugio-maremmano-862x453.jpg
000018.jpg,http://www.sabinemiddelhaufeshundundnatur.net/immagini/hunderassen/segugio%20maremmano/Maremmano%20tigrato%20che%20vive%20in%20citta.jpg
000019.jpg,https://bepuppyblog-4fef.kxcdn.com/wp-content/uploads/2017/09/segugio-maremmano-allevamento.jpg
000020.jpg,https://i.pinimg.com/236x/b0/f8/ec/b0f8ec7cf8fd6609402f36f1c84bbc1b--italy-dog-breeds.jpg
000021.jpg,https://thumbs.dreamstime.com/z/two-segugio-maremmano-dog-leashes-photo-50558041.jpg
000022.jpg,https://thumbs.dreamstime.com/z/segugio-maremmano-puppy-dog-garden-profile-137665732.jpg
000023.jpg,http://segugiomaremmano.org/wordpress/wp-content/themes/agriturismo/images/banner-drake.jpg
000024.jpg,https://www.k9uominiecani.com/wp-content/uploads/2019/03/Cuccioli-di-segugio-maremmano.jpg
000025.jpg,http://www.ladoppietta.it/images/gallery/mare2.jpg
000026.jpg,https://www.cacciapassione.com/wp-content/uploads/2017/01/segugi_maremmani_Bella-muta-di-segugi-maremmani-impiegati-su-cinghiale.jpg
000027.jpg,https://www.cacciainfiera.it/wp-content/uploads/2017/02/segugiomaremmano.png
000028.jpg,http://www.cinghialeoperaomnia.it/s/cc_images/cache_3308878.jpg?t=1367954729
000029.jpg,http://www.clubsegugiomaremmano.it/images/lav_home.jpg
000030.jpg,https://bepuppyblog-4fef.kxcdn.com/wp-content/uploads/2017/09/cuccioli-segugio-maremmano.jpg
000031.jpg,https://mk0terranewsq0a5fwqo.kinstacdn.com/wp-content/uploads/2019/02/Segugio-maremmano-696x448.jpeg
000032.jpg,https://live.staticflickr.com/4044/4675005244_f080807c58_b.jpg
000033.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183048692-stock-photo-segugio-maremmano-italian-hunting-dog.jpg
000034.jpg,http://www.sabinemiddelhaufeshundundnatur.net/immagini/hunderassen/segugio%20maremmano/coppia-s.maremmani-tigrati-.kl.jpg
000035.jpg,https://i.ytimg.com/vi/msDymxENAjc/maxresdefault.jpg
000036.jpg,http://www.segugimaremmanidicardinali.it/web/images/stories/foto-15.jpg
000037.jpg,https://www.tuttogreen.it/wp-content/uploads/2017/10/shutterstock_702834754-400x250.jpg
000038.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183048710-stock-photo-segugio-maremmano-italian-hunting-dog.jpg
000039.jpg,https://c8.alamy.com/comp/R7MYCF/segugio-maremmano-italian-hunting-dog-outdoors-portrait-R7MYCF.jpg
000040.jpg,https://www.annuncianimali.it/public/immagini/vendita-cuccioli-di-segugio_623581_1_1.jpg
000041.jpg,https://st3.depositphotos.com/11531248/18304/i/1600/depositphotos_183048750-stock-photo-segugio-maremmano-italian-hunting-dog.jpg
000042.jpg,http://www.clubsegugiomaremmano.it/images/logo.png
000043.jpg,https://i.ytimg.com/vi/3WVr-mgO5EI/maxresdefault.jpg
000044.jpg,http://uploads.euweb.it/maremmanoesegugi.it/images/maremmanoesegugi_it_bkumbria_1270298582.jpg
000045.jpg,https://previews.123rf.com/images/buffy1982/buffy19821902/buffy1982190200009/117090085-beautiful-segugio-maremmano-dog-walking-with-his-owner.jpg
000046.jpg,http://www.sabinemiddelhaufeshundundnatur.net/immagini/hunderassen/segugio%20maremmano/segugio-maremmano-fulvo.jpg
000047.jpg,http://www.segugimaremmanidicardinali.it/web/images/stories/p1080324.jpg
000048.jpg,https://live.staticflickr.com/5221/5814859938_03797a5b45_z.jpg
000049.jpg,https://www.kontrokultura.it/wp-content/uploads/2014/09/segugio-maremmano.jpg
000050.jpg,https://www.tuttogreen.it/wp-content/uploads/2017/10/shutterstock_702834784-500x332.jpg
