image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Anuke.jpg/220px-Anuke.jpg
000002.jpg,http://files.ccfb5.webnode.com/system_preview_detail_200000064-d8d75d9d11/buldogue_serrano.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Tupa_do_Canchin_08.jpg/220px-Tupa_do_Canchin_08.jpg
000004.jpg,https://i2.wp.com/cachorros.com.br/wp-content/uploads/2017/12/buldogue-serrano.jpg?fit=758%2C533&ssl=1
000005.jpg,https://i.pinimg.com/originals/0e/d5/b4/0ed5b4b55e505e61ca35bda19bf60163.jpg
000006.jpg,https://i1.wp.com/caok9.com.br/wp-content/uploads/Buldogue-Serrano.jpg?resize=640%2C345&ssl=1
000007.jpg,https://naturaldogcompany.com/wp-content/uploads/2014/05/Lindo-Bulldog-Campeiro-781x1030.jpg
000008.jpg,http://www.pedigreedatabase.com/pictures/2790174.jpg
000009.jpg,https://i0.statig.com.br/bancodeimagens/6n/z5/2b/6nz52bl0fsnb1ch38yocvqo0k.jpg
000010.jpg,https://naturaldogcompany.com/wp-content/uploads/2014/05/campeiro2.jpg
000011.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Buldogue_%28Bulldog%29_Campeiro.JPG/220px-Buldogue_%28Bulldog%29_Campeiro.JPG
000012.jpg,http://www.bulldogpedigree.com/images/pictures/dogpicture1370303461907.jpg
000013.jpg,https://i.pinimg.com/736x/fb/41/d4/fb41d429cf979e825c408e8ee8ca4341.jpg
000014.jpg,https://i.pinimg.com/originals/a6/b8/16/a6b8168823794a10f73c81e6a0557350.jpg
000015.jpg,http://4.bp.blogspot.com/-Y3ZEsHfopco/UXWHNhv4BoI/AAAAAAAAAMI/rKF10BwP4-M/s1600/django.JPG
000016.jpg,http://www.laymani.com/wp-content/uploads/2018/05/Laymani-Serrano-18Mar18-35.jpg
000017.jpg,https://render.fineartamerica.com/images/rendered/medium/print/images-medium-5/muttisse-french-bulldog-harmony-in-red-gretchen-kish-serrano.jpg
000018.jpg,https://i.pinimg.com/originals/95/d7/55/95d75551a0bd28e4fd61e9ff3e397198.jpg
000019.jpg,https://i.pinimg.com/originals/b5/8a/e4/b58ae408efbfb6a1ab31a0eb765286c0.jpg
000020.jpg,https://pbs.twimg.com/media/DHIt2EZWsAA4PJk.jpg
000021.jpg,https://render.fineartamerica.com/images/rendered/square-dynamic/small/images-medium-large-5/boston-terrier-on-a-starry-night-gretchen-kish-serrano.jpg
000022.jpg,https://http2.mlstatic.com/bulldog-francs-fmea-D_NQ_NP_883789-MLB31309640118_072019-Q.jpg
000023.jpg,https://images.puppyfinder.com/AdInfoRgArc/6/c/0/6c04ff2b20927549_44352029_1633x1473.jpg
000024.jpg,http://1.bp.blogspot.com/-WtE5xt68Yu8/Tf-fntREt_I/AAAAAAAAAFg/8zxD7dncfdQ/s1600/blanca++pronta.jpg
000025.jpg,https://pbs.twimg.com/media/DmhjWBkUcAAmi9o.jpg
000026.jpg,https://http2.mlstatic.com/bulldog-frances-femea-gen-blue-tan-linda-filhote-buldogue-D_NQ_NP_997313-MLB31255673284_062019-Q.jpg
000027.jpg,https://render.fineartamerica.com/images/rendered/default/phone-case/iphone10/images-medium-5/muttisse-french-bulldog-harmony-in-red-gretchen-kish-serrano.jpg?&targetx=0&targety=-45&imagewidth=646&imageheight=473&modelwidth=646&modelheight=382&backgroundcolor=8E191D&orientation=1
000028.jpg,https://www.dhresource.com/600x600/f2/albu/g6/M00/A0/E3/rBVaSFvO1g-AIoFfAAA2j3ApDsQ836.jpg
000029.jpg,https://i.pinimg.com/originals/3e/5a/bc/3e5abcd32ead34c50c7d48342c4d3b3c.jpg
000030.jpg,https://images-na.ssl-images-amazon.com/images/I/51r4BNvfnVL._SX258_BO1,204,203,200_.jpg
000031.jpg,https://http2.mlstatic.com/bulldog-frances-blue-lilac-mark-D_NQ_NP_740500-MLB31031811049_062019-Q.jpg
000032.jpg,http://www.brazilrocket.com/images/1398109501_434275/web.jpg
000033.jpg,https://i.ytimg.com/vi/mv0jwlsFiGE/hqdefault.jpg
000034.jpg,https://i.pinimg.com/originals/3b/4c/c9/3b4cc92a7fba34238ef8e31dcccefe26.jpg
000035.jpg,https://http2.mlstatic.com/bulldog-frances-macho-chocolate-gen-blue-buldoguepedigree-D_NQ_NP_652330-MLB31146608144_062019-Q.jpg
000036.jpg,https://images-na.ssl-images-amazon.com/images/I/71312G1RqoL._SL1500_.jpg
000037.jpg,http://bulldogpedigree.com/images/pictures/dogpicture1391091720419.jpg
