image,source
000001.jpg,https://images-na.ssl-images-amazon.com/images/I/51O9rzkIlOL._SX331_BO1,204,203,200_.jpg
000002.jpg,https://m.media-amazon.com/images/S/aplus-media/vc/fa59f206-ceba-465f-99e7-e14b17ada287.jpg
000003.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Gorda_-_100.jpg
000004.jpg,https://www.purina.com.au/-/media/Project/Purina/Main/Breeds/Dog/Mobile/Dog_Shar-Pei_Mobile.jpg?h=300&la=en&w=375&hash=E884F9AFFD33392B0DCF385FF6CBC09F
000005.jpg,https://www.dogster.com/wp-content/uploads/2018/06/Chinese-Shar-Pei-4-600x400.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213428/Chinese-Sharpei-Care.jpg
000007.jpg,https://cdn.omlet.co.uk/images/cache/916/768/Dog-Chinese_Shar_Pei-A_young_Chinese_Shar_Pei_puppy_with_lots_of_deep_wrinkles.jpg
000008.jpg,https://thehappypuppysite.com/wp-content/uploads/2017/03/shar-pei-9.jpg
000009.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/shar-pei-card-small.jpg?bust=1535567415
000010.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234613/Chinese-Shar-Pei-On-White-400x267.jpg
000011.jpg,https://previews.123rf.com/images/isselee/isselee1403/isselee140300601/26673245-side-view-of-a-shar-pei-puppy-sitting-looking-at-the-camera-isolated-on-white.jpg
000012.jpg,https://www.purina.co.uk/sites/g/files/mcldtz2481/files/2017-12/shar%20pei_400x378_0.jpg
000013.jpg,https://imgc.artprintimages.com/img/print/shar-pei-puppy-side-view_u-l-q106cml0.jpg?h=550&w=550
000014.jpg,https://vetstreet-brightspot.s3.amazonaws.com/ca/95/fcba616b4c79acb19add474ce732/Shar-Pei-AP-1V8DB3-645sm101513.jpg
000015.jpg,https://images.fineartamerica.com/images-medium-large-5/shar-pei-puppy-sititng-looking-up-life-on-white.jpg
000016.jpg,https://www.calendars.com/img/p/orig/202000004478.jpg
000017.jpg,https://images-na.ssl-images-amazon.com/images/I/71vv4rSoXcL.jpg
000018.jpg,https://static9.depositphotos.com/1606449/1097/i/950/depositphotos_10970993-stock-photo-akita-and-shar-pei-mix.jpg
000019.jpg,https://cdn.europosters.eu/image/1300/calendar/shar-pei-i62610.jpg
000020.jpg,https://vetstreet-brightspot.s3.amazonaws.com/f8/052e809ea011e0a2380050568d634f/file/Chinese-Shar-Pei-3-645mk062111.jpg
000021.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23142_chinese-shar-pei-460x290.jpg
