image,source
000001.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/shiba-inu-detail.jpg?bust=1535566568&width=355
000002.jpg,https://d17fnq9dkz9hgj.cloudfront.net/breed-uploads/2018/08/shiba-inu-card-small.jpg?bust=1535567967
000003.jpg,https://images-na.ssl-images-amazon.com/images/I/81TpVCjZvnL._SX425_.jpg
000004.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Taka_Shiba.jpg
000005.jpg,https://thehappypuppysite.com/wp-content/uploads/2018/05/shiba-inu-header.jpg
000006.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224412/Shiba-Inu-On-White-01.jpg
000007.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224425/Shiba-Inu-Care.jpg
000008.jpg,https://www.k9web.com/wp-content/uploads/2019/01/shiba-inu.jpg
000009.jpg,https://www.calendars.com/img/p/orig/201900004867.jpg
000010.jpg,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23160_shiba-inu-460x290.jpg
000011.jpg,https://vetstreet-brightspot.s3.amazonaws.com/fa/60ac50a80411e0a0d50050568d634f/file/Shiba-Inu-3-645mk062811.jpg
000012.jpg,https://vetstreet-brightspot.s3.amazonaws.com/05/ae6220a81c11e0a0d50050568d634f/file/Shiba-Inu-5-645mk070111.jpg
000013.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Shiba-Inu-2.jpg
000014.jpg,https://www.petguide.com/wp-content/uploads/2013/02/shiba-inu-1.jpg
000015.jpg,https://www.pets4homes.co.uk/images/breeds/142/large/dfa25ccd180e54a006dbdb7dbea641e5.jpg
000016.jpg,https://www.nbcsports.com/sites/nbcsports.com/files/2018/11/21/nbc_dog_nonsporting_shibainu_181119.jpg
000017.jpg,https://images2.minutemediacdn.com/image/upload/c_fill,g_auto,h_1248,w_2220/f_auto,q_auto,w_1100/v1555443372/shape/mentalfloss/istock_000011211040_small.jpg
