image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Shikoku_dog.jpg/220px-Shikoku_dog.jpg
000002.jpg,https://primitivedogs.com/wp-content/uploads/2016/09/Shikoku-Dog-featured.jpg
000003.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Shikoku-dog-1.jpg
000004.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19174521/Shikoku.3.jpg
000005.jpg,https://animalso.com/wp-content/uploads/2018/09/Shiba-Inu-and-Shikoku-Inu-809x637.jpg
000006.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Shikoku-Dog-staying-on-a-stone-680x421.jpg
000007.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/Shikoku-Dog-standing-810x747.jpg
000008.jpg,https://animalso.com/wp-content/uploads/2018/09/Shikoku-Dog.jpg
000009.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19174450/Shikoku-care1.jpg
000010.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Shikoku-Dog.jpg
000011.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Shikoku-dog-2.jpg
000012.jpg,http://primitivedogs.com/wp-content/uploads/2016/09/Shikoku-Inu.jpg
000013.jpg,https://i.pinimg.com/originals/7b/db/f9/7bdbf9e0aeb6d4904f0ec3021965de18.jpg
000014.jpg,https://myfirstshiba.com/wp-content/uploads/2017/05/shikoku_vs_shiba-copy-1043x675.jpg
000015.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19174504/Shikoku-puppy.jpg
000016.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Images-of-Shikoku-Dog.jpg
000017.jpg,https://www.pets4homes.co.uk/images/articles/2047/large/all-about-the-shikoku-dog-breed-53fee67b63fd9.jpg
000018.jpg,https://i.pinimg.com/originals/2a/d1/2e/2ad12e833151184558308e93eba4a700.jpg
000019.jpg,http://www.dogzone.com/images/breeds/shikoku.jpg
000020.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/08/Images-of-Shikoku-Dog.jpg
000021.jpg,https://www.dogbreedinfo.com/images21/ShikokuKenAhi1.jpg
000022.jpg,https://breedingbusiness.com/wp-content/uploads/2015/07/akashima-shikoku-dog-breeding-featured-800x426.png
000023.jpg,https://www.dogbreedinfo.com/images6/ShibaShin.jpg
000024.jpg,https://www.pets4homes.co.uk/images/articles/2047/large/all-about-the-shikoku-dog-breed-53fee69f92823.jpg
000025.jpg,https://www.k9rl.com/wp-content/uploads/2017/02/Shikoku-dog-breed-825x501.jpg
000026.jpg,https://i1.wp.com/puppytoob.com/wp-content/uploads/2018/09/Shikoku-dog-2.jpg?resize=750%2C375
000027.jpg,http://www.shikoku-ken.org/wp-content/uploads/2017/10/red-Shikoku-ken.jpg
000028.jpg,https://dogsaholic.com/wp-content/uploads/2018/06/36f3f828cc314ddd1e2c9927b15779f7-680x453.jpg
000029.jpg,https://i.pinimg.com/originals/94/56/f1/9456f13b2c2addbeb4c8c2e7b5bb685b.jpg
000030.jpg,https://animalso.com/wp-content/uploads/2018/09/Shikoku-Dog-2-809x1011.jpg
000031.jpg,https://i2.wp.com/puppytoob.com/wp-content/uploads/2018/09/Shikoku-MP.jpg?resize=749%2C498
000032.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Shikoku-Dog-Photos.jpg
000033.jpg,https://myfirstshiba.com/wp-content/uploads/2016/09/Depositphotos_65051471_reduced.jpg
000034.jpg,https://66.media.tumblr.com/tumblr_lylcswriWr1qawmj6o1_400.jpg
000035.jpg,https://files.tofugu.com/articles/japan/2013-02-12-japanese-dog-breeds/shikoku-inu.jpg
000036.jpg,https://www.petguide.com/wp-content/uploads/2019/01/shikoku-668x444.jpg
000037.jpg,https://breedingbusiness.com/wp-content/uploads/2015/07/snow-2013-Kuma-800x532.jpg
000038.jpg,http://japandogexport.com/wp-content/uploads/2012/05/DSC_0194-594x394.jpg
000039.jpg,http://globaldogbreeds.com/wp-content/uploads/2018/08/Shikoku-Dog-Photos.jpg
000040.jpg,http://www.shikoku-ken.org/wp-content/uploads/2017/10/blacksesame-Shikoku.jpg
000041.jpg,https://www.101dogbreeds.com/wp-content/uploads/2017/11/Japanese-Shikoku-Dog.jpg
000042.jpg,https://akitsushikokuken.com/wp/wp-content/uploads/IMG_0144-e1492061518212.jpg
000043.jpg,http://www.shikokudog.com/yahoo_site_admin/assets/images/035.1153229.JPG
000044.jpg,https://doggiedesigner.com/wp-content/uploads/2018/05/95.1.jpg
000045.jpg,https://images.wagwalkingweb.com/media/breed/shikoku/hero/Shikoku.jpg
000046.jpg,http://japandogexport.com/wp-content/uploads/2018/08/Mumu1-594x583.jpg
000047.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/06/Shikoku-Dog-HP-long.jpg
000048.jpg,https://www.dogbreedinfo.com/images6/Shibainushin35yers.jpg
000049.jpg,https://steemitimages.com/DQmTRt4NDpfFegW2ALaZ5XXy2E3VQA3CThEYzfcMhkne28J/d797796a1ffe4fd2395e22509f386ee5.jpg
000050.jpg,https://www.pets4homes.co.uk/images/articles/2047/large/all-about-the-shikoku-dog-breed-53fee68d6c189.jpg
