image,source
000001.jpg,https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23260_sloughi-dog-breed-picture-460x290.jpg
000002.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24164822/Sloughi.jpg
000003.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213958/Sloughi-Care.jpg
000004.jpg,https://cdn3-www.dogtime.com/assets/uploads/gallery/sloughi/left-4.jpg
000005.jpg,https://www.petguide.com/wp-content/uploads/2013/04/sloughi.jpg
000006.jpg,https://vetstreet-brightspot.s3.amazonaws.com/10/5ec4e09ecf11e0a2380050568d634f/file/sloughi-2-645mk062411.jpg
000007.jpg,https://vetstreet-brightspot.s3.amazonaws.com/7f/ca2d109ecf11e0a2380050568d634f/file/sloughi-3-645mk062411.jpg
000008.jpg,https://www.dogbreedslist.info/uploads/allimg/dog-pictures/Sloughi-1.jpg
000009.jpg,https://images.ctfassets.net/w00x6p5qkejz/1RgXWzzbtCuAs4UqcG66CW/d3fc9806904df600837adcda3c3edbaa/Sloughi1.png
000010.jpg,https://i.pinimg.com/originals/7b/fe/57/7bfe579b6665e81f1dcb457d670fb6b6.jpg
000011.jpg,https://www.dogster.com/wp-content/uploads/2016/02/sloughi-chaami_8m_oland-e1457544927588.jpg
000012.jpg,http://www.dogzone.com/images/breeds/sloughi.jpg
000013.jpg,https://azure.wgp-cdn.co.uk/app-yourdog/posts/sloughi.jpg
000014.jpg,https://www.pets4homes.co.uk/images/breeds/133/large/504282b4ccd155b2242b2ad2200a3478.jpg
000015.jpg,https://www.pets4homes.co.uk/images/breeds/133/large/aa734f54d519674cc5c6c192a801f4bd.jpg
000016.jpg,https://i.ytimg.com/vi/2WJud0TH_5s/maxresdefault.jpg
000017.jpg,http://3.bp.blogspot.com/-zkvs8lUAg_Y/VQgXPxxmvfI/AAAAAAAAD5Y/YPniZymS2fs/s1600/sloughi_breed.jpg
000018.jpg,https://www.dogtemperament.com/wp-content/uploads/2018/11/Sloughi-1-portrait.jpg
000019.jpg,http://www.sloughi-balkan.com/wp-content/uploads/2018/08/37161175_1380252292077468_7210995441373020160_o.jpg
000020.jpg,https://www.yourpurebredpuppy.com/dogbreeds/photos-RS/sloughisf2.jpg
000021.jpg,https://brit-petfood.com/file/nodes/product/sloughi.jpg/294x294/FIT
000022.jpg,https://i.ytimg.com/vi/-JM4LTmYKLA/hqdefault.jpg
000023.jpg,https://vetstreet-brightspot.s3.amazonaws.com/e4/0b1ce09ece11e0a2380050568d634f/file/sloughi-1-645mk062411.jpg
000024.jpg,http://www.dogspotters.com/dog-breed-photos/sloughi_.jpg
000025.jpg,https://pbs.twimg.com/media/Daq1NCoWkAEeUaj.jpg
000026.jpg,https://thehappypuppysite.com/wp-content/uploads/2019/01/Sloughi-long.jpg
000027.jpg,https://res.cloudinary.com/fwkc-production/image/upload/v1/fwkc/import/4390
000028.jpg,http://www.sloughi-balkan.com/wp-content/uploads/2013/02/kris1_resize-300x217.jpg
000029.jpg,https://i.pinimg.com/originals/7c/8a/fb/7c8afb62eb6221b6b7b60366f8625239.jpg
000030.jpg,https://www.ukpets.com/oc-content/uploads/breeds/0/2339.png
000031.jpg,http://falconcrag.weebly.com/uploads/2/4/9/0/24907515/__6291813.jpg
000032.jpg,https://images-ra.adoptapet.com/seo/1/ff/841_ff.jpg
000033.jpg,https://i2.wp.com/www.allaboutdogs.net/wp-content/uploads/2016/06/Sloughi.jpg?resize=740%2C414&ssl=1
000034.jpg,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12220925/Sloughi-Illo.jpg
000035.jpg,http://puppyfinder.org.uk/wp/wp-content/uploads/2013/01/sloughi.jpg
000036.jpg,https://pbs.twimg.com/media/C3jfi32UEAA4ZwV.jpg
000037.jpg,https://images.ctfassets.net/w00x6p5qkejz/2k66e5cl6E2m8i6Mmak2qa/a15baea1e1e3058857b7f0f606725f9a/Sloughi2.png
000038.jpg,https://www.worldlydogs.com/uploads/5/2/2/3/52234445/8639886_orig.png
000039.jpg,https://www.dogbreedinfo.com/images17/SloughiAinZafirAshrafAzaar13Months2.JPG
000040.jpg,https://c8.alamy.com/comp/D1RYBY/dog-sloughi-berber-greyhound-adult-standing-D1RYBY.jpg
000041.jpg,http://www.gopetsamerica.com/images/slgh.jpg
000042.jpg,https://ayadogdayzz.weebly.com/uploads/5/5/4/4/55441777/870446564_orig.jpg?396
000043.jpg,https://dogbreedatlas.com/images/dog-breed-photos/sloughi/001/sloughi-1484414584-2.jpg
000044.jpg,https://www.purina.co.uk/sites/g/files/mcldtz2481/files/2017-12/sloughi_400x378_0.jpg
000045.jpg,https://doglime.com/wp-content/uploads/2019/05/Sloughi-Dog.jpg
000046.jpg,http://caninechronicle.com/wp-content/uploads/2016/05/Sloughi.gif
000047.jpg,http://www.sloughi.org/8sloughissigned.jpg
000048.jpg,https://comps.canstockphoto.com/arabian-greyhound-sloughi-pictures_csp17029284.jpg
000049.jpg,http://1.bp.blogspot.com/-jNDchNLnRD8/TdWCHCq_euI/AAAAAAAACPI/4NmBJf7H3tg/s1600/sloughi.jpg
000050.jpg,https://marocopedia.com/wp-content/uploads/2018/09/Sloughi.jpg
